ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R,4-1BB,1.93041625872807e-74,0.358427490927643,0.868,0.8,4.20637702776845e-70,TRUE
BAFF-R,4-1BB,1.31247105336205e-57,0.351880735891399,0.508,0.352,2.85987442527591e-53,TRUE
BAFF-R,4-1BB,2.78065614124716e-57,0.434309780747929,0.624,0.488,6.05904973177755e-53,TRUE
BAFF-R,4-1BB,3.1918528184157e-56,0.394337792145561,0.568,0.415,6.95504729132781e-52,TRUE
BAFF-R,4-1BB,1.60393429849773e-42,0.282205951725543,0.986,0.976,3.49497283642655e-38,TRUE
BAFF-R,4-1BB,3.97167051573347e-42,0.267973837149063,0.319,0.194,8.65427005378322e-38,TRUE
BAFF-R,4-1BB,3.15856054476999e-41,0.313110995957168,0.492,0.369,6.88250342705381e-37,TRUE
BAFF-R,4-1BB,9.07136705166402e-40,0.288128260281685,0.669,0.571,1.97665088055759e-35,TRUE
BAFF-R,4-1BB,5.87699879594295e-38,0.251311322458791,0.327,0.204,1.28059803763597e-33,TRUE
BAFF-R,4-1BB,1.74120208361773e-36,0.325164560385386,0.587,0.486,3.79407934020304e-32,TRUE
BAFF-R,4-1BB,1.88497227777626e-34,0.240745950855837,0.817,0.762,4.10735459327447e-30,TRUE
BAFF-R,4-1BB,9.43683536024274e-34,-0.256010212411762,0.328,0.436,2.05628642499689e-29,TRUE
BAFF-R,4-1BB,1.15642809612966e-26,0.246615421908143,0.464,0.368,2.51985682146652e-22,TRUE
BAFF-R,4-1BB,1.75293787736453e-25,0.203166908016557,0.361,0.275,3.81965163477731e-21,TRUE
BAFF-R,4-1BB,3.15980408827155e-24,0.229459137388811,0.5,0.423,6.8852131083437e-20,TRUE
BAFF-R,4-1BB,2.55477275998215e-23,0.239906959063877,0.585,0.478,5.5668498440011e-19,TRUE
BAFF-R,4-1BB,1.85387735726167e-22,-0.222651104930962,0.597,0.657,4.03959876147318e-18,TRUE
BAFF-R,4-1BB,9.3207600496604e-15,-0.319547935329009,0.411,0.462,2.030993614821e-10,TRUE
BAFF-R,4-1BB,5.31576450151482e-10,-0.497292036278954,0.263,0.312,1.15830508488008e-05,TRUE
