ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R,4-1BB,gse_mf,GO:0023023,MHC protein complex binding,3,1,1.94663647411517,0.00182149362477231,0.00182149362477231,0.0306777873645863,3,"tags=100%, list=16%, signal=100%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,4-1BB,gse_mf,GO:0023026,MHC class II protein complex binding,3,1,1.94663647411517,0.00182149362477231,0.00182149362477231,0.0306777873645863,3,"tags=100%, list=16%, signal=100%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,4-1BB,gse_mf,GO:0033218,amide binding,7,0.75,1.92557455223307,0.0105448154657293,0.0105448154657293,0.0840604184257435,10,"tags=100%, list=53%, signal=75%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB5
BAFF-R,4-1BB,gse_mf,GO:0042277,peptide binding,7,0.75,1.92557455223307,0.0105448154657293,0.0105448154657293,0.0840604184257435,10,"tags=100%, list=53%, signal=75%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB5
BAFF-R,4-1BB,gse_mf,GO:0044877,protein-containing complex binding,4,0.822595229382379,1.78774621513578,0.0124777183600713,0.0124777183600713,0.0840604184257435,3,"tags=75%, list=16%, signal=80%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,4-1BB,gse_mf,GO:0042605,peptide antigen binding,6,0.692307692307692,1.72384063460589,0.0200729927007299,0.0200729927007299,0.112690485337431,10,"tags=100%, list=53%, signal=69%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB5
BAFF-R,4-1BB,gse_bp,GO:0050778,positive regulation of immune response,9,0.744104399428021,1.9155429571456,0.00668896321070234,0.00668896321070234,0.144024983925783,6,"tags=67%, list=32%, signal=87%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/GBP5/HLA-DPA1
BAFF-R,4-1BB,gse_bp,GO:0002478,antigen processing and presentation of exogenous peptide antigen,7,0.75,1.87263030436577,0.00675675675675676,0.00675675675675676,0.144024983925783,10,"tags=100%, list=53%, signal=75%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB5
BAFF-R,4-1BB,gse_bp,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,7,0.75,1.87263030436577,0.00675675675675676,0.00675675675675676,0.144024983925783,10,"tags=100%, list=53%, signal=75%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB5
BAFF-R,4-1BB,gse_bp,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,7,0.75,1.87263030436577,0.00675675675675676,0.00675675675675676,0.144024983925783,10,"tags=100%, list=53%, signal=75%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB5
BAFF-R,4-1BB,gse_bp,GO:0019882,antigen processing and presentation,7,0.75,1.87263030436577,0.00675675675675676,0.00675675675675676,0.144024983925783,10,"tags=100%, list=53%, signal=75%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB5
