ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R,CD28,8.9243071086628e-292,0.783836761286667,0.868,0.664,1.94460651897763e-287,TRUE
BAFF-R,CD28,4.54747043331502e-200,0.855010481204955,0.707,0.467,9.90893807419344e-196,TRUE
BAFF-R,CD28,7.44523941975644e-199,0.852350430903331,0.624,0.325,1.62231766956493e-194,TRUE
BAFF-R,CD28,7.1579423446293e-184,0.79665726016839,0.568,0.271,1.55971563689472e-179,TRUE
BAFF-R,CD28,6.0275888103116e-179,0.666481965049198,0.508,0.215,1.3134116017669e-174,TRUE
BAFF-R,CD28,2.78871326447865e-141,0.622744303695884,0.492,0.241,6.07660620329897e-137,TRUE
BAFF-R,CD28,3.76590578309308e-131,0.233857200286804,1,1,8.20590870135982e-127,TRUE
BAFF-R,CD28,1.01394482503083e-120,0.590002320107001,0.587,0.372,2.20938577374218e-116,TRUE
BAFF-R,CD28,3.3905619348548e-113,0.450727481782441,0.327,0.115,7.38803445604861e-109,TRUE
BAFF-R,CD28,5.25464117396961e-109,0.433946975689586,0.319,0.116,1.14498631180798e-104,TRUE
BAFF-R,CD28,1.82780920462795e-102,0.218445687848088,0.995,0.99,3.98279625688429e-98,TRUE
BAFF-R,CD28,2.95530321195328e-101,0.467763254908223,0.669,0.487,6.43960569884619e-97,TRUE
BAFF-R,CD28,1.996023493051e-100,0.463663638515225,0.503,0.3,4.34933519135812e-96,TRUE
BAFF-R,CD28,7.40366240479258e-96,0.226566586416173,0.997,0.992,1.6132580380043e-91,TRUE
BAFF-R,CD28,1.50532718750208e-86,0.423646551808325,0.5,0.316,3.28010794156703e-82,TRUE
BAFF-R,CD28,3.50593568579764e-85,0.427788123242852,0.648,0.46,7.63943385935307e-81,TRUE
BAFF-R,CD28,6.19045963722111e-66,0.389596715807723,0.986,0.975,1.34890115495048e-61,TRUE
BAFF-R,CD28,4.46901871932823e-65,0.293129535804766,0.288,0.136,9.73799178941622e-61,TRUE
BAFF-R,CD28,1.07063934519918e-61,0.224923998229234,0.942,0.909,2.33292313318902e-57,TRUE
BAFF-R,CD28,5.62614473657024e-60,0.248786172615789,0.878,0.808,1.22593693809866e-55,TRUE
BAFF-R,CD28,4.68620429904458e-58,0.286455918997023,0.867,0.811,1.02112391676181e-53,TRUE
BAFF-R,CD28,7.29649157902365e-51,0.284314444235381,0.308,0.171,1.58990551506925e-46,TRUE
BAFF-R,CD28,7.39797635849629e-47,0.389475242477773,0.553,0.451,1.61201904851634e-42,TRUE
BAFF-R,CD28,1.86041081916344e-46,0.215412112167951,0.88,0.837,4.05383517495713e-42,TRUE
BAFF-R,CD28,8.49470292876543e-44,-0.271527742002861,0.581,0.714,1.85099576817799e-39,TRUE
BAFF-R,CD28,1.95636997075421e-41,-0.200491024016212,0.293,0.438,4.26293016627343e-37,TRUE
BAFF-R,CD28,7.5672112842421e-41,0.235934444054758,0.813,0.775,1.64889533883635e-36,TRUE
BAFF-R,CD28,1.18366740113653e-40,0.370097974114028,0.585,0.441,2.57921126707649e-36,TRUE
BAFF-R,CD28,4.87432000060491e-40,0.320781035827601,0.45,0.336,1.06211432813181e-35,TRUE
BAFF-R,CD28,1.2497173646837e-39,0.213670418033837,0.869,0.832,2.72313413764578e-35,TRUE
BAFF-R,CD28,6.24277532496053e-39,0.32352150864993,0.464,0.344,1.3603007433089e-34,TRUE
BAFF-R,CD28,5.91468729193918e-35,0.270415676669147,0.761,0.719,1.28881036091355e-30,TRUE
BAFF-R,CD28,3.69495047381235e-33,0.254619028480035,0.817,0.767,8.0512970824371e-29,TRUE
BAFF-R,CD28,1.54975333834708e-31,0.209024804273906,0.271,0.166,3.37691252425828e-27,TRUE
BAFF-R,CD28,2.82138986856914e-30,0.223706201856486,0.361,0.26,6.14780852361215e-26,TRUE
BAFF-R,CD28,2.9423143545999e-28,0.230935872966519,0.543,0.466,6.41130297867319e-24,TRUE
BAFF-R,CD28,6.47372967224418e-28,0.200335615514157,0.749,0.697,1.41062569558201e-23,TRUE
BAFF-R,CD28,1.93604054064656e-27,-0.295584186907892,0.228,0.325,4.21863233806886e-23,TRUE
BAFF-R,CD28,3.83023374467534e-26,-0.342047898053975,0.172,0.271,8.34607932964757e-22,TRUE
BAFF-R,CD28,8.39572093592458e-26,0.217969142695189,0.58,0.512,1.82942759193797e-21,TRUE
BAFF-R,CD28,1.6752656446943e-25,0.209563761042648,0.515,0.43,3.65040383978887e-21,TRUE
BAFF-R,CD28,1.03696248535502e-21,-0.471110782695853,0.411,0.483,2.25954125558859e-17,TRUE
BAFF-R,CD28,1.78952548792038e-20,-0.252228670962754,0.597,0.668,3.8993760381785e-16,TRUE
BAFF-R,CD28,2.46179431595201e-20,0.330074688157633,0.688,0.642,5.36424981445942e-16,TRUE
BAFF-R,CD28,1.52003937109227e-19,0.218642380384366,0.669,0.611,3.31216578961006e-15,TRUE
BAFF-R,CD28,4.85441451640471e-19,0.205846155205476,0.45,0.371,1.05777692312459e-14,TRUE
BAFF-R,CD28,2.50890632011658e-14,-0.278944831893548,0.331,0.4,5.46690687153402e-10,TRUE
BAFF-R,CD28,4.25097771224151e-14,-0.861055650527727,0.263,0.318,9.26288043497425e-10,TRUE
BAFF-R,CD28,7.44870180489829e-11,-0.302087220047966,0.376,0.432,1.62307212328734e-06,TRUE
BAFF-R,CD28,0.0255216131799715,-0.437251623089726,0.497,0.519,1,TRUE
