ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R,CD28,gse_mf,GO:0033218,amide binding,11,0.736206753520955,2.08651005576701,0.00142857142857143,0.00142857142857143,0.0428571428571429,11,"tags=64%, list=22%, signal=64%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_mf,GO:0042277,peptide binding,11,0.736206753520955,2.08651005576701,0.00142857142857143,0.00142857142857143,0.0428571428571429,11,"tags=64%, list=22%, signal=64%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_mf,GO:0042605,peptide antigen binding,10,0.686930149170001,1.88534580332042,0.00285306704707561,0.00285306704707561,0.0570613409415121,11,"tags=60%, list=22%, signal=58%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_mf,GO:0023023,MHC protein complex binding,4,0.87362420492562,1.79706139913368,0.00491803278688525,0.00491803278688525,0.059016393442623,4,"tags=75%, list=8%, signal=75%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28,gse_mf,GO:0023026,MHC class II protein complex binding,4,0.87362420492562,1.79706139913368,0.00491803278688525,0.00491803278688525,0.059016393442623,4,"tags=75%, list=8%, signal=75%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28,gse_mf,GO:0044877,protein-containing complex binding,5,0.791795688166923,1.76149083816183,0.00765696784073507,0.00765696784073507,0.0765696784073507,4,"tags=60%, list=8%, signal=61%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28,gse_mf,GO:0003823,antigen binding,11,0.624555458978836,1.77475331893036,0.013986013986014,0.013986013986014,0.11988011988012,11,"tags=55%, list=22%, signal=55%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_mf,GO:0032395,MHC class II receptor activity,3,0.829787234042553,1.5415934346359,0.0301003344481605,0.0301003344481605,0.225752508361204,11,"tags=100%, list=22%, signal=83%",HLA-DRA/HLA-DPA1/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0006955,immune response,32,0.66047480716898,2.17885854618999,0.00120336943441637,0.00120336943441637,0.0667485039128433,19,"tags=56%, list=38%, signal=97%",STAT1/HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/GBP5/IRF1/GBP4/HLA-DRB5/HLA-DQB1/BIRC3/LTB/TNFSF10/IL7R/CCL5/LST1/GBP1
BAFF-R,CD28,gse_bp,GO:0010033,response to organic substance,30,0.654818346993972,2.12473871138908,0.001230012300123,0.001230012300123,0.0667485039128433,17,"tags=53%, list=34%, signal=88%",STAT1/HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/GBP5/IRF1/GBP4/HLA-DRB5/HLA-DQB1/BIRC3/LTB/TNFSF10/IL7R/CCL5
BAFF-R,CD28,gse_bp,GO:0045087,innate immune response,22,0.626526005472692,2.04750382053253,0.00124223602484472,0.00124223602484472,0.0667485039128433,13,"tags=50%, list=26%, signal=66%",STAT1/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/GBP5/IRF1/GBP4/HLA-DRB5/HLA-DQB1/BIRC3
BAFF-R,CD28,gse_bp,GO:0034097,response to cytokine,27,0.64270856570045,2.08900131922044,0.00125156445556946,0.00125156445556946,0.0667485039128433,17,"tags=56%, list=34%, signal=80%",STAT1/HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/GBP5/IRF1/GBP4/HLA-DRB5/HLA-DQB1/BIRC3/LTB/IL7R/CCL5
BAFF-R,CD28,gse_bp,GO:0071345,cellular response to cytokine stimulus,27,0.64270856570045,2.08900131922044,0.00125156445556946,0.00125156445556946,0.0667485039128433,17,"tags=56%, list=34%, signal=80%",STAT1/HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/GBP5/IRF1/GBP4/HLA-DRB5/HLA-DQB1/BIRC3/LTB/IL7R/CCL5
BAFF-R,CD28,gse_bp,GO:0034341,response to interferon-gamma,16,0.771678666937779,2.37912944005032,0.00127877237851662,0.00127877237851662,0.0667485039128433,11,"tags=62%, list=22%, signal=72%",STAT1/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/GBP5/IRF1/GBP4/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0071346,cellular response to interferon-gamma,16,0.771678666937779,2.37912944005032,0.00127877237851662,0.00127877237851662,0.0667485039128433,11,"tags=62%, list=22%, signal=72%",STAT1/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/GBP5/IRF1/GBP4/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0060333,interferon-gamma-mediated signaling pathway,13,0.728638198261079,2.15597891117621,0.00134770889487871,0.00134770889487871,0.0667485039128433,11,"tags=62%, list=22%, signal=65%",STAT1/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/IRF1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0002253,activation of immune response,13,0.660568989040153,1.94771447195842,0.00135135135135135,0.00135135135135135,0.0667485039128433,13,"tags=62%, list=26%, signal=62%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/IRF1/HLA-DRB5/HLA-DQB1/BIRC3
BAFF-R,CD28,gse_bp,GO:0002757,immune response-activating signal transduction,13,0.660568989040153,1.94771447195842,0.00135135135135135,0.00135135135135135,0.0667485039128433,13,"tags=62%, list=26%, signal=62%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/IRF1/HLA-DRB5/HLA-DQB1/BIRC3
BAFF-R,CD28,gse_bp,GO:0002764,immune response-regulating signaling pathway,13,0.660568989040153,1.94771447195842,0.00135135135135135,0.00135135135135135,0.0667485039128433,13,"tags=62%, list=26%, signal=62%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/IRF1/HLA-DRB5/HLA-DQB1/BIRC3
BAFF-R,CD28,gse_bp,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,8,0.846632487792748,2.19171576275461,0.00145772594752187,0.00145772594752187,0.0667485039128433,11,"tags=88%, list=22%, signal=81%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,8,0.846632487792748,2.19171576275461,0.00145772594752187,0.00145772594752187,0.0667485039128433,11,"tags=88%, list=22%, signal=81%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,8,0.846632487792748,2.19171576275461,0.00145772594752187,0.00145772594752187,0.0667485039128433,11,"tags=88%, list=22%, signal=81%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0050778,positive regulation of immune response,21,0.583771890048958,1.88809954553288,0.00251256281407035,0.00251256281407035,0.104918597639762,13,"tags=48%, list=26%, signal=61%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/GBP5/IRF1/HLA-DRB5/HLA-DQB1/BIRC3
BAFF-R,CD28,gse_bp,GO:0010604,positive regulation of macromolecule metabolic process,10,0.676044457764233,1.82821516556295,0.00273224043715847,0.00273224043715847,0.104918597639762,17,"tags=80%, list=34%, signal=66%",STAT1/CD74/IRF1/BIRC3/LTB/TNFSF10/IL7R/CCL5
BAFF-R,CD28,gse_bp,GO:0001666,response to hypoxia,7,-0.651603189321882,-1.93415571986981,0.00319488817891374,0.00319488817891374,0.104918597639762,8,"tags=57%, list=16%, signal=56%",BNIP3/DDIT4/LTA/HILPDA
BAFF-R,CD28,gse_bp,GO:0036293,response to decreased oxygen levels,7,-0.651603189321882,-1.93415571986981,0.00319488817891374,0.00319488817891374,0.104918597639762,8,"tags=57%, list=16%, signal=56%",BNIP3/DDIT4/LTA/HILPDA
BAFF-R,CD28,gse_bp,GO:0070482,response to oxygen levels,7,-0.651603189321882,-1.93415571986981,0.00319488817891374,0.00319488817891374,0.104918597639762,8,"tags=57%, list=16%, signal=56%",BNIP3/DDIT4/LTA/HILPDA
BAFF-R,CD28,gse_bp,GO:0003008,system process,3,0.879530693231443,1.66054956542431,0.00327332242225859,0.00327332242225859,0.104918597639762,2,"tags=67%, list=4%, signal=68%",STAT1/HLA-DRA
BAFF-R,CD28,gse_bp,GO:0002684,positive regulation of immune system process,25,0.561332959629331,1.84428236256499,0.00496277915632754,0.00496277915632754,0.119310000293867,11,"tags=40%, list=22%, signal=62%",STAT1/HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/GBP5/IRF1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0045893,"positive regulation of transcription, DNA-templated",3,0.893617021276596,1.668738063639,0.00501672240802676,0.00501672240802676,0.119310000293867,8,"tags=100%, list=16%, signal=89%",STAT1/CD74/IRF1
BAFF-R,CD28,gse_bp,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,3,0.893617021276596,1.668738063639,0.00501672240802676,0.00501672240802676,0.119310000293867,8,"tags=100%, list=16%, signal=89%",STAT1/CD74/IRF1
BAFF-R,CD28,gse_bp,GO:0051254,positive regulation of RNA metabolic process,3,0.893617021276596,1.668738063639,0.00501672240802676,0.00501672240802676,0.119310000293867,8,"tags=100%, list=16%, signal=89%",STAT1/CD74/IRF1
BAFF-R,CD28,gse_bp,GO:1902680,positive regulation of RNA biosynthetic process,3,0.893617021276596,1.668738063639,0.00501672240802676,0.00501672240802676,0.119310000293867,8,"tags=100%, list=16%, signal=89%",STAT1/CD74/IRF1
BAFF-R,CD28,gse_bp,GO:1903508,positive regulation of nucleic acid-templated transcription,3,0.893617021276596,1.668738063639,0.00501672240802676,0.00501672240802676,0.119310000293867,8,"tags=100%, list=16%, signal=89%",STAT1/CD74/IRF1
BAFF-R,CD28,gse_bp,GO:0002682,regulation of immune system process,26,0.575600887589846,1.88605171132381,0.0050251256281407,0.0050251256281407,0.119310000293867,19,"tags=58%, list=38%, signal=75%",STAT1/HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/GBP5/IRF1/HLA-DRB5/HLA-DQB1/BIRC3/IL7R/CCL5/LST1/GBP1
BAFF-R,CD28,gse_bp,GO:0006952,defense response,28,0.586915379514446,1.91448644646718,0.00613496932515337,0.00613496932515337,0.129730973323137,11,"tags=39%, list=22%, signal=70%",STAT1/HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/GBP5/IRF1/GBP4/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0071310,cellular response to organic substance,29,0.60017080161789,1.94929450896717,0.00619578686493185,0.00619578686493185,0.129730973323137,17,"tags=52%, list=34%, signal=81%",STAT1/HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/GBP5/IRF1/GBP4/HLA-DRB5/HLA-DQB1/BIRC3/LTB/IL7R/CCL5
BAFF-R,CD28,gse_bp,GO:0002376,immune system process,36,0.591169204824516,1.84498384532582,0.00620347394540943,0.00620347394540943,0.129730973323137,19,"tags=50%, list=38%, signal=111%",STAT1/HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/GBP5/IRF1/GBP4/HLA-DRB5/HLA-DQB1/BIRC3/LTB/TNFSF10/IL7R/CCL5/LST1/GBP1
BAFF-R,CD28,gse_bp,GO:0050776,regulation of immune response,24,0.580864974420868,1.89020481968575,0.00627352572145546,0.00627352572145546,0.129730973323137,13,"tags=46%, list=26%, signal=65%",STAT1/HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/GBP5/IRF1/HLA-DRB5/HLA-DQB1/BIRC3
BAFF-R,CD28,gse_bp,GO:0042221,response to chemical,32,0.590816768646325,1.8908209262751,0.0072992700729927,0.0072992700729927,0.145390882232988,17,"tags=50%, list=34%, signal=92%",STAT1/HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/GBP5/IRF1/GBP4/HLA-DRB5/HLA-DQB1/BIRC3/LTB/TNFSF10/IL7R/CCL5
BAFF-R,CD28,gse_bp,GO:0002250,adaptive immune response,17,0.595686217165781,1.85588488810764,0.00779220779220779,0.00779220779220779,0.145390882232988,11,"tags=47%, list=22%, signal=56%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/IRF1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0002429,immune response-activating cell surface receptor signaling pathway,11,0.63131771384585,1.78082679748267,0.00839160839160839,0.00839160839160839,0.145390882232988,11,"tags=55%, list=22%, signal=55%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0002768,immune response-regulating cell surface receptor signaling pathway,11,0.63131771384585,1.78082679748267,0.00839160839160839,0.00839160839160839,0.145390882232988,11,"tags=55%, list=22%, signal=55%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0050851,antigen receptor-mediated signaling pathway,11,0.63131771384585,1.78082679748267,0.00839160839160839,0.00839160839160839,0.145390882232988,11,"tags=55%, list=22%, signal=55%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0050852,T cell receptor signaling pathway,11,0.63131771384585,1.78082679748267,0.00839160839160839,0.00839160839160839,0.145390882232988,11,"tags=55%, list=22%, signal=55%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0019221,cytokine-mediated signaling pathway,25,0.542769933076876,1.77883124461234,0.00884955752212389,0.00884955752212389,0.149290319417547,17,"tags=52%, list=34%, signal=69%",STAT1/HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/IRF1/HLA-DRB5/HLA-DQB1/BIRC3/LTB/IL7R/CCL5
BAFF-R,CD28,gse_bp,GO:0002478,antigen processing and presentation of exogenous peptide antigen,16,0.569972927752394,1.76660880627491,0.0131926121372032,0.0131926121372032,0.201360922094154,11,"tags=44%, list=22%, signal=50%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0019882,antigen processing and presentation,16,0.569972927752394,1.76660880627491,0.0131926121372032,0.0131926121372032,0.201360922094154,11,"tags=44%, list=22%, signal=50%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1
BAFF-R,CD28,gse_bp,GO:0019884,antigen processing and presentation of exogenous antigen,16,0.569972927752394,1.76660880627491,0.0131926121372032,0.0131926121372032,0.201360922094154,11,"tags=44%, list=22%, signal=50%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DRB5/HLA-DQB1
