ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R,CD28_4-1BB_Zeta,8.69068879747178e-237,0.536465064932258,0.868,0.725,1.8937010889691e-232,TRUE
BAFF-R,CD28_4-1BB_Zeta,5.91771727868891e-162,0.592741643305793,0.624,0.413,1.28947059502631e-157,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.81144762945302e-156,0.465598841738808,0.508,0.291,3.94714438457814e-152,TRUE
BAFF-R,CD28_4-1BB_Zeta,3.18318415760644e-156,0.537749196989688,0.568,0.35,6.93615827942444e-152,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.11707582559681e-118,0.4346045185732,0.492,0.309,2.43410822397544e-114,TRUE
BAFF-R,CD28_4-1BB_Zeta,4.36915015775787e-111,0.332943578428453,0.319,0.158,9.5203781937544e-107,TRUE
BAFF-R,CD28_4-1BB_Zeta,6.47795106651765e-106,0.441136133695203,0.587,0.426,1.4115455373942e-101,TRUE
BAFF-R,CD28_4-1BB_Zeta,4.42570658365711e-104,0.458070329867206,0.707,0.57,9.64361464578884e-100,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.74318459572865e-100,0.358382210777011,0.5,0.341,3.79839923409273e-96,TRUE
BAFF-R,CD28_4-1BB_Zeta,4.45541652676205e-96,0.313615115529845,0.327,0.171,9.70835261181451e-92,TRUE
BAFF-R,CD28_4-1BB_Zeta,6.33109092190817e-84,0.343231355522568,0.986,0.974,1.37954471188379e-79,TRUE
BAFF-R,CD28_4-1BB_Zeta,5.46766577382055e-79,0.321618371520136,0.503,0.359,1.1914043721155e-74,TRUE
BAFF-R,CD28_4-1BB_Zeta,2.75884083514519e-64,0.289029740188784,0.669,0.552,6.01151417978137e-60,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.864279200133e-55,0.288198885103843,0.464,0.342,4.0622643770898e-51,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.87684194105346e-49,0.219559397555471,0.361,0.256,4.08963858955549e-45,TRUE
BAFF-R,CD28_4-1BB_Zeta,2.80876414504157e-44,0.243544930591513,0.817,0.761,6.12029707204558e-40,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.19598134838515e-42,0.299057438252467,0.585,0.467,2.60604335813124e-38,TRUE
BAFF-R,CD28_4-1BB_Zeta,2.61292894723007e-40,0.200605192856195,0.308,0.212,5.69357217601433e-36,TRUE
BAFF-R,CD28_4-1BB_Zeta,5.11697367877017e-35,0.234013005388013,0.669,0.593,1.11498856460402e-30,TRUE
BAFF-R,CD28_4-1BB_Zeta,6.77165024501865e-34,-0.20696668717692,0.581,0.675,1.47554258838956e-29,TRUE
BAFF-R,CD28_4-1BB_Zeta,2.29410872980125e-32,0.257132896044161,0.553,0.491,4.99886292223692e-28,TRUE
BAFF-R,CD28_4-1BB_Zeta,8.62559445526867e-13,-0.269866269441514,0.411,0.456,1.87951703180304e-08,TRUE
BAFF-R,CD28_4-1BB_Zeta,5.3199166607975e-07,-0.466916658165426,0.263,0.294,0.0115920984038778,TRUE
