ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0023023,MHC protein complex binding,4,0.892584401623053,1.92061220997966,0.00463678516228748,0.00463678516228748,0.112259009192223,3,"tags=75%, list=13%, signal=79%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0023026,MHC class II protein complex binding,4,0.892584401623053,1.92061220997966,0.00463678516228748,0.00463678516228748,0.112259009192223,3,"tags=75%, list=13%, signal=79%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0044877,protein-containing complex binding,5,0.803535106673991,1.83709992180266,0.00911854103343465,0.00911854103343465,0.147176451767717,3,"tags=60%, list=13%, signal=67%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0033218,amide binding,7,0.6875,1.73587062400879,0.0205580029368576,0.0205580029368576,0.199088028441147,12,"tags=100%, list=52%, signal=69%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB5
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0042277,peptide binding,7,0.6875,1.73587062400879,0.0205580029368576,0.0205580029368576,0.199088028441147,12,"tags=100%, list=52%, signal=69%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB5
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0034097,response to cytokine,15,0.954978090483596,2.49555601667263,0.00136054421768707,0.00136054421768707,0.0951694304253785,14,"tags=93%, list=61%, signal=105%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/STAT1/GBP5/HLA-DPA1/BIRC3/LTB/HLA-DQB1/GBP4/HLA-DRB5/IL7R/IRF1
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0071345,cellular response to cytokine stimulus,15,0.954978090483596,2.49555601667263,0.00136054421768707,0.00136054421768707,0.0951694304253785,14,"tags=93%, list=61%, signal=105%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/STAT1/GBP5/HLA-DPA1/BIRC3/LTB/HLA-DQB1/GBP4/HLA-DRB5/IL7R/IRF1
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0071310,cellular response to organic substance,16,0.923104809797034,2.34969672646918,0.00136239782016349,0.00136239782016349,0.0951694304253785,14,"tags=88%, list=61%, signal=112%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/STAT1/GBP5/HLA-DPA1/BIRC3/LTB/HLA-DQB1/GBP4/HLA-DRB5/IL7R/IRF1
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0070887,cellular response to chemical stimulus,17,0.858465719299243,2.09177836314091,0.00136986301369863,0.00136986301369863,0.0951694304253785,14,"tags=82%, list=61%, signal=124%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/STAT1/GBP5/HLA-DPA1/BIRC3/LTB/HLA-DQB1/GBP4/HLA-DRB5/IL7R/IRF1
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0045087,innate immune response,11,0.769747281995134,2.07579552617963,0.00272851296043656,0.00272851296043656,0.0958257713248639,12,"tags=91%, list=52%, signal=83%",HLA-DRA/HLA-DRB1/HLA-DPB1/STAT1/GBP5/HLA-DPA1/BIRC3/HLA-DQB1/GBP4/HLA-DRB5
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0002376,immune system process,18,0.930197596921641,2.1569075765261,0.00275862068965517,0.00275862068965517,0.0958257713248639,16,"tags=89%, list=70%, signal=124%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/STAT1/GBP5/HLA-DPA1/BIRC3/LTB/HLA-DQB1/GBP4/HLA-DRB5/IL7R/IRF1/LST1/TNFSF10
