ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R,Zeta,1.88233246323705e-183,0.542907334751996,0.868,0.704,4.10160243739354e-179,TRUE
BAFF-R,Zeta,6.18178845838707e-115,0.439227730436674,0.5,0.285,1.34701170508254e-110,TRUE
BAFF-R,Zeta,5.27086685848386e-107,0.570233686449952,0.624,0.414,1.14852188846363e-102,TRUE
BAFF-R,Zeta,4.4189778042208e-102,0.499879913784708,0.568,0.352,9.62895263539713e-98,TRUE
BAFF-R,Zeta,8.3230014177557e-99,0.432929849868704,0.508,0.296,1.81358200892897e-94,TRUE
BAFF-R,Zeta,1.77680291075815e-93,0.532466987943376,0.707,0.547,3.87165354254201e-89,TRUE
BAFF-R,Zeta,1.73791741401986e-79,0.445171346573429,0.587,0.414,3.78692204514928e-75,TRUE
BAFF-R,Zeta,2.61774022668387e-78,0.418055491534914,0.492,0.308,5.70405595394414e-74,TRUE
BAFF-R,Zeta,1.91493875494169e-73,0.36589262718056,0.986,0.97,4.17265154701794e-69,TRUE
BAFF-R,Zeta,9.49266732527171e-71,0.361757928061849,0.503,0.338,2.0684522101767e-66,TRUE
BAFF-R,Zeta,5.87278927956988e-70,0.318819820499294,0.319,0.157,1.27968078401828e-65,TRUE
BAFF-R,Zeta,4.09270956692685e-60,0.342063264426157,0.669,0.531,8.91801414633361e-56,TRUE
BAFF-R,Zeta,1.51839756449938e-50,0.30008625993118,0.464,0.316,3.30858829304416e-46,TRUE
BAFF-R,Zeta,2.01340822604142e-50,0.272020173112925,0.327,0.186,4.38721652454426e-46,TRUE
BAFF-R,Zeta,1.8015170478942e-49,0.211912667021896,0.88,0.826,3.92550564736146e-45,TRUE
BAFF-R,Zeta,9.73625011097583e-47,0.27315067532747,0.405,0.273,2.12152889918163e-42,TRUE
BAFF-R,Zeta,1.08718947416514e-46,-0.26523258013193,0.798,0.879,2.36898586420584e-42,TRUE
BAFF-R,Zeta,5.51151889531801e-46,0.231716946429808,0.361,0.234,1.20095996728979e-41,TRUE
BAFF-R,Zeta,3.93897610158356e-38,-0.228619553390361,0.854,0.908,8.58302892535058e-34,TRUE
BAFF-R,Zeta,6.07620445761843e-33,-0.248058025418719,0.411,0.532,1.32400495131506e-28,TRUE
BAFF-R,Zeta,1.91194988643824e-32,-0.243917151406245,0.438,0.545,4.16613880254892e-28,TRUE
BAFF-R,Zeta,2.1486896264991e-30,0.208450806249363,0.45,0.339,4.68199469614155e-26,TRUE
BAFF-R,Zeta,4.07493161831687e-30,-0.294416902843309,0.283,0.387,8.87927599631246e-26,TRUE
BAFF-R,Zeta,1.51482392931073e-28,0.301028270797133,0.585,0.479,3.30080134196809e-24,TRUE
BAFF-R,Zeta,3.55170184565426e-28,0.237378277939164,0.817,0.755,7.73915832168063e-24,TRUE
BAFF-R,Zeta,5.78272446009099e-28,0.290769367645009,0.553,0.481,1.26005565985383e-23,TRUE
BAFF-R,Zeta,9.96108351841888e-22,-0.210943622499678,0.581,0.658,2.17052009866347e-17,TRUE
BAFF-R,Zeta,0.592595570154816,0.22070279772462,0.497,0.509,1,TRUE
