ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R,Zeta,gse_mf,GO:0023023,MHC protein complex binding,3,0.96,1.84440811560057,0.00327332242225859,0.00327332242225859,0.0998363338788871,4,"tags=100%, list=14%, signal=96%",HLA-DRA/CD74/HLA-DRB1
BAFF-R,Zeta,gse_mf,GO:0023026,MHC class II protein complex binding,3,0.96,1.84440811560057,0.00327332242225859,0.00327332242225859,0.0998363338788871,4,"tags=100%, list=14%, signal=96%",HLA-DRA/CD74/HLA-DRB1
BAFF-R,Zeta,gse_mf,GO:0044877,protein-containing complex binding,5,0.7365571386652,1.71752869526426,0.0232558139534884,0.0232558139534884,0.472868217054264,4,"tags=60%, list=14%, signal=63%",HLA-DRA/CD74/HLA-DRB1
BAFF-R,Zeta,gse_bp,GO:0034097,response to cytokine,18,0.818676414854627,2.2197862657809,0.00128369704749679,0.00128369704749679,0.0682957393483709,13,"tags=72%, list=46%, signal=108%",HLA-DRA/CD74/STAT1/HLA-DRB1/GBP5/BIRC3/HLA-DPB1/HLA-DPA1/LTB/GBP4/IRF1/HLA-DQB1/IL7R
BAFF-R,Zeta,gse_bp,GO:0071345,cellular response to cytokine stimulus,18,0.818676414854627,2.2197862657809,0.00128369704749679,0.00128369704749679,0.0682957393483709,13,"tags=72%, list=46%, signal=108%",HLA-DRA/CD74/STAT1/HLA-DRB1/GBP5/BIRC3/HLA-DPB1/HLA-DPA1/LTB/GBP4/IRF1/HLA-DQB1/IL7R
BAFF-R,Zeta,gse_bp,GO:0006955,immune response,21,0.878622258898873,2.2043339113218,0.00133333333333333,0.00133333333333333,0.0682957393483709,17,"tags=81%, list=61%, signal=127%",HLA-DRA/CD74/STAT1/HLA-DRB1/GBP5/BIRC3/HLA-DPB1/HLA-DPA1/LTB/GBP4/IRF1/HLA-DQB1/IL7R/LST1/TNFSF10/NFKBIA/HLA-DRB5
BAFF-R,Zeta,gse_bp,GO:0051240,positive regulation of multicellular organismal process,9,0.789473684210526,2.12145281864318,0.00137551581843191,0.00137551581843191,0.0682957393483709,13,"tags=100%, list=46%, signal=79%",CD74/STAT1/GBP5/BIRC3/HLA-DPB1/HLA-DPA1/LTB/IRF1/IL7R
BAFF-R,Zeta,gse_bp,GO:0001816,cytokine production,8,0.85,2.24994169658125,0.00138888888888889,0.00138888888888889,0.0682957393483709,11,"tags=100%, list=39%, signal=85%",CD74/STAT1/GBP5/BIRC3/HLA-DPB1/HLA-DPA1/LTB/IRF1
BAFF-R,Zeta,gse_bp,GO:0001817,regulation of cytokine production,8,0.85,2.24994169658125,0.00138888888888889,0.00138888888888889,0.0682957393483709,11,"tags=100%, list=39%, signal=85%",CD74/STAT1/GBP5/BIRC3/HLA-DPB1/HLA-DPA1/LTB/IRF1
BAFF-R,Zeta,gse_bp,GO:0001819,positive regulation of cytokine production,8,0.85,2.24994169658125,0.00138888888888889,0.00138888888888889,0.0682957393483709,11,"tags=100%, list=39%, signal=85%",CD74/STAT1/GBP5/BIRC3/HLA-DPB1/HLA-DPA1/LTB/IRF1
BAFF-R,Zeta,gse_bp,GO:0002684,positive regulation of immune system process,14,0.721946166448396,2.00745459902431,0.00258397932816537,0.00258397932816537,0.0837800964624046,13,"tags=79%, list=46%, signal=84%",HLA-DRA/CD74/STAT1/HLA-DRB1/GBP5/BIRC3/HLA-DPB1/HLA-DPA1/IRF1/HLA-DQB1/IL7R
BAFF-R,Zeta,gse_bp,GO:0071310,cellular response to organic substance,19,0.794059002517443,2.11107705268537,0.0025974025974026,0.0025974025974026,0.0837800964624046,13,"tags=68%, list=46%, signal=114%",HLA-DRA/CD74/STAT1/HLA-DRB1/GBP5/BIRC3/HLA-DPB1/HLA-DPA1/LTB/GBP4/IRF1/HLA-DQB1/IL7R
BAFF-R,Zeta,gse_bp,GO:0002376,immune system process,22,0.855265459647962,2.05655901466006,0.00265957446808511,0.00265957446808511,0.0837800964624046,17,"tags=77%, list=61%, signal=142%",HLA-DRA/CD74/STAT1/HLA-DRB1/GBP5/BIRC3/HLA-DPB1/HLA-DPA1/LTB/GBP4/IRF1/HLA-DQB1/IL7R/LST1/TNFSF10/NFKBIA/HLA-DRB5
