ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
TACI,CD28,8.26890327007007e-110,0.208321388898493,1,1,1.80179402254827e-105,TRUE
TACI,CD28,9.4567475549255e-77,0.450451365276705,0.629,0.467,2.06062529221827e-72,TRUE
TACI,CD28,1.05288224749661e-63,0.304792573784747,0.836,0.787,2.29423041729511e-59,TRUE
TACI,CD28,6.47175250087174e-63,0.213928490795507,0.889,0.848,1.41019486993995e-58,TRUE
TACI,CD28,1.70934276318424e-61,-0.302008532936092,0.279,0.438,3.72465788097847e-57,TRUE
TACI,CD28,8.98202031231356e-58,0.290553863303303,0.764,0.664,1.95718222605312e-53,TRUE
TACI,CD28,4.36811509093141e-56,-0.288730613424644,0.278,0.454,9.51812278313954e-52,TRUE
TACI,CD28,2.85720295154476e-49,0.270197789936229,0.597,0.451,6.22584523141603e-45,TRUE
TACI,CD28,8.52292563952529e-46,0.300610864022249,0.782,0.711,1.85714549685256e-41,TRUE
TACI,CD28,2.1485610252006e-44,0.311011936338223,0.471,0.325,4.6817144739121e-40,TRUE
TACI,CD28,1.56542260804911e-32,0.281908618374513,0.392,0.271,3.411055862939e-28,TRUE
TACI,CD28,6.84703783685056e-31,0.204749988625962,0.639,0.542,1.49196954464974e-26,TRUE
TACI,CD28,3.90569046779324e-29,0.203660915239985,0.586,0.46,8.51049952932148e-25,TRUE
TACI,CD28,2.90103383126128e-24,-0.34767018353714,0.186,0.271,6.32135271831832e-20,TRUE
TACI,CD28,7.72718753399229e-23,0.200319717629029,0.308,0.215,1.68375416365692e-18,TRUE
TACI,CD28,1.9719571221718e-22,0.201064539909543,0.74,0.685,4.29689456921235e-18,TRUE
TACI,CD28,8.8580900488448e-14,0.234703076903518,0.775,0.73,1.93017782164328e-09,TRUE
TACI,CD28,5.71361895059648e-10,-0.278338586993445,0.296,0.325,1.24499756933497e-05,TRUE
TACI,CD28,0.0316944347341397,-0.501205625341655,0.555,0.519,1,TRUE
TACI,CD28,0.0740571147807639,-0.290667726831206,0.507,0.483,1,TRUE
TACI,CD28,0.150674164682042,-0.614490791834237,0.33,0.318,1,TRUE
