p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,-0.364475890649014,0.877,0.959,0,1,OAZ1
0,-0.424566569098741,0.924,0.965,0,1,CHCHD2
0,-0.434735151542335,0.92,0.964,0,1,YBX1
0,-0.444650542673644,0.692,0.875,0,1,SNRPG
0,-0.45558693054114,1,1,0,1,ACTB
0,-0.458345775495877,0.184,0.591,0,1,PHF19
0,-0.46621131990168,0.54,0.819,0,1,SNRPB
0,-0.478045683891714,0.228,0.639,0,1,EBP
0,-0.491621809396071,0.551,0.814,0,1,SNRPD1
0,-0.492376950225616,0.609,0.862,0,1,PTGES3
0,-0.505419709645432,0.645,0.86,0,1,GSTP1
0,-0.50756526820069,0.347,0.727,0,1,CACYBP
0,-0.532322525327151,0.075,0.503,0,1,MCM7
0,-0.535226477533084,0.53,0.819,0,1,CALR
0,-0.550407414066819,0.111,0.549,0,1,MAD2L1
0,-0.559832752673482,0.112,0.539,0,1,MCM3
0,-0.561241079113136,0.094,0.541,0,1,DTYMK
0,-0.571803560992406,0.432,0.77,0,1,JPT1
0,-0.572400101330162,0.1,0.534,0,1,HELLS
0,-0.572846378575988,0.511,0.812,0,1,NUCKS1
0,-0.579049118870371,0.805,0.928,0,1,HNRNPA2B1
0,-0.595464988085717,0.13,0.517,0,1,TUBA1C
0,-0.605334456280168,0.396,0.753,0,1,NASP
0,-0.605964134205552,0.792,0.917,0,1,RAN
0,-0.615558545750829,0.07,0.517,0,1,UBE2T
0,-0.633120989437211,1,1,0,1,PTMA
0,-0.647728071761,0.602,0.87,0,1,TXN
0,-0.666524928047105,0.098,0.55,0,1,CKS1B
0,-0.692236492247448,0.311,0.727,0,1,ANP32E
0,-0.700753492489313,0.166,0.571,0,1,CKS2
0,-0.707069936833003,0.067,0.544,0,1,ATAD2
0,-0.71791247118494,0.439,0.785,0,1,RANBP1
0,-0.728030175099643,0.951,0.98,0,1,HMGB1
0,-0.734714790172555,0.146,0.605,0,1,SMC4
0,-0.751870876342122,0.646,0.86,0,1,PGK1
0,-0.783956097563051,0.938,0.972,0,1,HSP90AA1
0,-0.798107206621258,0.156,0.621,0,1,PCNA
0,-0.799665660235057,0.901,0.963,0,1,ENO1
0,-0.820208073343096,0.992,0.995,0,1,GAPDH
0,-0.838325891442662,0.388,0.757,0,1,PGAM1
0,-0.876221102053458,0.114,0.581,0,1,PTTG1
0,-0.893159305783554,0.183,0.611,0,1,UBE2S
0,-0.905806503029363,0.635,0.867,0,1,HMGN2
0,-0.921455051854037,0.154,0.587,0,1,TUBB4B
0,-0.993211131005121,0.158,0.651,0,1,PCLAF
0,-1.02429884509104,0.408,0.794,0,1,PKM
0,-1.0342812598646,0.045,0.522,0,1,NUSAP1
0,-1.04028597878748,0.36,0.759,0,1,DUT
0,-1.05973014816689,0.701,0.915,0,1,TPI1
0,-1.07311891944468,0.103,0.54,0,1,CENPF
0,-1.10183405532247,0.716,0.915,0,1,LDHA
0,-1.11081386585319,0.114,0.653,0,1,TYMS
0,-1.15555937865098,0.119,0.616,0,1,MKI67
0,-1.20952361917428,0.438,0.782,0,1,TUBB
0,-1.21344087311776,0.666,0.9,0,1,H2AFZ
0,-1.21538831967175,0.091,0.541,0,1,TOP2A
0,-1.34803998837678,0.353,0.774,0,1,STMN1
0,-1.43602394003626,0.326,0.77,0,1,HMGB2
0,-1.62066052172976,0.465,0.828,0,1,TUBA1B
0,-1.71758161398614,0.575,0.788,0,1,HIST1H4C
2.38534798095029e-307,-0.479221119875981,0.702,0.891,5.19767325049068e-303,1,MIF
6.11646060437198e-307,-0.485910520120082,0.27,0.659,1.33277676569266e-302,1,SMC1A
1.07938043278898e-304,-0.4772146636409,0.216,0.61,2.3519699630472e-300,1,SLBP
1.76629949524431e-301,-0.548737466361874,0.484,0.762,3.84876660013735e-297,1,HNRNPAB
6.81162575835973e-296,-0.682623216604845,0.263,0.601,1.48425325274659e-291,1,FABP5
3.1708128375603e-295,-0.414728695643826,0.175,0.568,6.90920117304389e-291,1,ALYREF
4.07904933531906e-294,-0.484790158539417,0.251,0.632,8.88824850166023e-290,1,TUBA4A
3.3484340366003e-291,-0.505950757335393,0.302,0.676,7.29623776575205e-287,1,RAD21
2.40507268907777e-290,-0.455498294686411,0.433,0.769,5.24065338950047e-286,1,COX17
4.06055780251196e-288,-1.27189939947173,0.647,0.815,8.84795545167356e-284,1,GZMA
