ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI_CD40_4-1BB,CD28,1.27024866738067e-137,-0.625385115694597,0.795,0.906,2.76787184622249e-133,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.09250275954976e-118,-0.572319510373184,0.57,0.812,2.38056351305893e-114,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,4.28428374995323e-118,-0.805803021538374,0.325,0.624,9.33545429114808e-114,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,6.24688288075904e-109,-0.208303403476732,0.122,0.367,1.3611957797174e-104,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,6.64903298173913e-105,-0.320630827147211,0.171,0.431,1.44882428672096e-100,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,9.22047480458482e-101,0.298458950591246,1,1,2.00914145991903e-96,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.48712832916276e-96,0.32783115085366,0.987,0.982,5.41945262924565e-92,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,3.4515803804768e-91,-1.03585629857188,0.614,0.802,7.52099364905895e-87,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,8.20539271240757e-81,-0.302562816598523,0.413,0.663,1.78795507203361e-76,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.79518942280227e-80,0.304089279622686,0.977,0.98,3.91171775228614e-76,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,8.7659058841968e-78,-0.36577782468113,0.109,0.301,1.91009089216648e-73,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,6.84075332842024e-77,-0.413117974633256,0.598,0.779,1.49060015026277e-72,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,5.03184466272893e-73,0.510056052660717,0.685,0.431,1.09643895200863e-68,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.28479146619919e-72,0.399613057089673,0.962,0.964,4.97856060484803e-68,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,5.73188599653288e-72,-0.263202933094246,0.28,0.532,1.24897795864452e-67,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,6.10476150388687e-72,-0.386674717975363,0.259,0.482,1.33022753169695e-67,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,9.57234700373175e-72,0.560968450704973,0.691,0.456,2.08581441211315e-67,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.96004327397218e-70,-0.271324776660095,0.308,0.543,4.27093429398538e-66,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.54599674425362e-70,-0.36417339828419,0.64,0.797,5.54772690572863e-66,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,3.39146403609508e-69,0.384653884626342,0.973,0.951,7.39000013465117e-65,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.7142689488317e-67,-0.210246247732356,0.332,0.569,3.73539203950428e-63,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,5.64296189541163e-66,0.416398647543225,0.963,0.966,1.2296013970102e-61,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,5.98038305090346e-65,-0.497360645075415,0.651,0.795,1.30312546679186e-60,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.43804837751394e-64,-0.235029469353361,0.935,0.972,3.13350741460287e-60,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,3.40592978516163e-64,-0.228366534878517,0.397,0.647,7.42152100186719e-60,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,3.7940977856795e-64,-0.498465258662318,0.745,0.872,8.26733907499562e-60,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.20880343766509e-60,0.254868871790155,0.933,0.899,4.81298269067223e-56,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.71139781419982e-59,0.241942341922296,0.96,0.97,5.9081358371414e-55,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,4.75137494629523e-59,0.307371703262468,0.912,0.828,1.03532460079773e-54,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.43595835935481e-57,0.374667996108935,0.704,0.535,3.12895326503414e-53,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,8.63640436631076e-57,-0.216507785009085,0.311,0.525,1.88187251141912e-52,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.21293825892629e-56,0.244731111461596,0.997,0.999,2.64299246620038e-52,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.46830539282734e-55,-0.259886701281319,0.884,0.948,3.19943745097078e-51,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,4.62088751615361e-55,0.322584010010565,0.893,0.845,1.00689138976987e-50,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,5.79848532358245e-53,0.503280068736845,0.62,0.408,1.26348995200862e-48,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,7.61494995177429e-53,-0.243948360377552,0.924,0.97,1.65929759449162e-48,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.1857434434267e-52,-0.32002591425169,0.833,0.919,2.58373496322679e-48,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.8834369436375e-52,-0.241358691701966,0.671,0.821,4.10400910018612e-48,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.05598844109362e-51,0.257013198874822,0.807,0.659,2.30099881314301e-47,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,6.15442579994443e-51,-0.327641118191125,0.853,0.925,1.34104938180789e-46,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,3.66037287490369e-50,-0.202636064035614,0.995,0.999,7.97595249441515e-46,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,4.85935180456133e-47,-0.230417979509283,0.553,0.743,1.05885275821391e-42,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.21060172050604e-43,-0.231406189613228,0.584,0.744,2.63790114898267e-39,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.25122253647089e-43,-0.23463770745385,0.935,0.97,4.90541390697007e-39,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.68370460025209e-43,0.257544386057828,0.655,0.5,5.84779232394929e-39,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,3.22671584705886e-43,0.367597793212536,0.93,0.907,7.03101383074126e-39,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,4.40157846903189e-43,0.257665404019902,0.838,0.793,9.59103948402048e-39,TRUE
