ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R_TACI_CD40_4-1BB,CD28,gse_mf,GO:0003823,antigen binding,10,0.746158290732095,2.4289514877964,0.00211864406779661,0.00211864406779661,0.156117165159595,27,"tags=90%, list=26%, signal=74%",HLA-DRA/HLA-DRB1/IL7R/HLA-DPB1/HLA-DPA1/TRBC2/TRBC1/HLA-DQB1/ITGA4
BAFF-R_TACI_CD40_4-1BB,CD28,gse_mf,GO:0033218,amide binding,9,0.698098670964545,2.16518508318754,0.00440528634361234,0.00440528634361234,0.156117165159595,23,"tags=78%, list=22%, signal=66%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/ITM2B/HLA-DQB1
BAFF-R_TACI_CD40_4-1BB,CD28,gse_mf,GO:0042277,peptide binding,9,0.698098670964545,2.16518508318754,0.00440528634361234,0.00440528634361234,0.156117165159595,23,"tags=78%, list=22%, signal=66%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/ITM2B/HLA-DQB1
BAFF-R_TACI_CD40_4-1BB,CD28,gse_mf,GO:0042605,peptide antigen binding,6,0.716502463898737,1.92342028638581,0.00601202404809619,0.00601202404809619,0.15979327075203,23,"tags=83%, list=22%, signal=69%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1
BAFF-R_TACI_CD40_4-1BB,CD28,gse_mf,GO:0023023,MHC protein complex binding,5,0.716922657076585,1.79762422248322,0.012987012987013,0.012987012987013,0.187175685693106,9,"tags=60%, list=9%, signal=58%",HLA-DRA/HLA-DRB1/CD74
BAFF-R_TACI_CD40_4-1BB,CD28,gse_mf,GO:0023026,MHC class II protein complex binding,5,0.716922657076585,1.79762422248322,0.012987012987013,0.012987012987013,0.187175685693106,9,"tags=60%, list=9%, signal=58%",HLA-DRA/HLA-DRB1/CD74
BAFF-R_TACI_CD40_4-1BB,CD28,gse_mf,GO:0044877,protein-containing complex binding,13,0.515396310683166,1.87687229714927,0.0136054421768707,0.0136054421768707,0.187175685693106,22,"tags=54%, list=21%, signal=49%",HLA-DRA/HLA-DRB1/CD74/VIM/FYB1/GMFG/SYNE2
BAFF-R_TACI_CD40_4-1BB,CD28,gse_mf,GO:0005125,cytokine activity,7,-0.649977409215906,-1.77085522849747,0.0144665461121157,0.0144665461121157,0.187175685693106,11,"tags=57%, list=10%, signal=55%",NAMPT/IL13/IL5/LTA
BAFF-R_TACI_CD40_4-1BB,CD28,gse_mf,GO:0003779,actin binding,5,0.679242287753611,1.71521490103606,0.0165289256198347,0.0165289256198347,0.187175685693106,22,"tags=80%, list=21%, signal=66%",S100A4/GMFG/TMSB4X/SYNE2
BAFF-R_TACI_CD40_4-1BB,CD28,gse_mf,GO:0030545,receptor regulator activity,8,-0.589841463240034,-1.69519165976956,0.0193661971830986,0.0193661971830986,0.187175685693106,11,"tags=50%, list=10%, signal=48%",NAMPT/IL13/IL5/LTA
BAFF-R_TACI_CD40_4-1BB,CD28,gse_mf,GO:0048018,receptor ligand activity,8,-0.589841463240034,-1.69519165976956,0.0193661971830986,0.0193661971830986,0.187175685693106,11,"tags=50%, list=10%, signal=48%",NAMPT/IL13/IL5/LTA
BAFF-R_TACI_CD40_4-1BB,CD28,gse_mf,GO:0030246,carbohydrate binding,3,0.79413711887967,1.59686822517102,0.0229166666666667,0.0229166666666667,0.203033625730994,4,"tags=67%, list=4%, signal=66%",HLA-DRA/HLA-DRB1
BAFF-R_TACI_CD40_4-1BB,CD28,gse_mf,GO:0032395,MHC class II receptor activity,3,0.803921568627451,1.62649596212416,0.0268199233716475,0.0268199233716475,0.219337025144648,23,"tags=100%, list=22%, signal=80%",HLA-DRA/HLA-DPA1/HLA-DQB1
BAFF-R_TACI_CD40_4-1BB,CD28,gse_bp,GO:0036293,response to decreased oxygen levels,9,-0.713224502548865,-2.11315635638644,0.0018348623853211,0.0018348623853211,0.261326169251435,11,"tags=56%, list=10%, signal=54%",NAMPT/BNIP3/DDIT4/LTA/HILPDA
BAFF-R_TACI_CD40_4-1BB,CD28,gse_bp,GO:0070482,response to oxygen levels,9,-0.713224502548865,-2.11315635638644,0.0018348623853211,0.0018348623853211,0.261326169251435,11,"tags=56%, list=10%, signal=54%",NAMPT/BNIP3/DDIT4/LTA/HILPDA
BAFF-R_TACI_CD40_4-1BB,CD28,gse_bp,GO:0001666,response to hypoxia,8,-0.688475248572178,-1.95134284658441,0.00186219739292365,0.00186219739292365,0.261326169251435,10,"tags=62%, list=10%, signal=61%",LMNA/BNIP3/DDIT4/LTA/HILPDA
BAFF-R_TACI_CD40_4-1BB,CD28,gse_bp,GO:0070997,neuron death,5,-0.846433541904741,-2.10272901960311,0.00188679245283019,0.00188679245283019,0.261326169251435,11,"tags=80%, list=10%, signal=75%",NAMPT/BNIP3/DDIT4/IL13
BAFF-R_TACI_CD40_4-1BB,CD28,gse_bp,GO:0050852,T cell receptor signaling pathway,10,0.71336500147085,2.3526912995066,0.00211864406779661,0.00211864406779661,0.261326169251435,23,"tags=80%, list=22%, signal=69%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/TRBC1/PTPRC/FYB1/HLA-DQB1
BAFF-R_TACI_CD40_4-1BB,CD28,gse_bp,GO:0050851,antigen receptor-mediated signaling pathway,12,0.6965559084484,2.50422753953476,0.00216919739696312,0.00216919739696312,0.261326169251435,28,"tags=83%, list=27%, signal=69%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/TRBC2/TRBC1/PTPRC/FYB1/HLA-DQB1/CD38
BAFF-R_TACI_CD40_4-1BB,CD28,gse_bp,GO:0002429,immune response-activating cell surface receptor signaling pathway,13,0.653449426575328,2.38315246403539,0.00220264317180617,0.00220264317180617,0.261326169251435,28,"tags=77%, list=27%, signal=64%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/TRBC2/TRBC1/PTPRC/FYB1/HLA-DQB1/CD38
BAFF-R_TACI_CD40_4-1BB,CD28,gse_bp,GO:0002768,immune response-regulating cell surface receptor signaling pathway,13,0.653449426575328,2.38315246403539,0.00220264317180617,0.00220264317180617,0.261326169251435,28,"tags=77%, list=27%, signal=64%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/TRBC2/TRBC1/PTPRC/FYB1/HLA-DQB1/CD38
BAFF-R_TACI_CD40_4-1BB,CD28,gse_bp,GO:0002478,antigen processing and presentation of exogenous peptide antigen,9,0.617089607591557,1.92265646468375,0.0044543429844098,0.0044543429844098,0.261326169251435,12,"tags=56%, list=11%, signal=54%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1
BAFF-R_TACI_CD40_4-1BB,CD28,gse_bp,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,9,0.617089607591557,1.92265646468375,0.0044543429844098,0.0044543429844098,0.261326169251435,12,"tags=56%, list=11%, signal=54%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1
