ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI_CD40_4-1BB,Zeta,1.53455026172802e-145,-0.439744987596993,0.973,0.988,3.34378502030536e-141,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.67568503423325e-100,0.378058975058425,0.663,0.417,3.65131768959426e-96,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,2.564895755751e-83,0.320117431462484,0.686,0.46,5.58890785178143e-79,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,9.01122103480584e-77,0.32753578220568,0.57,0.361,1.96354506348419e-72,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,2.73015139272735e-72,-0.315206299238189,0.963,0.983,5.94899988475289e-68,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,2.87085880910432e-67,0.244599980651202,0.987,0.973,6.25560134503832e-63,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,4.37229155178334e-67,-0.205412683809811,0.997,0.998,9.52722329133589e-63,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,7.41278732297191e-64,0.251136516660285,0.962,0.882,1.61524635767558e-59,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,3.23943126075694e-61,0.215844216510599,0.617,0.426,7.05872071718938e-57,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,5.64986132678212e-61,0.27230312259326,0.622,0.445,1.23110478310583e-56,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,9.4439558664823e-61,-0.295474934256423,0.894,0.926,2.05783798330649e-56,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,4.79449453135993e-57,0.25334286121684,0.935,0.891,1.04472035838333e-52,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.74020211947187e-56,0.256645602585123,0.853,0.748,3.79190041832921e-52,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.87399993773149e-51,0.306563028941435,0.795,0.696,4.08344586431692e-47,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.7366466133898e-49,-0.256010868516742,0.912,0.934,3.78415297057637e-45,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,2.20096897811541e-49,0.234512982424634,0.686,0.512,4.79591140331348e-45,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,4.15019273594382e-49,0.345077519237711,0.691,0.515,9.04326997162159e-45,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,2.84437768268956e-47,0.218494588164558,0.833,0.74,6.19789897058055e-43,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,4.66088146232087e-43,0.206028921064569,0.695,0.555,1.01560607063972e-38,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,3.88714510486579e-42,-0.252661682060663,0.924,0.933,8.47008918350255e-38,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,2.12765256187847e-41,0.239403328343721,0.62,0.447,4.63615493233319e-37,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,3.02804278903738e-41,0.204549335805156,0.82,0.712,6.59810523731246e-37,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,6.87788426736445e-41,0.543884024407207,0.614,0.476,1.49869098185871e-36,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,8.91093137020435e-39,0.208151697709192,0.989,0.978,1.94169194556753e-34,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,7.81709441632392e-38,0.233708103937965,0.853,0.789,1.70334487331698e-33,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,8.36833961563183e-37,0.217737066570829,0.337,0.189,1.82346120224618e-32,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,2.30660870429385e-36,0.238673114354165,0.816,0.755,5.0261003666563e-32,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,5.00037722219271e-35,-0.3829285847617,0.522,0.603,1.08958219671579e-30,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,6.51429866360219e-35,-0.259797253067306,0.685,0.784,1.41946567879892e-30,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,3.84068939728983e-31,0.249315019195998,0.767,0.652,8.36886219669455e-27,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.27315078874453e-30,-0.234887267823573,0.468,0.563,2.77419556867433e-26,TRUE
