ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_mf,GO:0005515,protein binding,29,0.458020600426193,1.5961063131236,0.0474576271186441,0.0474576271186441,0.912037037037037,15,"tags=48%, list=37%, signal=105%",HILPDA/NFKBIA/GZMB/HLA-DRA/BIRC3/IL2RA/STAT1/DDIT4/BATF3/CYCS/HSPD1/CD74/TNFSF10/HSP90AB1
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0006950,response to stress,20,0.577278262880826,2.10369931968894,0.0033112582781457,0.0033112582781457,0.190196746220953,16,"tags=65%, list=39%, signal=77%",HILPDA/NFKBIA/GZMB/HLA-DRA/BIRC3/IL2RA/STAT1/DDIT4/CYCS/HSPD1/CD74/HSP90AB1/HLA-DRB1
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0006952,defense response,16,0.571686958998534,2.04354969194038,0.00337837837837838,0.00337837837837838,0.190196746220953,22,"tags=88%, list=54%, signal=66%",NFKBIA/GZMB/HLA-DRA/BIRC3/IL2RA/STAT1/DDIT4/HSPD1/CD74/HSP90AB1/HLA-DRB1/CCR7/HLA-DPA1/HLA-DQB1
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0002376,immune system process,22,0.562522649111116,2.01822904539841,0.00342465753424658,0.00342465753424658,0.190196746220953,18,"tags=68%, list=44%, signal=83%",NFKBIA/GZMB/HLA-DRA/BIRC3/IL2RA/STAT1/DDIT4/BATF3/HSPD1/CD74/TNFSF10/HSP90AB1/HLA-DRB1/FABP5/CCR7
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0031347,regulation of defense response,7,0.676470588235294,1.89298782801694,0.00359712230215827,0.00359712230215827,0.190196746220953,18,"tags=100%, list=44%, signal=68%",NFKBIA/BIRC3/IL2RA/STAT1/HSPD1/HSP90AB1/CCR7
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0006915,apoptotic process,16,0.57938332960727,2.04901850462585,0.00503355704697987,0.00503355704697987,0.190196746220953,15,"tags=69%, list=37%, signal=72%",NFKBIA/GZMB/BIRC3/IL2RA/STAT1/DDIT4/CYCS/HSPD1/CD74/TNFSF10/HSP90AB1
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0008219,cell death,16,0.57938332960727,2.04901850462585,0.00503355704697987,0.00503355704697987,0.190196746220953,15,"tags=69%, list=37%, signal=72%",NFKBIA/GZMB/BIRC3/IL2RA/STAT1/DDIT4/CYCS/HSPD1/CD74/TNFSF10/HSP90AB1
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0012501,programmed cell death,16,0.57938332960727,2.04901850462585,0.00503355704697987,0.00503355704697987,0.190196746220953,15,"tags=69%, list=37%, signal=72%",NFKBIA/GZMB/BIRC3/IL2RA/STAT1/DDIT4/CYCS/HSPD1/CD74/TNFSF10/HSP90AB1
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0009607,response to biotic stimulus,9,0.654062921639919,2.00175221723608,0.00535714285714286,0.00535714285714286,0.190196746220953,12,"tags=78%, list=29%, signal=70%",NFKBIA/BIRC3/IL2RA/STAT1/DDIT4/BATF3/HSPD1
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0010629,negative regulation of gene expression,4,0.837837837837838,1.89348184196017,0.00578034682080925,0.00578034682080925,0.190196746220953,10,"tags=100%, list=24%, signal=84%",MIR155HG/BIRC3/STAT1/BATF3
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0016043,cellular component organization,14,0.589324736448863,2.01892245292828,0.00649350649350649,0.00649350649350649,0.190196746220953,15,"tags=71%, list=37%, signal=69%",HILPDA/GZMB/HLA-DRA/BIRC3/DDIT4/CYCS/HSPD1/CD74/TNFSF10/HSP90AB1
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0071840,cellular component organization or biogenesis,14,0.589324736448863,2.01892245292828,0.00649350649350649,0.00649350649350649,0.190196746220953,15,"tags=71%, list=37%, signal=69%",HILPDA/GZMB/HLA-DRA/BIRC3/DDIT4/CYCS/HSPD1/CD74/TNFSF10/HSP90AB1
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0050896,response to stimulus,29,0.545438524928127,1.83282531853896,0.00667779632721202,0.00667779632721202,0.190196746220953,18,"tags=59%, list=44%, signal=112%",HILPDA/NFKBIA/GZMB/HLA-DRA/BIRC3/IL2RA/STAT1/DDIT4/BATF3/CYCS/HSPD1/CD74/TNFSF10/HSP90AB1/HLA-DRB1/FABP5/CCR7
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0051704,multi-organism process,13,0.625632547834337,2.15346670458438,0.00668896321070234,0.00668896321070234,0.190196746220953,15,"tags=77%, list=37%, signal=71%",NFKBIA/HLA-DRA/BIRC3/IL2RA/STAT1/DDIT4/BATF3/HSPD1/CD74/HSP90AB1
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0043207,response to external biotic stimulus,8,0.668342005548679,1.96231407891376,0.00720720720720721,0.00720720720720721,0.190196746220953,10,"tags=75%, list=24%, signal=70%",NFKBIA/BIRC3/IL2RA/STAT1/DDIT4/BATF3
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0051707,response to other organism,8,0.668342005548679,1.96231407891376,0.00720720720720721,0.00720720720720721,0.190196746220953,10,"tags=75%, list=24%, signal=70%",NFKBIA/BIRC3/IL2RA/STAT1/DDIT4/BATF3
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0043170,macromolecule metabolic process,23,0.508630063722988,1.85040382820241,0.00821018062397373,0.00821018062397373,0.190196746220953,15,"tags=57%, list=37%, signal=82%",NFKBIA/GZMB/MIR155HG/BIRC3/IL2RA/STAT1/DDIT4/BATF3/CYCS/HSPD1/CD74/TNFSF10/HSP90AB1
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0010468,regulation of gene expression,9,0.637768319012087,1.95089633336678,0.00854700854700855,0.00854700854700855,0.190196746220953,13,"tags=78%, list=32%, signal=68%",NFKBIA/MIR155HG/BIRC3/STAT1/BATF3/HSPD1/CD74
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0050778,positive regulation of immune response,11,0.566666666666667,1.823033661258,0.00899280575539568,0.00899280575539568,0.190196746220953,24,"tags=100%, list=59%, signal=57%",NFKBIA/HLA-DRA/BIRC3/HSPD1/CD74/HSP90AB1/HLA-DRB1/CCR7/HLA-DPA1/HLA-DQB1/HSP90AA1
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:1901701,cellular response to oxygen-containing compound,3,0.842105263157895,1.69286148308479,0.0112359550561798,0.0112359550561798,0.190196746220953,9,"tags=100%, list=22%, signal=84%",NFKBIA/STAT1/DDIT4
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0045088,regulation of innate immune response,5,0.722222222222222,1.77411234538775,0.0121317157712305,0.0121317157712305,0.190196746220953,15,"tags=100%, list=37%, signal=72%",NFKBIA/BIRC3/STAT1/HSPD1/HSP90AB1
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0010942,positive regulation of cell death,5,0.75,1.80051951385413,0.0126582278481013,0.0126582278481013,0.190196746220953,14,"tags=100%, list=34%, signal=75%",GZMB/DDIT4/CYCS/HSPD1/TNFSF10
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0009968,negative regulation of signal transduction,5,0.75,1.86401750129346,0.0127272727272727,0.0127272727272727,0.190196746220953,14,"tags=100%, list=34%, signal=75%",NFKBIA/STAT1/DDIT4/CD74/TNFSF10
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0010648,negative regulation of cell communication,5,0.75,1.86401750129346,0.0127272727272727,0.0127272727272727,0.190196746220953,14,"tags=100%, list=34%, signal=75%",NFKBIA/STAT1/DDIT4/CD74/TNFSF10
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0023057,negative regulation of signaling,5,0.75,1.86401750129346,0.0127272727272727,0.0127272727272727,0.190196746220953,14,"tags=100%, list=34%, signal=75%",NFKBIA/STAT1/DDIT4/CD74/TNFSF10
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0002831,regulation of response to biotic stimulus,4,0.783783783783784,1.78229986145327,0.0128676470588235,0.0128676470588235,0.190196746220953,12,"tags=100%, list=29%, signal=78%",BIRC3/IL2RA/STAT1/HSPD1
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0048585,negative regulation of response to stimulus,7,0.644819731278826,1.80596659916872,0.0136986301369863,0.0136986301369863,0.190196746220953,14,"tags=86%, list=34%, signal=68%",NFKBIA/IL2RA/STAT1/DDIT4/CD74/TNFSF10
BAFF-R_TACI_CD40_4-1BB,Zeta,gse_bp,GO:0001816,cytokine production,8,0.636363636363636,1.85344115847531,0.0140105078809107,0.0140105078809107,0.190196746220953,20,"tags=100%, list=49%, signal=64%",HILPDA/BIRC3/STAT1/HSPD1/CD74/HSP90AB1/CCR7/HLA-DPA1
