ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI_CD40,4-1BB,5.70959591364466e-47,-0.236484830635255,0.754,0.844,1.24412094958317e-42,TRUE
BAFF-R_TACI_CD40,4-1BB,9.63300881791103e-30,0.284173696735452,0.714,0.606,2.09903262142281e-25,TRUE
BAFF-R_TACI_CD40,4-1BB,3.76476327551605e-27,-0.563966049313232,0.176,0.283,8.20341917734946e-23,TRUE
BAFF-R_TACI_CD40,4-1BB,7.71840365480879e-25,-0.265469335042444,0.198,0.309,1.68184015638284e-20,TRUE
BAFF-R_TACI_CD40,4-1BB,2.8237076330411e-24,0.207854694859667,0.646,0.527,6.15285893239656e-20,TRUE
BAFF-R_TACI_CD40,4-1BB,5.25479437734071e-24,-0.241927657081042,0.794,0.872,1.14501969482254e-19,TRUE
BAFF-R_TACI_CD40,4-1BB,1.27485041738897e-22,0.205870810267144,0.876,0.855,2.77789905949057e-18,TRUE
BAFF-R_TACI_CD40,4-1BB,6.08146480914881e-20,-0.253534934903129,0.795,0.797,1.32515118191353e-15,TRUE
BAFF-R_TACI_CD40,4-1BB,7.69464025976601e-18,0.200344262131559,0.359,0.257,1.67666211260301e-13,TRUE
BAFF-R_TACI_CD40,4-1BB,3.79792891574574e-15,-0.216799070602709,0.205,0.289,8.27568710740998e-11,TRUE
BAFF-R_TACI_CD40,4-1BB,1.36114549063302e-08,0.56103062739885,0.32,0.266,0.000296593602408935,TRUE
BAFF-R_TACI_CD40,4-1BB,1.37112671261722e-08,-0.448931284643272,0.61,0.632,0.000298768510679293,TRUE
BAFF-R_TACI_CD40,4-1BB,2.2992194936691e-05,0.226994543981043,0.593,0.583,0.500999927670496,TRUE
BAFF-R_TACI_CD40,4-1BB,0.060706774612165,-0.254281646862501,0.248,0.264,1,TRUE
