ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R_TACI_CD40,4-1BB,gse_mf,GO:0003823,antigen binding,5,0.888888888888889,1.97531326220884,0.00440528634361234,0.00440528634361234,0.0463714351959193,6,"tags=100%, list=43%, signal=89%",HLA-DRA/TRBC1/HLA-DRB1/TRBC2/HLA-DQB1
BAFF-R_TACI_CD40,4-1BB,gse_mf,GO:0005102,signaling receptor binding,5,-0.747044615594087,-1.61385435368232,0.0429338103756708,0.0429338103756708,0.225967423029847,4,"tags=60%, list=29%, signal=67%",IL13/HILPDA/IL5
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0032879,regulation of localization,3,-1,-1.8919193340232,0.0072992700729927,0.0072992700729927,0.112039524304478,4,"tags=100%, list=29%, signal=91%",HILPDA/IL5
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0002250,adaptive immune response,5,0.888888888888889,1.98179484161954,0.00833333333333333,0.00833333333333333,0.112039524304478,6,"tags=100%, list=43%, signal=89%",HLA-DRA/TRBC1/HLA-DRB1/TRBC2/HLA-DQB1
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0002253,activation of immune response,5,0.888888888888889,1.98179484161954,0.00833333333333333,0.00833333333333333,0.112039524304478,6,"tags=100%, list=43%, signal=89%",HLA-DRA/TRBC1/HLA-DRB1/TRBC2/HLA-DQB1
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0002429,immune response-activating cell surface receptor signaling pathway,5,0.888888888888889,1.98179484161954,0.00833333333333333,0.00833333333333333,0.112039524304478,6,"tags=100%, list=43%, signal=89%",HLA-DRA/TRBC1/HLA-DRB1/TRBC2/HLA-DQB1
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0002757,immune response-activating signal transduction,5,0.888888888888889,1.98179484161954,0.00833333333333333,0.00833333333333333,0.112039524304478,6,"tags=100%, list=43%, signal=89%",HLA-DRA/TRBC1/HLA-DRB1/TRBC2/HLA-DQB1
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0002764,immune response-regulating signaling pathway,5,0.888888888888889,1.98179484161954,0.00833333333333333,0.00833333333333333,0.112039524304478,6,"tags=100%, list=43%, signal=89%",HLA-DRA/TRBC1/HLA-DRB1/TRBC2/HLA-DQB1
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0002768,immune response-regulating cell surface receptor signaling pathway,5,0.888888888888889,1.98179484161954,0.00833333333333333,0.00833333333333333,0.112039524304478,6,"tags=100%, list=43%, signal=89%",HLA-DRA/TRBC1/HLA-DRB1/TRBC2/HLA-DQB1
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0045087,innate immune response,5,0.888888888888889,1.98179484161954,0.00833333333333333,0.00833333333333333,0.112039524304478,6,"tags=100%, list=43%, signal=89%",HLA-DRA/TRBC1/HLA-DRB1/TRBC2/HLA-DQB1
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0050851,antigen receptor-mediated signaling pathway,5,0.888888888888889,1.98179484161954,0.00833333333333333,0.00833333333333333,0.112039524304478,6,"tags=100%, list=43%, signal=89%",HLA-DRA/TRBC1/HLA-DRB1/TRBC2/HLA-DQB1
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0008283,cell proliferation,4,-0.9,-1.85076580672571,0.00897666068222621,0.00897666068222621,0.112039524304478,6,"tags=100%, list=43%, signal=80%",IL13/HILPDA/IL5
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0008284,positive regulation of cell proliferation,4,-0.9,-1.85076580672571,0.00897666068222621,0.00897666068222621,0.112039524304478,6,"tags=100%, list=43%, signal=80%",IL13/HILPDA/IL5
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0042127,regulation of cell proliferation,4,-0.9,-1.85076580672571,0.00897666068222621,0.00897666068222621,0.112039524304478,6,"tags=100%, list=43%, signal=80%",IL13/HILPDA/IL5
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0051239,regulation of multicellular organismal process,4,-0.9,-1.85076580672571,0.00897666068222621,0.00897666068222621,0.112039524304478,6,"tags=100%, list=43%, signal=80%",IL13/HILPDA/IL5
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0051240,positive regulation of multicellular organismal process,4,-0.9,-1.85076580672571,0.00897666068222621,0.00897666068222621,0.112039524304478,6,"tags=100%, list=43%, signal=80%",IL13/HILPDA/IL5
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0033036,macromolecule localization,4,-0.843889100223777,-1.73234299638636,0.0187265917602996,0.0187265917602996,0.218148367172613,4,"tags=75%, list=29%, signal=75%",IL13/HILPDA/IL5
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0006959,humoral immune response,4,0.8,1.63559959120271,0.0399113082039911,0.0399113082039911,0.244538079093597,6,"tags=100%, list=43%, signal=80%",GNLY/TRBC1/TRBC2/HLA-DQB1
BAFF-R_TACI_CD40,4-1BB,gse_bp,GO:0050778,positive regulation of immune response,6,0.684112005933272,1.56753950593743,0.0486725663716814,0.0486725663716814,0.244538079093597,6,"tags=83%, list=43%, signal=83%",HLA-DRA/TRBC1/HLA-DRB1/TRBC2/HLA-DQB1
