ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI_CD40,CD28,1.25775327140264e-151,-0.685503759829368,0.795,0.906,2.74064437838635e-147,TRUE
BAFF-R_TACI_CD40,CD28,7.2604800665012e-147,-0.23101471063201,0.091,0.367,1.58205860649061e-142,TRUE
BAFF-R_TACI_CD40,CD28,1.05649040250856e-133,-0.846873044658518,0.298,0.624,2.30209258706616e-129,TRUE
BAFF-R_TACI_CD40,CD28,6.17948899776418e-132,-0.618558350867004,0.549,0.812,1.34651065261281e-127,TRUE
BAFF-R_TACI_CD40,CD28,1.49928559319455e-123,0.336156313350954,1,1,3.26694330757093e-119,TRUE
BAFF-R_TACI_CD40,CD28,4.31087646413721e-114,-0.334493017597472,0.157,0.431,9.39339981535499e-110,TRUE
BAFF-R_TACI_CD40,CD28,6.78484826106051e-108,0.348054066735253,0.987,0.982,1.47841843608509e-103,TRUE
BAFF-R_TACI_CD40,CD28,2.4776757407944e-98,-1.15067389924562,0.61,0.802,5.39885543919099e-94,TRUE
BAFF-R_TACI_CD40,CD28,2.06783841262755e-91,-0.332910684637869,0.396,0.663,4.50581990111542e-87,TRUE
BAFF-R_TACI_CD40,CD28,1.87470839632198e-90,0.32535079726065,0.976,0.98,4.08498959558558e-86,TRUE
BAFF-R_TACI_CD40,CD28,3.10252547324301e-90,-0.458215354165824,0.58,0.779,6.76040300619653e-86,TRUE
BAFF-R_TACI_CD40,CD28,1.60534813332218e-85,-0.301314441912975,0.283,0.543,3.49805358250903e-81,TRUE
BAFF-R_TACI_CD40,CD28,2.21127196607591e-85,-0.296667605715507,0.257,0.532,4.81836161407941e-81,TRUE
BAFF-R_TACI_CD40,CD28,9.23691061724556e-85,0.433583072731994,0.961,0.964,2.01272282349781e-80,TRUE
BAFF-R_TACI_CD40,CD28,1.00749818403691e-84,0.615545288368655,0.714,0.456,2.19533854301643e-80,TRUE
BAFF-R_TACI_CD40,CD28,3.48250255639025e-81,-0.375211545329071,0.101,0.301,7.58837307037435e-77,TRUE
BAFF-R_TACI_CD40,CD28,1.22804672427521e-79,0.545023561414089,0.701,0.431,2.67591381219568e-75,TRUE
BAFF-R_TACI_CD40,CD28,2.54295520701611e-79,0.418417432545458,0.975,0.951,5.54109939608811e-75,TRUE
BAFF-R_TACI_CD40,CD28,1.86594141106279e-78,-0.393909746098477,0.627,0.797,4.06588633470582e-74,TRUE
BAFF-R_TACI_CD40,CD28,6.69683505234517e-74,-0.224629321162331,0.317,0.569,1.45924035790601e-69,TRUE
BAFF-R_TACI_CD40,CD28,3.96365474522159e-73,-0.397227958572898,0.252,0.482,8.63680368983784e-69,TRUE
BAFF-R_TACI_CD40,CD28,9.68561300809889e-71,-0.240508338245819,0.375,0.647,2.11049507446475e-66,TRUE
BAFF-R_TACI_CD40,CD28,1.38207614419143e-70,0.435583405411498,0.962,0.966,3.01154391819312e-66,TRUE
BAFF-R_TACI_CD40,CD28,7.94885995114909e-69,0.26573378463317,0.96,0.97,1.73205658335539e-64,TRUE
BAFF-R_TACI_CD40,CD28,2.49667505330957e-68,0.414008299238525,0.722,0.535,5.44025494116156e-64,TRUE
BAFF-R_TACI_CD40,CD28,2.94680516934168e-68,-0.530006102199012,0.649,0.795,6.42108846399553e-64,TRUE
BAFF-R_TACI_CD40,CD28,1.29128532112108e-67,-0.533396522559776,0.741,0.872,2.81371071472283e-63,TRUE
BAFF-R_TACI_CD40,CD28,1.6193497682695e-65,0.267541876576984,0.929,0.899,3.52856314505924e-61,TRUE
BAFF-R_TACI_CD40,CD28,3.02942638620629e-65,-0.240198015887775,0.932,0.972,6.60112009554351e-61,TRUE
BAFF-R_TACI_CD40,CD28,7.25019907386231e-65,-0.290087491318116,0.878,0.948,1.5798183781946e-60,TRUE
BAFF-R_TACI_CD40,CD28,1.09933330446638e-63,0.54441225520204,0.646,0.408,2.39544727043225e-59,TRUE
BAFF-R_TACI_CD40,CD28,1.81259894842928e-62,0.353537842310785,0.901,0.845,3.94965310862741e-58,TRUE
BAFF-R_TACI_CD40,CD28,3.02594245065842e-62,-0.229280953538088,0.296,0.525,6.59352859998469e-58,TRUE
BAFF-R_TACI_CD40,CD28,5.23620303998273e-61,0.254036546330855,0.997,0.999,1.14096864241224e-56,TRUE
BAFF-R_TACI_CD40,CD28,1.70770549073635e-59,0.310361781604525,0.91,0.828,3.72109026431452e-55,TRUE
BAFF-R_TACI_CD40,CD28,2.64528829118824e-58,-0.265039327395127,0.528,0.743,5.76408318649918e-54,TRUE
BAFF-R_TACI_CD40,CD28,5.45582211526323e-57,-0.256891810249672,0.663,0.821,1.18882363891586e-52,TRUE
BAFF-R_TACI_CD40,CD28,1.61689936511539e-56,0.272277000504729,0.814,0.659,3.52322371658643e-52,TRUE
BAFF-R_TACI_CD40,CD28,2.47584513675678e-56,-0.354404741270597,0.85,0.925,5.39486655299302e-52,TRUE
BAFF-R_TACI_CD40,CD28,1.61427386093607e-53,-0.612173741681137,0.198,0.395,3.51750274297969e-49,TRUE
BAFF-R_TACI_CD40,CD28,1.8062145782057e-52,-0.210742624295325,0.995,0.999,3.93574156591021e-48,TRUE
BAFF-R_TACI_CD40,CD28,3.88639218805079e-52,-0.326569302579103,0.831,0.919,8.46844857776267e-48,TRUE
BAFF-R_TACI_CD40,CD28,4.08596819757242e-52,0.395842718089049,0.876,0.855,8.90332470251031e-48,TRUE
BAFF-R_TACI_CD40,CD28,2.22056608525534e-51,-0.244654261827846,0.92,0.97,4.83861349977139e-47,TRUE
BAFF-R_TACI_CD40,CD28,2.83674332580062e-50,0.282231556579873,0.843,0.793,6.18126370691955e-46,TRUE
BAFF-R_TACI_CD40,CD28,7.87216737177591e-50,0.28640234518059,0.667,0.5,1.71534527030997e-45,TRUE
BAFF-R_TACI_CD40,CD28,1.65831276496665e-49,-0.256521797320835,0.574,0.744,3.61346351486233e-45,TRUE
BAFF-R_TACI_CD40,CD28,2.92878424190567e-48,0.424867676364834,0.55,0.345,6.38182086311246e-44,TRUE
BAFF-R_TACI_CD40,CD28,4.61078638182245e-48,-0.268201301134842,0.696,0.837,1.00469035259911e-43,TRUE
BAFF-R_TACI_CD40,CD28,8.8750413226825e-48,0.254155116926113,0.862,0.827,1.93387150421252e-43,TRUE
BAFF-R_TACI_CD40,CD28,9.01656567090673e-47,-0.240886443017101,0.65,0.801,1.96470965969058e-42,TRUE
BAFF-R_TACI_CD40,CD28,1.23502956440043e-46,-0.254782899348045,0.841,0.937,2.69112942082854e-42,TRUE
BAFF-R_TACI_CD40,CD28,2.13181587187852e-45,0.259444123275255,0.921,0.904,4.64522678482329e-41,TRUE
BAFF-R_TACI_CD40,CD28,1.08089356964052e-44,-0.234328925415723,0.376,0.573,2.35526708824669e-40,TRUE
BAFF-R_TACI_CD40,CD28,1.17046011790497e-44,-0.211606620466989,0.986,0.996,2.55043259691492e-40,TRUE
BAFF-R_TACI_CD40,CD28,2.68720225232932e-44,-0.218632094958086,0.792,0.888,5.85541370782558e-40,TRUE
BAFF-R_TACI_CD40,CD28,4.51588976663217e-44,0.279007097236136,0.482,0.28,9.8401238014915e-40,TRUE
BAFF-R_TACI_CD40,CD28,4.65366748465005e-44,-0.241464880689638,0.929,0.97,1.01403414490525e-39,TRUE
BAFF-R_TACI_CD40,CD28,6.54874924024016e-44,-0.230098116392028,0.694,0.835,1.42697245944833e-39,TRUE
BAFF-R_TACI_CD40,CD28,1.35328620220175e-43,0.409707779768358,0.616,0.446,2.94881063459762e-39,TRUE
BAFF-R_TACI_CD40,CD28,6.02754167168298e-43,0.529043759128091,0.957,0.942,1.31340133025972e-38,TRUE
BAFF-R_TACI_CD40,CD28,2.41150013216626e-41,-0.217711533218556,0.675,0.82,5.25465878799027e-37,TRUE
BAFF-R_TACI_CD40,CD28,2.44386496153805e-41,-0.370531835766394,0.317,0.496,5.32518175119141e-37,TRUE
BAFF-R_TACI_CD40,CD28,6.2961899975795e-41,-0.20234678294801,0.54,0.723,1.37193980047257e-36,TRUE
BAFF-R_TACI_CD40,CD28,1.51812549918278e-40,0.365077875274693,0.925,0.907,3.30799546271927e-36,TRUE
BAFF-R_TACI_CD40,CD28,5.33343323754714e-40,-0.2228679692907,0.903,0.95,1.16215510246152e-35,TRUE
BAFF-R_TACI_CD40,CD28,7.91283179045236e-40,-0.741403913223821,0.789,0.866,1.72420604713957e-35,TRUE
BAFF-R_TACI_CD40,CD28,9.54607061337175e-40,-0.2123634751631,0.835,0.923,2.0800887866537e-35,TRUE
BAFF-R_TACI_CD40,CD28,1.3765176463039e-39,-0.210098011047365,0.644,0.841,2.9994319512962e-35,TRUE
BAFF-R_TACI_CD40,CD28,6.44628025000105e-39,-0.241468502296844,0.612,0.757,1.40464446647523e-34,TRUE
BAFF-R_TACI_CD40,CD28,1.3452679324852e-38,0.226639259839275,0.902,0.869,2.93133882488525e-34,TRUE
BAFF-R_TACI_CD40,CD28,1.4025712010908e-38,0.277640630427733,0.767,0.667,3.05620264717686e-34,TRUE
BAFF-R_TACI_CD40,CD28,4.91251027683324e-38,-0.207481617151094,0.659,0.806,1.07043598932196e-33,TRUE
BAFF-R_TACI_CD40,CD28,9.78543010989188e-38,0.264324866088616,0.844,0.816,2.13224522094544e-33,TRUE
BAFF-R_TACI_CD40,CD28,1.57580017407212e-37,-0.224897773548064,0.581,0.76,3.43366857930315e-33,TRUE
BAFF-R_TACI_CD40,CD28,3.55429755557285e-37,-0.288880608643707,0.794,0.928,7.74481437359323e-33,TRUE
BAFF-R_TACI_CD40,CD28,3.62545779322306e-37,-0.308925307466836,0.602,0.75,7.89987253143305e-33,TRUE
BAFF-R_TACI_CD40,CD28,3.76795496198125e-37,0.325187926487735,0.359,0.176,8.21037386215713e-33,TRUE
BAFF-R_TACI_CD40,CD28,7.32084375465589e-37,-0.200125386169329,0.416,0.6,1.59521185413952e-32,TRUE
BAFF-R_TACI_CD40,CD28,3.36665173282151e-36,-0.220023430827358,0.785,0.875,7.33593412581807e-32,TRUE
BAFF-R_TACI_CD40,CD28,5.29053891215002e-36,0.203175462123416,0.931,0.943,1.15280842895749e-31,TRUE
BAFF-R_TACI_CD40,CD28,8.46911278592737e-36,0.291731437040952,0.653,0.517,1.84541967605357e-31,TRUE
BAFF-R_TACI_CD40,CD28,5.71488205007719e-35,-0.249118446790757,0.754,0.867,1.24527279871182e-30,TRUE
BAFF-R_TACI_CD40,CD28,5.78664076620843e-35,-0.219669898036958,0.813,0.93,1.26090902295682e-30,TRUE
BAFF-R_TACI_CD40,CD28,7.9294598237369e-35,-0.210220658605603,0.653,0.822,1.72782929559227e-30,TRUE
BAFF-R_TACI_CD40,CD28,1.39984612364315e-34,-0.213570175884464,0.6,0.743,3.05026470341842e-30,TRUE
BAFF-R_TACI_CD40,CD28,2.89138352049995e-34,-0.20812954258589,0.449,0.619,6.30032469116939e-30,TRUE
BAFF-R_TACI_CD40,CD28,4.44339392188376e-34,-0.200311679043567,0.638,0.815,9.68215535578471e-30,TRUE
BAFF-R_TACI_CD40,CD28,2.6483196062343e-32,-0.213607968847024,0.801,0.888,5.77068842198454e-28,TRUE
BAFF-R_TACI_CD40,CD28,7.84952868232147e-32,0.239844133738439,0.485,0.326,1.71041229987785e-27,TRUE
BAFF-R_TACI_CD40,CD28,1.07947659903664e-31,0.200569524508479,0.43,0.264,2.35217950930084e-27,TRUE
BAFF-R_TACI_CD40,CD28,1.54165227773561e-31,0.228719648252402,0.894,0.894,3.35926031318589e-27,TRUE
BAFF-R_TACI_CD40,CD28,3.19958169699681e-31,0.214416362348768,0.735,0.668,6.97188851775606e-27,TRUE
BAFF-R_TACI_CD40,CD28,1.13186360742258e-30,0.262202075579961,0.852,0.845,2.46633080057381e-26,TRUE
BAFF-R_TACI_CD40,CD28,5.69337407781262e-29,0.239826605973041,0.585,0.461,1.24058621155537e-24,TRUE
BAFF-R_TACI_CD40,CD28,1.71074322758205e-28,0.445782796687685,0.832,0.791,3.72770949290128e-24,TRUE
BAFF-R_TACI_CD40,CD28,4.92824184450952e-28,0.448300238033287,0.371,0.219,1.07386389791862e-23,TRUE
