ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0042605,peptide antigen binding,6,0.770285525407879,2.06257196454545,0.00213219616204691,0.00213219616204691,0.072289156626506,21,"tags=83%, list=17%, signal=73%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0033218,amide binding,11,0.637754787985338,2.1846784828304,0.00238663484486874,0.00238663484486874,0.072289156626506,23,"tags=64%, list=18%, signal=57%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DQB1/ITM2B
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0042277,peptide binding,11,0.637754787985338,2.1846784828304,0.00238663484486874,0.00238663484486874,0.072289156626506,23,"tags=64%, list=18%, signal=57%",HLA-DRA/HLA-DRB1/CD74/HLA-DPB1/HLA-DPA1/HLA-DQB1/ITM2B
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0003823,antigen binding,11,0.746932085265163,2.55140047509486,0.00240963855421687,0.00240963855421687,0.072289156626506,26,"tags=82%, list=20%, signal=71%",HLA-DRA/HLA-DRB1/IL7R/HLA-DPB1/HLA-DPA1/TRBC2/TRBC1/HLA-DQB1/ITGA4
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0023023,MHC protein complex binding,5,0.730060425556304,1.82493034011086,0.0104384133611691,0.0104384133611691,0.186567164179104,9,"tags=60%, list=7%, signal=58%",HLA-DRA/HLA-DRB1/CD74
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0023026,MHC class II protein complex binding,5,0.730060425556304,1.82493034011086,0.0104384133611691,0.0104384133611691,0.186567164179104,9,"tags=60%, list=7%, signal=58%",HLA-DRA/HLA-DRB1/CD74
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0044877,protein-containing complex binding,15,0.463665495278003,1.77306801991311,0.0119617224880383,0.0119617224880383,0.186567164179104,24,"tags=47%, list=19%, signal=43%",HLA-DRA/HLA-DRB1/CD74/VIM/FYB1/GMFG/SYNE2
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0005125,cytokine activity,8,-0.630740453940803,-1.81070783723488,0.0133333333333333,0.0133333333333333,0.186567164179104,11,"tags=50%, list=9%, signal=49%",NAMPT/IL13/IL5/LTA
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0032395,MHC class II receptor activity,3,0.854838709677419,1.71261549310423,0.01417004048583,0.01417004048583,0.186567164179104,21,"tags=100%, list=17%, signal=85%",HLA-DRA/HLA-DPA1/HLA-DQB1
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0030246,carbohydrate binding,3,0.806847156509883,1.62929920667233,0.016597510373444,0.016597510373444,0.186567164179104,3,"tags=67%, list=2%, signal=67%",HLA-DRA/HLA-DRB1
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0030545,receptor regulator activity,9,-0.578085190261336,-1.73930842644295,0.0186567164179104,0.0186567164179104,0.186567164179104,11,"tags=44%, list=9%, signal=44%",NAMPT/IL13/IL5/LTA
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0048018,receptor ligand activity,9,-0.578085190261336,-1.73930842644295,0.0186567164179104,0.0186567164179104,0.186567164179104,11,"tags=44%, list=9%, signal=44%",NAMPT/IL13/IL5/LTA
BAFF-R_TACI_CD40,CD28,gse_bp,GO:0070997,neuron death,6,-0.786543394340587,-2.00165256212751,0.00183150183150183,0.00183150183150183,0.338608759661391,11,"tags=67%, list=9%, signal=64%",NAMPT/BNIP3/DDIT4/IL13
BAFF-R_TACI_CD40,CD28,gse_bp,GO:0050852,T cell receptor signaling pathway,10,0.769783423424162,2.482738273594,0.0021551724137931,0.0021551724137931,0.338608759661391,21,"tags=80%, list=17%, signal=72%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/TRBC1/FYB1/PTPRC/HLA-DQB1
