ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,2.37699286968159e-119,0.273093632101574,0.961,0.93,5.17946746303619e-115,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,1.75774288387282e-115,0.400722830288731,0.714,0.534,3.83012174395888e-111,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,5.16815946434739e-93,0.307400666975284,0.646,0.466,1.1261419472813e-88,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,9.48021393771328e-71,0.251621191239615,0.359,0.21,2.06573861702772e-66,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,6.27701582254781e-60,0.251885787762348,0.616,0.482,1.36776174773317e-55,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,6.35735205929957e-58,0.230946403029038,0.55,0.408,1.38526701372138e-53,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,6.5457098860244e-48,0.244596871936471,0.77,0.707,1.42631018416472e-43,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,1.72120202761761e-40,-0.230438236181478,0.794,0.871,3.75049921817877e-36,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,1.45327816917599e-32,0.296194038849186,0.832,0.768,3.16669313063449e-28,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,1.1045522389804e-30,-0.29614053931957,0.298,0.384,2.40681932873828e-26,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,1.90887693603701e-14,-0.214327863570375,0.795,0.78,4.15944284362464e-10,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,9.68082932346702e-11,0.390418191395524,0.32,0.274,2.10945270958347e-06,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,4.99104200921011e-06,-0.441217481531157,0.61,0.607,0.108754805380688,TRUE
