ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI_CD40,Zeta,2.19895086824101e-119,-0.405981439677877,0.975,0.988,4.79151394189716e-115,TRUE
BAFF-R_TACI_CD40,Zeta,1.65683091555949e-88,0.366007409168715,0.653,0.417,3.61023456500413e-84,TRUE
BAFF-R_TACI_CD40,Zeta,3.6296126816251e-83,0.340526405262178,0.685,0.46,7.9089260332611e-79,TRUE
BAFF-R_TACI_CD40,Zeta,5.57448981538638e-77,0.285106532302607,0.961,0.882,1.21468133077269e-72,TRUE
BAFF-R_TACI_CD40,Zeta,5.26136875435697e-63,0.399654356901393,0.714,0.515,1.14645225157438e-58,TRUE
BAFF-R_TACI_CD40,Zeta,4.63582826722216e-61,-0.296021541369917,0.962,0.983,1.01014697942771e-56,TRUE
BAFF-R_TACI_CD40,Zeta,2.62313501559518e-58,0.28129694171186,0.549,0.361,5.7158111989819e-54,TRUE
BAFF-R_TACI_CD40,Zeta,9.19918100676661e-57,0.235094782544438,0.986,0.973,2.00450154137444e-52,TRUE
BAFF-R_TACI_CD40,Zeta,8.28582263702412e-53,0.280535514808916,0.646,0.447,1.80548075260756e-48,TRUE
BAFF-R_TACI_CD40,Zeta,1.41289721946252e-51,-0.283603745758348,0.894,0.926,3.07870304120884e-47,TRUE
BAFF-R_TACI_CD40,Zeta,1.30632967848814e-50,0.246515687981052,0.929,0.891,2.84649236942565e-46,TRUE
BAFF-R_TACI_CD40,Zeta,4.55560098572284e-50,0.244219583533895,0.692,0.512,9.92665454789006e-46,TRUE
BAFF-R_TACI_CD40,Zeta,4.15861705588108e-46,0.238830706006631,0.602,0.445,9.06162656476488e-42,TRUE
BAFF-R_TACI_CD40,Zeta,1.25675904792379e-45,-0.253020790174686,0.91,0.934,2.73847796542594e-41,TRUE
BAFF-R_TACI_CD40,Zeta,2.85994861662304e-45,0.257500051982023,0.359,0.189,6.23182803562161e-41,TRUE
BAFF-R_TACI_CD40,Zeta,4.59168672075859e-45,0.219973081973554,0.698,0.555,1.0005285364533e-40,TRUE
BAFF-R_TACI_CD40,Zeta,3.27569563391752e-44,0.211951199837146,0.831,0.74,7.13774078630627e-40,TRUE
BAFF-R_TACI_CD40,Zeta,1.10335399228158e-42,0.202023174184476,0.936,0.885,2.40420834918156e-38,TRUE
BAFF-R_TACI_CD40,Zeta,1.65948502313001e-42,0.229029712546575,0.841,0.748,3.61601786540029e-38,TRUE
BAFF-R_TACI_CD40,Zeta,1.38946818199562e-40,-0.251795192886163,0.92,0.933,3.02765116856846e-36,TRUE
BAFF-R_TACI_CD40,Zeta,3.9997771259213e-39,0.246444384806664,0.795,0.696,8.71551435738252e-35,TRUE
BAFF-R_TACI_CD40,Zeta,3.14791424615311e-37,0.285445549273956,0.77,0.652,6.85930514236763e-33,TRUE
BAFF-R_TACI_CD40,Zeta,1.17383225589731e-35,0.2482887274005,0.81,0.755,2.55778048560024e-31,TRUE
BAFF-R_TACI_CD40,Zeta,5.38839585447574e-35,0.251553897776549,0.616,0.456,1.17413145669026e-30,TRUE
BAFF-R_TACI_CD40,Zeta,3.61362603906854e-33,0.429066423733467,0.61,0.476,7.87409113913035e-29,TRUE
BAFF-R_TACI_CD40,Zeta,4.28458434017564e-33,0.20351104086999,0.987,0.978,9.33610927724271e-29,TRUE
BAFF-R_TACI_CD40,Zeta,1.05710149436399e-29,0.206944480858493,0.85,0.789,2.30342415621913e-25,TRUE
BAFF-R_TACI_CD40,Zeta,2.72037585872166e-29,-0.363062932481821,0.53,0.603,5.92769899615451e-25,TRUE
BAFF-R_TACI_CD40,Zeta,2.38043193867194e-27,-0.236529464953317,0.472,0.563,5.18696119436616e-23,TRUE
BAFF-R_TACI_CD40,Zeta,1.79051728538387e-26,-0.224829744313935,0.701,0.784,3.90153716485145e-22,TRUE
BAFF-R_TACI_CD40,Zeta,4.65524502579996e-26,0.315693544763104,0.832,0.713,1.01437789112181e-21,TRUE
BAFF-R_TACI_CD40,Zeta,1.40999081039473e-23,-0.215829497276516,0.482,0.563,3.07236997585012e-19,TRUE
BAFF-R_TACI_CD40,Zeta,2.17078708267299e-23,0.357589855204285,0.789,0.758,4.73014505314444e-19,TRUE
BAFF-R_TACI_CD40,Zeta,2.7929114158852e-21,-0.210972652949768,0.62,0.656,6.08575397521386e-17,TRUE
BAFF-R_TACI_CD40,Zeta,3.19795576444469e-21,0.237965703043037,0.741,0.667,6.96834561072498e-17,TRUE
BAFF-R_TACI_CD40,Zeta,0.0189862786691504,0.200873183515867,0.32,0.29,1,TRUE
