ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R_TACI_CD40,Zeta,gse_mf,GO:0003823,antigen binding,4,0.75,1.70343237606283,0.032967032967033,0.032967032967033,0.585781485754859,12,"tags=100%, list=33%, signal=75%",HLA-DRA/HLA-DRB1/HLA-DQB1/HLA-DPA1
BAFF-R_TACI_CD40,Zeta,gse_mf,GO:0042605,peptide antigen binding,4,0.75,1.70343237606283,0.032967032967033,0.032967032967033,0.585781485754859,12,"tags=100%, list=33%, signal=75%",HLA-DRA/HLA-DRB1/HLA-DQB1/HLA-DPA1
BAFF-R_TACI_CD40,Zeta,gse_mf,GO:0033218,amide binding,8,0.576085270323002,1.67277181329995,0.0402097902097902,0.0402097902097902,0.585781485754859,12,"tags=75%, list=33%, signal=64%",HLA-DRA/NFKBIA/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1
BAFF-R_TACI_CD40,Zeta,gse_mf,GO:0042277,peptide binding,8,0.576085270323002,1.67277181329995,0.0402097902097902,0.0402097902097902,0.585781485754859,12,"tags=75%, list=33%, signal=64%",HLA-DRA/NFKBIA/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0048518,positive regulation of biological process,24,0.649843541559831,2.13357357711635,0.00159489633173844,0.00159489633173844,0.180408278490393,21,"tags=79%, list=58%, signal=99%",HILPDA/HLA-DRA/NFKBIA/GZMB/BIRC3/STAT1/TNFSF10/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1/FABP5/HSPD1/IL2RA/CCR7/DDIT4/HSP90AB1/CYCS/SH2D2A
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0051240,positive regulation of multicellular organismal process,9,0.740740740740741,2.20995997787352,0.00165837479270315,0.00165837479270315,0.180408278490393,16,"tags=100%, list=44%, signal=74%",HILPDA/BIRC3/STAT1/CD74/HLA-DPA1/FABP5/HSPD1/IL2RA/CCR7
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0002376,immune system process,23,0.627602430933673,2.08090326267239,0.00484652665589661,0.00484652665589661,0.180408278490393,19,"tags=74%, list=53%, signal=97%",HLA-DRA/NFKBIA/GZMB/BIRC3/STAT1/TNFSF10/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1/FABP5/HSPD1/IL2RA/CCR7/BATF3/DDIT4/HSP90AB1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0002684,positive regulation of immune system process,13,0.663174478392259,2.16883060474836,0.00495867768595041,0.00495867768595041,0.180408278490393,16,"tags=85%, list=44%, signal=74%",HLA-DRA/NFKBIA/BIRC3/STAT1/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1/HSPD1/IL2RA/CCR7
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0002250,adaptive immune response,6,0.733333333333333,1.93635999208195,0.00515463917525773,0.00515463917525773,0.180408278490393,14,"tags=100%, list=39%, signal=73%",HLA-DRA/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1/HSPD1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0033209,tumor necrosis factor-mediated signaling pathway,3,0.909090909090909,1.85271343994876,0.0055045871559633,0.0055045871559633,0.180408278490393,6,"tags=100%, list=17%, signal=91%",NFKBIA/BIRC3/STAT1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0034612,response to tumor necrosis factor,3,0.909090909090909,1.85271343994876,0.0055045871559633,0.0055045871559633,0.180408278490393,6,"tags=100%, list=17%, signal=91%",NFKBIA/BIRC3/STAT1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0071356,cellular response to tumor necrosis factor,3,0.909090909090909,1.85271343994876,0.0055045871559633,0.0055045871559633,0.180408278490393,6,"tags=100%, list=17%, signal=91%",NFKBIA/BIRC3/STAT1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0051239,regulation of multicellular organismal process,12,0.613100773712803,1.99245852544436,0.00645161290322581,0.00645161290322581,0.180408278490393,16,"tags=83%, list=44%, signal=69%",HILPDA/NFKBIA/BIRC3/STAT1/CD74/HLA-DPA1/FABP5/HSPD1/IL2RA/CCR7
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0050789,regulation of biological process,30,0.762149169355607,2.03229630742547,0.00665557404326123,0.00665557404326123,0.180408278490393,22,"tags=73%, list=61%, signal=171%",HILPDA/HLA-DRA/NFKBIA/GZMB/BIRC3/STAT1/TNFSF10/CD74/MIR155HG/HLA-DRB1/HLA-DQB1/HLA-DPA1/FABP5/HSPD1/IL2RA/CCR7/BATF3/DDIT4/HSP90AB1/CYCS/SH2D2A/CYTIP
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0002478,antigen processing and presentation of exogenous peptide antigen,5,0.774193548387097,1.9067403287198,0.00706713780918728,0.00706713780918728,0.180408278490393,12,"tags=100%, list=33%, signal=77%",HLA-DRA/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,5,0.774193548387097,1.9067403287198,0.00706713780918728,0.00706713780918728,0.180408278490393,12,"tags=100%, list=33%, signal=77%",HLA-DRA/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,5,0.774193548387097,1.9067403287198,0.00706713780918728,0.00706713780918728,0.180408278490393,12,"tags=100%, list=33%, signal=77%",HLA-DRA/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0019884,antigen processing and presentation of exogenous antigen,5,0.774193548387097,1.9067403287198,0.00706713780918728,0.00706713780918728,0.180408278490393,12,"tags=100%, list=33%, signal=77%",HLA-DRA/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,5,0.774193548387097,1.9067403287198,0.00706713780918728,0.00706713780918728,0.180408278490393,12,"tags=100%, list=33%, signal=77%",HLA-DRA/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0048002,antigen processing and presentation of peptide antigen,5,0.774193548387097,1.9067403287198,0.00706713780918728,0.00706713780918728,0.180408278490393,12,"tags=100%, list=33%, signal=77%",HLA-DRA/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0006915,apoptotic process,13,0.58694543360933,1.9450941266492,0.00796178343949045,0.00796178343949045,0.180408278490393,20,"tags=92%, list=56%, signal=64%",NFKBIA/GZMB/BIRC3/STAT1/TNFSF10/CD74/HSPD1/IL2RA/CCR7/DDIT4/HSP90AB1/CYCS
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0008219,cell death,13,0.58694543360933,1.9450941266492,0.00796178343949045,0.00796178343949045,0.180408278490393,20,"tags=92%, list=56%, signal=64%",NFKBIA/GZMB/BIRC3/STAT1/TNFSF10/CD74/HSPD1/IL2RA/CCR7/DDIT4/HSP90AB1/CYCS
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0012501,programmed cell death,13,0.58694543360933,1.9450941266492,0.00796178343949045,0.00796178343949045,0.180408278490393,20,"tags=92%, list=56%, signal=64%",NFKBIA/GZMB/BIRC3/STAT1/TNFSF10/CD74/HSPD1/IL2RA/CCR7/DDIT4/HSP90AB1/CYCS
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0006955,immune response,21,0.588724043875564,1.97160068392559,0.00983606557377049,0.00983606557377049,0.187863926734129,16,"tags=67%, list=44%, signal=89%",HLA-DRA/NFKBIA/GZMB/BIRC3/STAT1/TNFSF10/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1/FABP5/HSPD1/IL2RA/CCR7
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:2001233,regulation of apoptotic signaling pathway,3,0.848484848484848,1.72039717718969,0.0106951871657754,0.0106951871657754,0.187863926734129,8,"tags=100%, list=22%, signal=85%",GZMB/TNFSF10/CD74
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0007154,cell communication,24,0.594300127455934,1.88760176400924,0.0115511551155116,0.0115511551155116,0.187863926734129,16,"tags=62%, list=44%, signal=104%",HILPDA/HLA-DRA/NFKBIA/GZMB/BIRC3/STAT1/TNFSF10/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1/FABP5/HSPD1/IL2RA/CCR7
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0023052,signaling,24,0.594300127455934,1.88760176400924,0.0115511551155116,0.0115511551155116,0.187863926734129,16,"tags=62%, list=44%, signal=104%",HILPDA/HLA-DRA/NFKBIA/GZMB/BIRC3/STAT1/TNFSF10/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1/FABP5/HSPD1/IL2RA/CCR7
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0001819,positive regulation of cytokine production,7,0.689655172413793,1.90380108439729,0.0115894039735099,0.0115894039735099,0.187863926734129,16,"tags=100%, list=44%, signal=69%",HILPDA/BIRC3/STAT1/CD74/HLA-DPA1/HSPD1/CCR7
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0045087,innate immune response,12,0.595086515349447,1.94930942924379,0.0115894039735099,0.0115894039735099,0.187863926734129,14,"tags=75%, list=39%, signal=69%",HLA-DRA/NFKBIA/GZMB/BIRC3/STAT1/HLA-DRB1/HLA-DQB1/HLA-DPA1/HSPD1
