ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI,4-1BB,1.10639377523424e-44,-0.269243136495249,0.745,0.844,2.41083203623541e-40,TRUE
BAFF-R_TACI,4-1BB,1.31718815479384e-32,-0.393982063319404,0.162,0.309,2.87015298929578e-28,TRUE
BAFF-R_TACI,4-1BB,1.34795443638561e-32,-0.230833614607759,0.689,0.797,2.93719271688423e-28,TRUE
BAFF-R_TACI,4-1BB,8.71275784048545e-28,-0.21311094682791,0.643,0.763,1.89850993344178e-23,TRUE
BAFF-R_TACI,4-1BB,8.17549929411411e-27,-0.220947509074415,0.274,0.422,1.78144129618746e-22,TRUE
BAFF-R_TACI,4-1BB,6.66624335853899e-26,-0.252028849770478,0.542,0.649,1.45257442782565e-21,TRUE
BAFF-R_TACI,4-1BB,1.54806648680564e-25,-0.653132305355807,0.161,0.283,3.37323687474948e-21,TRUE
BAFF-R_TACI,4-1BB,5.69881639729443e-23,0.212314885801601,0.735,0.638,1.24177209297046e-18,TRUE
BAFF-R_TACI,4-1BB,2.46789401910616e-15,0.274029763380015,0.688,0.606,5.37754106763232e-11,TRUE
BAFF-R_TACI,4-1BB,3.96017570337743e-13,-0.228669254845184,0.816,0.872,8.62922285765942e-09,TRUE
BAFF-R_TACI,4-1BB,5.68260254263149e-13,-0.243486679095428,0.803,0.797,1.2382390940394e-08,TRUE
BAFF-R_TACI,4-1BB,9.19196782910845e-10,-0.214418865882091,0.212,0.289,2.00292978996273e-05,TRUE
BAFF-R_TACI,4-1BB,2.28478620117117e-08,0.220847175426977,0.274,0.211,0.000497854913235198,TRUE
BAFF-R_TACI,4-1BB,5.77431577775601e-07,0.420797310991064,0.321,0.266,0.0125822340797303,TRUE
BAFF-R_TACI,4-1BB,5.00918238967084e-05,-0.425309365090928,0.63,0.632,1,TRUE
BAFF-R_TACI,4-1BB,8.15494207008399e-05,0.224720523794091,0.605,0.583,1,TRUE
BAFF-R_TACI,4-1BB,0.000463063111300123,0.21942334052457,0.385,0.337,1,TRUE
BAFF-R_TACI,4-1BB,0.00702291691045954,-0.332374364816137,0.234,0.264,1,TRUE
