ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI,CD28,1.88935447892158e-123,-0.671408411067116,0.542,0.812,4.11690340957012e-119,TRUE
BAFF-R_TACI,CD28,8.04905172786474e-121,-0.675455504021666,0.803,0.906,1.75388837150173e-116,TRUE
BAFF-R_TACI,CD28,4.27503198741213e-116,-0.889462071575339,0.274,0.624,9.31529470057103e-112,TRUE
BAFF-R_TACI,CD28,3.23899086940354e-91,0.34568837439607,0.987,0.982,7.05776110443031e-87,TRUE
BAFF-R_TACI,CD28,6.95728061638473e-85,0.289688083667679,1,1,1.51599144631023e-80,TRUE
BAFF-R_TACI,CD28,1.10401976024353e-82,-0.216799170070399,0.106,0.367,2.40565905757064e-78,TRUE
BAFF-R_TACI,CD28,1.50863187474299e-79,-0.334407520906851,0.161,0.431,3.28730885506498e-75,TRUE
BAFF-R_TACI,CD28,2.83138964102284e-77,-0.396242459364411,0.075,0.301,6.16959802778876e-73,TRUE
BAFF-R_TACI,CD28,3.7655928472046e-75,-1.12705197969328,0.63,0.802,8.20522681405882e-71,TRUE
BAFF-R_TACI,CD28,3.25329240408079e-74,0.316478323460934,0.976,0.98,7.08892414849204e-70,TRUE
BAFF-R_TACI,CD28,4.83235637409561e-74,0.493413470557619,0.969,0.966,1.05297045391543e-69,TRUE
BAFF-R_TACI,CD28,2.7752938740451e-71,-0.323741723502934,0.25,0.532,6.04736535154427e-67,TRUE
BAFF-R_TACI,CD28,8.29510094193394e-70,-0.329077923204532,0.413,0.663,1.80750249524741e-65,TRUE
BAFF-R_TACI,CD28,1.18562027611786e-67,-0.308574031815502,0.283,0.543,2.58346658166081e-63,TRUE
BAFF-R_TACI,CD28,2.34384113320555e-67,-0.439758282973762,0.595,0.779,5.10722982925489e-63,TRUE
BAFF-R_TACI,CD28,7.73798877227404e-67,0.283376202767407,0.965,0.97,1.68610775347851e-62,TRUE
BAFF-R_TACI,CD28,3.97134047358103e-66,-0.266056445193884,0.351,0.647,8.65355089193307e-62,TRUE
BAFF-R_TACI,CD28,1.44974421813711e-65,-0.398497958260774,0.638,0.797,3.15899265132076e-61,TRUE
BAFF-R_TACI,CD28,1.32655642492048e-62,0.508551598663867,0.696,0.431,2.89056644990172e-58,TRUE
BAFF-R_TACI,CD28,1.58779621910437e-62,0.428288164970801,0.735,0.535,3.45980796142843e-58,TRUE
BAFF-R_TACI,CD28,5.25420108330562e-60,0.280316984158225,0.935,0.899,1.1448904160523e-55,TRUE
BAFF-R_TACI,CD28,2.3190656746623e-59,-0.740686469958097,0.162,0.395,5.05324410508915e-55,TRUE
BAFF-R_TACI,CD28,2.33990668219869e-58,0.605401355013219,0.688,0.456,5.09865666051094e-54,TRUE
BAFF-R_TACI,CD28,6.72919699684118e-58,0.360785198014545,0.913,0.845,1.46629202561169e-53,TRUE
BAFF-R_TACI,CD28,2.43541544100041e-57,-0.258180060399938,0.285,0.525,5.30677024593989e-53,TRUE
BAFF-R_TACI,CD28,2.8888552488586e-56,-0.317887442976526,0.612,0.822,6.29481558726288e-52,TRUE
BAFF-R_TACI,CD28,5.7269073088107e-56,-0.535092964178359,0.742,0.872,1.24789310258985e-51,TRUE
BAFF-R_TACI,CD28,6.57215716684878e-56,-0.244113453559155,0.937,0.972,1.43207304665635e-51,TRUE
BAFF-R_TACI,CD28,3.30714309490741e-54,-0.218652326318138,0.329,0.569,7.20626480380326e-50,TRUE
BAFF-R_TACI,CD28,3.95608193503635e-54,0.371935606220132,0.972,0.951,8.62030253644421e-50,TRUE
BAFF-R_TACI,CD28,3.17152892540963e-52,0.402862177121276,0.955,0.964,6.91076152846758e-48,TRUE
BAFF-R_TACI,CD28,4.84632678692499e-52,0.20604454692407,0.979,0.989,1.05601460687096e-47,TRUE
BAFF-R_TACI,CD28,1.72353345545798e-51,-0.392863116042738,0.265,0.482,3.75557939944294e-47,TRUE
BAFF-R_TACI,CD28,4.62349834555283e-50,-0.269579567695722,0.662,0.821,1.00746028949596e-45,TRUE
BAFF-R_TACI,CD28,5.03427321360808e-49,-0.303549605602466,0.689,0.837,1.0969681332452e-44,TRUE
BAFF-R_TACI,CD28,1.17527077024798e-47,0.256697611037948,0.817,0.659,2.56091500837035e-43,TRUE
BAFF-R_TACI,CD28,2.78742862440056e-47,-0.263793848403991,0.891,0.948,6.07380697256881e-43,TRUE
BAFF-R_TACI,CD28,5.37442553282062e-47,-0.256357763178495,0.932,0.97,1.17108732360161e-42,TRUE
BAFF-R_TACI,CD28,7.23736650228934e-47,-0.213281631556887,0.354,0.592,1.57702216084885e-42,TRUE
BAFF-R_TACI,CD28,1.73317333232438e-46,0.294863242149853,0.852,0.793,3.77658469113482e-42,TRUE
