ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R_TACI,CD28,gse_mf,GO:0003823,antigen binding,10,0.819837181758,2.67982824667518,0.00226244343891403,0.00226244343891403,0.0829346092503987,22,"tags=90%, list=18%, signal=80%",HLA-DRA/HLA-DRB1/IL7R/HLA-DPB1/HLA-DPA1/TRBC1/TRBC2/HLA-DQB1/ITGA4
BAFF-R_TACI,CD28,gse_mf,GO:0033218,amide binding,10,0.593040606248328,1.92045709281988,0.00227272727272727,0.00227272727272727,0.0829346092503987,37,"tags=80%, list=31%, signal=60%",HLA-DRA/HLA-DRB1/HLA-DPB1/CD74/HLA-DPA1/HLA-DQB1/ITM2B/HLA-DRB5
BAFF-R_TACI,CD28,gse_mf,GO:0042277,peptide binding,10,0.593040606248328,1.92045709281988,0.00227272727272727,0.00227272727272727,0.0829346092503987,37,"tags=80%, list=31%, signal=60%",HLA-DRA/HLA-DRB1/HLA-DPB1/CD74/HLA-DPA1/HLA-DQB1/ITM2B/HLA-DRB5
BAFF-R_TACI,CD28,gse_mf,GO:0042605,peptide antigen binding,6,0.759482948184916,2.04112866134536,0.00816326530612245,0.00816326530612245,0.137799043062201,21,"tags=83%, list=18%, signal=72%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1
BAFF-R_TACI,CD28,gse_mf,GO:0023023,MHC protein complex binding,4,0.798186215420514,1.82772865740727,0.00829875518672199,0.00829875518672199,0.137799043062201,11,"tags=75%, list=9%, signal=70%",HLA-DRA/HLA-DRB1/CD74
BAFF-R_TACI,CD28,gse_mf,GO:0023026,MHC class II protein complex binding,4,0.798186215420514,1.82772865740727,0.00829875518672199,0.00829875518672199,0.137799043062201,11,"tags=75%, list=9%, signal=70%",HLA-DRA/HLA-DRB1/CD74
BAFF-R_TACI,CD28,gse_mf,GO:0005125,cytokine activity,8,-0.634803284438517,-1.79835924153447,0.00945179584120983,0.00945179584120983,0.137799043062201,11,"tags=75%, list=9%, signal=73%",XCL1/CSF2/NAMPT/IL13/IL5/LTA
BAFF-R_TACI,CD28,gse_mf,GO:0032395,MHC class II receptor activity,3,0.846153846153846,1.73760085889131,0.0114503816793893,0.0114503816793893,0.137799043062201,21,"tags=100%, list=18%, signal=85%",HLA-DRA/HLA-DPA1/HLA-DQB1
BAFF-R_TACI,CD28,gse_mf,GO:0038023,signaling receptor activity,13,0.484795873365341,1.7622110167951,0.0133630289532294,0.0133630289532294,0.137799043062201,25,"tags=62%, list=21%, signal=55%",HLA-DRA/IL7R/CD74/HLA-DPA1/PTPRC/HLA-DQB1/ITGA4/CD69
BAFF-R_TACI,CD28,gse_mf,GO:0060089,molecular transducer activity,13,0.484795873365341,1.7622110167951,0.0133630289532294,0.0133630289532294,0.137799043062201,25,"tags=62%, list=21%, signal=55%",HLA-DRA/IL7R/CD74/HLA-DPA1/PTPRC/HLA-DQB1/ITGA4/CD69
BAFF-R_TACI,CD28,gse_mf,GO:0044877,protein-containing complex binding,12,0.521504337334576,1.88940515327137,0.0143198090692124,0.0143198090692124,0.137799043062201,19,"tags=50%, list=16%, signal=47%",HLA-DRA/HLA-DRB1/VIM/CD74/FYB1/GMFG
BAFF-R_TACI,CD28,gse_mf,GO:0030545,receptor regulator activity,9,-0.58638332080515,-1.77308188563703,0.0163636363636364,0.0163636363636364,0.137799043062201,11,"tags=67%, list=9%, signal=65%",XCL1/CSF2/NAMPT/IL13/IL5/LTA
BAFF-R_TACI,CD28,gse_mf,GO:0048018,receptor ligand activity,9,-0.58638332080515,-1.77308188563703,0.0163636363636364,0.0163636363636364,0.137799043062201,11,"tags=67%, list=9%, signal=65%",XCL1/CSF2/NAMPT/IL13/IL5/LTA
BAFF-R_TACI,CD28,gse_mf,GO:0004888,transmembrane signaling receptor activity,11,0.485992927145361,1.64971654388146,0.0233050847457627,0.0233050847457627,0.182235249139799,25,"tags=64%, list=21%, signal=55%",HLA-DRA/IL7R/CD74/HLA-DPA1/PTPRC/HLA-DQB1/CD69
BAFF-R_TACI,CD28,gse_mf,GO:0030246,carbohydrate binding,3,0.811965811965812,1.62458313645416,0.0285714285714286,0.0285714285714286,0.208521303258145,25,"tags=100%, list=21%, signal=81%",HLA-DRA/HLA-DRB1/CD69
BAFF-R_TACI,CD28,gse_mf,GO:0005126,cytokine receptor binding,8,-0.571508484784331,-1.60839073947808,0.039426523297491,0.039426523297491,0.269760422561781,6,"tags=62%, list=5%, signal=64%",XCL1/CSF2/IL13/IL5/LTA
BAFF-R_TACI,CD28,gse_bp,GO:0001666,response to hypoxia,9,-0.65122368047189,-1.9011390069657,0.00170940170940171,0.00170940170940171,0.201705380770362,10,"tags=56%, list=8%, signal=55%",LMNA/BNIP3/DDIT4/LTA/HILPDA
BAFF-R_TACI,CD28,gse_bp,GO:0036293,response to decreased oxygen levels,10,-0.678807329735342,-2.05403060565504,0.00170940170940171,0.00170940170940171,0.201705380770362,11,"tags=60%, list=9%, signal=59%",LMNA/NAMPT/BNIP3/DDIT4/LTA/HILPDA
BAFF-R_TACI,CD28,gse_bp,GO:0070482,response to oxygen levels,10,-0.678807329735342,-2.05403060565504,0.00170940170940171,0.00170940170940171,0.201705380770362,11,"tags=60%, list=9%, signal=59%",LMNA/NAMPT/BNIP3/DDIT4/LTA/HILPDA
BAFF-R_TACI,CD28,gse_bp,GO:0070997,neuron death,4,-0.948275862068965,-2.05231952081722,0.00189393939393939,0.00189393939393939,0.201705380770362,11,"tags=100%, list=9%, signal=94%",BNIP3/DDIT4/IL13
BAFF-R_TACI,CD28,gse_bp,GO:0050852,T cell receptor signaling pathway,10,0.7537109045946,2.48554308606583,0.00234741784037559,0.00234741784037559,0.201705380770362,21,"tags=80%, list=18%, signal=72%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/TRBC1/FYB1/PTPRC/HLA-DQB1
BAFF-R_TACI,CD28,gse_bp,GO:0034341,response to interferon-gamma,14,0.561319148068121,2.15768408670364,0.00237529691211401,0.00237529691211401,0.201705380770362,23,"tags=57%, list=19%, signal=52%",HLA-DRA/HLA-DRB1/HLA-DPB1/VIM/STAT1/HLA-DPA1/HLA-DQB1/GBP5
BAFF-R_TACI,CD28,gse_bp,GO:0071346,cellular response to interferon-gamma,14,0.561319148068121,2.15768408670364,0.00237529691211401,0.00237529691211401,0.201705380770362,23,"tags=57%, list=19%, signal=52%",HLA-DRA/HLA-DRB1/HLA-DPB1/VIM/STAT1/HLA-DPA1/HLA-DQB1/GBP5
BAFF-R_TACI,CD28,gse_bp,GO:0002429,immune response-activating cell surface receptor signaling pathway,12,0.742659333659196,2.61189164048924,0.00239234449760766,0.00239234449760766,0.201705380770362,26,"tags=83%, list=22%, signal=73%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/TRBC1/TRBC2/FYB1/PTPRC/HLA-DQB1/CD38
BAFF-R_TACI,CD28,gse_bp,GO:0002768,immune response-regulating cell surface receptor signaling pathway,12,0.742659333659196,2.61189164048924,0.00239234449760766,0.00239234449760766,0.201705380770362,26,"tags=83%, list=22%, signal=73%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/TRBC1/TRBC2/FYB1/PTPRC/HLA-DQB1/CD38
BAFF-R_TACI,CD28,gse_bp,GO:0050851,antigen receptor-mediated signaling pathway,12,0.742659333659196,2.61189164048924,0.00239234449760766,0.00239234449760766,0.201705380770362,26,"tags=83%, list=22%, signal=73%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/TRBC1/TRBC2/FYB1/PTPRC/HLA-DQB1/CD38
BAFF-R_TACI,CD28,gse_bp,GO:0002757,immune response-activating signal transduction,16,0.576731796403966,2.28087813743169,0.00249376558603491,0.00249376558603491,0.201705380770362,26,"tags=62%, list=22%, signal=56%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/TRBC1/TRBC2/FYB1/PTPRC/HLA-DQB1/CD38
BAFF-R_TACI,CD28,gse_bp,GO:0002764,immune response-regulating signaling pathway,16,0.576731796403966,2.28087813743169,0.00249376558603491,0.00249376558603491,0.201705380770362,26,"tags=62%, list=22%, signal=56%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/TRBC1/TRBC2/FYB1/PTPRC/HLA-DQB1/CD38
BAFF-R_TACI,CD28,gse_bp,GO:0002253,activation of immune response,17,0.568904726932692,2.29953795605048,0.00255102040816327,0.00255102040816327,0.201705380770362,29,"tags=65%, list=24%, signal=57%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/TRBC1/TRBC2/FYB1/PTPRC/HLA-DQB1/CD38/IFI16
BAFF-R_TACI,CD28,gse_bp,GO:0050776,regulation of immune response,31,0.40393686210312,2.01734593770495,0.00272479564032698,0.00272479564032698,0.201705380770362,37,"tags=61%, list=31%, signal=57%",HLA-DRA/HLA-DRB1/IL7R/HLA-DPB1/STAT1/CD74/HLA-DPA1/TRBC1/TRBC2/FYB1/PTPRC/HLA-DQB1/ITGA4/GBP5/CD38/IFI16/CD96/ANXA1/HLA-DRB5
BAFF-R_TACI,CD28,gse_bp,GO:0006955,immune response,48,0.344156982990231,1.87669596694552,0.00279329608938548,0.00279329608938548,0.201705380770362,23,"tags=38%, list=19%, signal=51%",HLA-DRA/HLA-DRB1/LTB/IL7R/HLA-DPB1/VIM/STAT1/CD74/GNLY/HLA-DPA1/TRBC1/TRBC2/FYB1/PTPRC/GMFG/HLA-DQB1/ITGA4/GBP5
BAFF-R_TACI,CD28,gse_bp,GO:0071704,organic substance metabolic process,70,-0.402152411954805,-1.97466023473301,0.00439882697947214,0.00439882697947214,0.297789010649792,65,"tags=70%, list=54%, signal=77%",GLIPR1/RAN/ODC1/SLC3A2/C1QBP/LDHA/VDR/HOPX/CREM/PPID/RBKS/GNL3/XCL2/SOCS1/IRF4/CCND2/MTHFD2/HSPD1/CCR7/VDAC1/SERPINB1/EIF4EBP1/PGAM1/CYCS/UPP1/DDX21/ARID5A/XCL1/LIMA1/CSF2/BATF/NFKBIA/LMNA/ZBTB32/ZBED2/TNFRSF4/BATF3/RPL22L1/NAPSA/G0S2/MRPS26/NAMPT/BNIP3/DDIT4/MIR155HG/IL2RA/IL13/GZMB/IL5
BAFF-R_TACI,CD28,gse_bp,GO:0060333,interferon-gamma-mediated signaling pathway,9,0.654916799809157,2.12286400152929,0.00470588235294118,0.00470588235294118,0.299836095428884,21,"tags=67%, list=18%, signal=59%",HLA-DRA/HLA-DRB1/HLA-DPB1/STAT1/HLA-DPA1/HLA-DQB1
BAFF-R_TACI,CD28,gse_bp,GO:0007166,cell surface receptor signaling pathway,40,0.359020037169891,1.87095407698669,0.00578034682080925,0.00578034682080925,0.342735332160165,26,"tags=45%, list=22%, signal=53%",HLA-DRA/HLA-DRB1/LTB/IL7R/HLA-DPB1/VIM/STAT1/CD74/HLA-DPA1/TRBC1/TRBC2/FYB1/PTPRC/TXNIP/HLA-DQB1/ITGA4/TMSB4X/CD38
BAFF-R_TACI,CD28,gse_bp,GO:0050853,B cell receptor signaling pathway,4,0.810344827586207,1.84240372917119,0.00601202404809619,0.00601202404809619,0.342735332160165,26,"tags=100%, list=22%, signal=81%",TRBC1/TRBC2/PTPRC/CD38
