ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI,CD28_4-1BB_Zeta,2.8840314672495e-54,0.390578896933295,0.688,0.534,6.28430456713666e-50,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,5.66057079103886e-49,0.242372736490856,0.955,0.93,1.23343837536737e-44,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,7.527378555346e-39,0.288848360846195,0.612,0.466,1.64021578720989e-34,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,9.46183474626966e-35,-0.205854980675039,0.745,0.795,2.06173379121216e-30,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,2.55817518090719e-30,0.221939095641396,0.325,0.21,5.57426371919676e-26,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,4.40470151375498e-30,0.244400322659065,0.53,0.408,9.5978445984721e-26,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,4.9536192562891e-28,-0.338729566236391,0.274,0.384,1.07939363594539e-23,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,4.48026052961322e-24,0.23255138551263,0.587,0.482,9.76248769402721e-20,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,3.89899025930924e-17,-0.217179833945621,0.816,0.871,8.49589977503483e-13,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,2.65232532084812e-14,0.254306304213833,0.821,0.768,5.77941687412806e-10,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,9.04480603965744e-12,-0.213349948445868,0.542,0.567,1.97086323604136e-07,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,3.74876623721162e-07,0.250184874987737,0.321,0.274,0.00816856163088412,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,6.3723437727134e-07,-0.204279607762673,0.803,0.78,0.0138853370807425,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,0.0159797650058938,-0.417595561978814,0.63,0.607,1,TRUE
