ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI,Zeta,6.67287479880782e-108,-0.452463266003202,0.972,0.988,1.45401941866022e-103,TRUE
BAFF-R_TACI,Zeta,3.16004267954628e-58,-0.230368391722287,0.998,0.998,6.88573299873134e-54,TRUE
BAFF-R_TACI,Zeta,8.809572208806e-48,0.252729863309956,0.987,0.973,1.91960578429883e-43,TRUE
BAFF-R_TACI,Zeta,3.04599212089424e-43,-0.285382346507275,0.904,0.934,6.63721683142854e-39,TRUE
BAFF-R_TACI,Zeta,1.65032138320568e-42,-0.304005998921984,0.893,0.926,3.59605029400518e-38,TRUE
BAFF-R_TACI,Zeta,7.29079410142439e-42,0.255949437250775,0.934,0.891,1.58866403470037e-37,TRUE
BAFF-R_TACI,Zeta,1.29300889677466e-40,0.249029904304354,0.84,0.74,2.81746638607199e-36,TRUE
BAFF-R_TACI,Zeta,3.38325363519107e-40,0.254385636691889,0.955,0.882,7.37210967108133e-36,TRUE
BAFF-R_TACI,Zeta,3.61478141784819e-38,0.258340624797791,0.612,0.417,7.87660870949121e-34,TRUE
BAFF-R_TACI,Zeta,1.09976747378467e-36,0.235820981306024,0.648,0.46,2.3963933253768e-32,TRUE
BAFF-R_TACI,Zeta,1.63812935863866e-36,0.228446881511748,0.542,0.361,3.56948387247364e-32,TRUE
BAFF-R_TACI,Zeta,4.62262601147124e-36,0.389510423545956,0.688,0.515,1.00727020789958e-31,TRUE
BAFF-R_TACI,Zeta,5.08968847985773e-36,0.213835519140405,0.7,0.512,1.109043119761e-31,TRUE
BAFF-R_TACI,Zeta,5.33100764283199e-35,0.256492640614366,0.803,0.696,1.16162656537309e-30,TRUE
BAFF-R_TACI,Zeta,5.67003191132945e-33,-0.267055410205294,0.918,0.933,1.23549995347869e-28,TRUE
BAFF-R_TACI,Zeta,5.97833502825852e-31,0.227312133045292,0.84,0.748,1.30267920265753e-26,TRUE
BAFF-R_TACI,Zeta,6.40222329893778e-31,-0.238191476223795,0.969,0.983,1.39504445683854e-26,TRUE
BAFF-R_TACI,Zeta,1.44437162965094e-30,0.452688343285811,0.63,0.476,3.14728578100939e-26,TRUE
BAFF-R_TACI,Zeta,2.37363722186483e-30,0.203121997613014,0.603,0.445,5.17215550644346e-26,TRUE
BAFF-R_TACI,Zeta,4.88462811986135e-29,0.244233529572988,0.82,0.755,1.06436046731779e-24,TRUE
BAFF-R_TACI,Zeta,2.52102950736795e-27,0.261983208679828,0.612,0.447,5.49332329655476e-23,TRUE
BAFF-R_TACI,Zeta,5.24439468549055e-25,0.227817956383804,0.325,0.189,1.14275360196839e-20,TRUE
BAFF-R_TACI,Zeta,1.16743614959234e-24,0.212145442711745,0.86,0.789,2.54384336996172e-20,TRUE
BAFF-R_TACI,Zeta,2.05725063672106e-24,-0.261301707064156,0.696,0.784,4.4827491374152e-20,TRUE
BAFF-R_TACI,Zeta,1.60717952244428e-23,0.209809050893041,0.986,0.978,3.50204417940609e-19,TRUE
BAFF-R_TACI,Zeta,5.14609132249246e-21,-0.237541494908612,0.636,0.714,1.12133329917111e-16,TRUE
BAFF-R_TACI,Zeta,1.07650815028726e-20,0.209963180924226,0.53,0.389,2.34571125947594e-16,TRUE
BAFF-R_TACI,Zeta,4.68377740788189e-20,-0.234105569674648,0.615,0.656,1.02059509717746e-15,TRUE
BAFF-R_TACI,Zeta,9.56341558504236e-19,0.202313787216091,0.857,0.782,2.08386825598073e-14,TRUE
BAFF-R_TACI,Zeta,3.25636374987357e-18,-0.246759366352444,0.496,0.563,7.0956166109745e-14,TRUE
BAFF-R_TACI,Zeta,3.4789605226691e-18,0.320528167678662,0.796,0.758,7.58065497889597e-14,TRUE
BAFF-R_TACI,Zeta,3.84510171280736e-18,-0.218339672494392,0.484,0.563,8.37847663220724e-14,TRUE
BAFF-R_TACI,Zeta,8.78497813901438e-18,0.232219495526832,0.587,0.456,1.91424673649123e-13,TRUE
BAFF-R_TACI,Zeta,4.2730843030096e-16,0.236269261424455,0.742,0.667,9.31105069625791e-12,TRUE
BAFF-R_TACI,Zeta,5.32019429248284e-16,-0.337884964715616,0.556,0.603,1.15927033633201e-11,TRUE
BAFF-R_TACI,Zeta,8.96163353100202e-15,0.273805810127751,0.821,0.713,1.95273994640534e-10,TRUE
BAFF-R_TACI,Zeta,1.95294719095442e-08,-0.200459080029126,0.589,0.615,0.000425547192908968,TRUE
BAFF-R_TACI,Zeta,3.74181434762458e-05,0.252236216471393,0.838,0.799,0.815341346347395,TRUE
BAFF-R_TACI,Zeta,0.000104788732563311,0.222219695213358,0.642,0.576,1,TRUE
BAFF-R_TACI,Zeta,0.189387099657286,-0.215397874821769,0.824,0.761,1,TRUE
