ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R,4-1BB,4.04055561657223e-49,0.599539509668666,0.794,0.606,8.80437068851089e-45,TRUE
BAFF-R,4-1BB,7.82044638180128e-44,0.514760213692776,0.745,0.527,1.7040752665945e-39,TRUE
BAFF-R,4-1BB,3.5640745021245e-43,0.390083986097261,0.966,0.964,7.76611834012929e-39,TRUE
BAFF-R,4-1BB,1.27332254870886e-40,0.422917599865434,0.485,0.257,2.77456983363661e-36,TRUE
BAFF-R,4-1BB,1.43176910104132e-36,0.444096313580034,0.67,0.47,3.11982487116904e-32,TRUE
BAFF-R,4-1BB,1.65046361430523e-35,-0.302845170416155,0.721,0.844,3.59636021557109e-31,TRUE
BAFF-R,4-1BB,9.30822506167148e-32,0.429237237965476,0.699,0.536,2.02826224093821e-27,TRUE
BAFF-R,4-1BB,1.66088797429204e-27,-0.257511291639245,0.652,0.797,3.61907489598236e-23,TRUE
BAFF-R,4-1BB,4.1670351552559e-27,0.271441497308072,0.867,0.809,9.07996960330261e-23,TRUE
BAFF-R,4-1BB,1.22757920790146e-23,-0.223329376299094,0.565,0.719,2.67489509401728e-19,TRUE
BAFF-R,4-1BB,1.61549788619673e-23,-0.246173529691882,0.607,0.763,3.52016989402267e-19,TRUE
BAFF-R,4-1BB,1.69159660321155e-22,0.24492655655318,0.469,0.29,3.68598899839797e-18,TRUE
BAFF-R,4-1BB,3.60113128244099e-22,0.228439333914954,0.292,0.141,7.84686506443892e-18,TRUE
BAFF-R,4-1BB,3.4292965149998e-21,0.338055062477793,0.779,0.625,7.47243710618456e-17,TRUE
BAFF-R,4-1BB,6.54803442741499e-21,-0.218580823712456,0.796,0.896,1.42681670173373e-16,TRUE
BAFF-R,4-1BB,6.7830337104346e-21,-0.261671906531089,0.248,0.422,1.4780230455037e-16,TRUE
BAFF-R,4-1BB,2.0873172626513e-20,0.274650282610217,0.976,0.966,4.54826431531719e-16,TRUE
BAFF-R,4-1BB,4.01942301673406e-20,-0.243534370205471,0.541,0.662,8.75832275346351e-16,TRUE
BAFF-R,4-1BB,3.44839110519672e-19,0.209440759966818,0.535,0.394,7.51404421822366e-15,TRUE
BAFF-R,4-1BB,1.97112820792274e-18,0.268419833011573,0.895,0.855,4.29508836506366e-14,TRUE
BAFF-R,4-1BB,8.8678703449671e-18,0.200369170910714,0.855,0.82,1.93230894816833e-13,TRUE
BAFF-R,4-1BB,1.81025858475594e-17,0.24520891705076,0.317,0.174,3.94455345618319e-13,TRUE
BAFF-R,4-1BB,3.74038236257774e-17,0.224302025232496,0.912,0.868,8.1502931680569e-13,TRUE
BAFF-R,4-1BB,4.73083549298305e-17,-0.383304467471348,0.171,0.309,1.03084905392101e-12,TRUE
BAFF-R,4-1BB,3.20609861941508e-16,-0.210450504750701,0.509,0.649,6.98608889170546e-12,TRUE
BAFF-R,4-1BB,3.45354637345947e-16,-0.32060531562578,0.775,0.797,7.52527754776818e-12,TRUE
BAFF-R,4-1BB,4.93555187300781e-16,-0.200176301868729,0.751,0.841,1.0754567531284e-11,TRUE
BAFF-R,4-1BB,6.39470228070341e-16,0.415881441566275,0.474,0.337,1.39340562696527e-11,TRUE
BAFF-R,4-1BB,7.74209250460428e-16,-0.280674097561582,0.779,0.872,1.68700195675327e-11,TRUE
BAFF-R,4-1BB,3.25700847145894e-14,0.233970617831664,0.713,0.638,7.09702145930904e-10,TRUE
BAFF-R,4-1BB,6.58854277225044e-14,-0.222862938714726,0.826,0.863,1.43564347007337e-09,TRUE
BAFF-R,4-1BB,2.16936727076588e-13,0.221121966022496,0.97,0.965,4.72705128299884e-09,TRUE
BAFF-R,4-1BB,1.34599473459278e-12,-0.312649566496107,0.231,0.353,2.93292252667768e-08,TRUE
BAFF-R,4-1BB,1.57942296187557e-12,-0.207533814638999,0.594,0.711,3.44156263392687e-08,TRUE
BAFF-R,4-1BB,9.19013520370456e-12,0.80970670547294,0.361,0.266,2.00253046088722e-07,TRUE
BAFF-R,4-1BB,1.51953251866571e-10,-0.244753296375912,0.181,0.289,3.31106135817258e-06,TRUE
BAFF-R,4-1BB,2.63878519435871e-10,-0.563548829665077,0.186,0.283,5.74991293850763e-06,TRUE
BAFF-R,4-1BB,6.54416904428333e-10,-0.218233806721141,0.872,0.926,1.42597443474934e-05,TRUE
BAFF-R,4-1BB,2.02213962749336e-08,-0.563468729787575,0.59,0.632,0.000440624224830802,TRUE
BAFF-R,4-1BB,1.02556861661996e-07,0.211953486182856,0.778,0.738,0.00223471401561489,TRUE
BAFF-R,4-1BB,2.17681823380245e-05,-0.225413249469709,0.415,0.493,0.474328693145554,TRUE
BAFF-R,4-1BB,0.000104806656384834,0.310829299813382,0.604,0.583,1,TRUE
BAFF-R,4-1BB,0.860724086720785,-0.242982950650792,0.262,0.264,1,TRUE
