ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R,4-1BB,gse_mf,GO:0003823,antigen binding,11,0.794833967786535,2.42907445411229,0.00159489633173844,0.00159489633173844,0.00979192166462668,15,"tags=91%, list=35%, signal=80%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/IL7R/TRBC1/TRBC2/HLA-DQA1/HLA-DRB5
BAFF-R,4-1BB,gse_mf,GO:0033218,amide binding,8,0.8,2.23448925390132,0.00168350168350168,0.00168350168350168,0.00979192166462668,15,"tags=100%, list=35%, signal=80%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/CD74/HLA-DQA1/HLA-DRB5
BAFF-R,4-1BB,gse_mf,GO:0042277,peptide binding,8,0.8,2.23448925390132,0.00168350168350168,0.00168350168350168,0.00979192166462668,15,"tags=100%, list=35%, signal=80%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/CD74/HLA-DQA1/HLA-DRB5
BAFF-R,4-1BB,gse_mf,GO:0005125,cytokine activity,6,-0.783783783783784,-2.08864478634152,0.00217391304347826,0.00217391304347826,0.00979192166462668,15,"tags=100%, list=35%, signal=76%",NAMPT/LTA/XCL2/IL13/IL5
BAFF-R,4-1BB,gse_mf,GO:0030545,receptor regulator activity,6,-0.783783783783784,-2.08864478634152,0.00217391304347826,0.00217391304347826,0.00979192166462668,15,"tags=100%, list=35%, signal=76%",NAMPT/LTA/XCL2/IL13/IL5
BAFF-R,4-1BB,gse_mf,GO:0048018,receptor ligand activity,6,-0.783783783783784,-2.08864478634152,0.00217391304347826,0.00217391304347826,0.00979192166462668,15,"tags=100%, list=35%, signal=76%",NAMPT/LTA/XCL2/IL13/IL5
BAFF-R,4-1BB,gse_mf,GO:0098772,molecular function regulator,8,-0.715078447676916,-2.09288902374682,0.00232558139534884,0.00232558139534884,0.00979192166462668,15,"tags=88%, list=35%, signal=70%",XCL1/NAMPT/SOCS1/LTA/XCL2/IL13/IL5
BAFF-R,4-1BB,gse_mf,GO:0042605,peptide antigen binding,7,0.803249980918609,2.15397243039496,0.00333333333333333,0.00333333333333333,0.012280701754386,6,"tags=71%, list=14%, signal=73%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1
BAFF-R,4-1BB,gse_mf,GO:0005126,cytokine receptor binding,5,-0.765677643865125,-1.87813571376969,0.00656455142231947,0.00656455142231947,0.0214979461783562,9,"tags=100%, list=21%, signal=89%",LTA/XCL2/IL13/IL5
BAFF-R,4-1BB,gse_mf,GO:0004888,transmembrane signaling receptor activity,8,0.65403796880587,1.78103434446783,0.00985221674876847,0.00985221674876847,0.029038112522686,8,"tags=62%, list=19%, signal=63%",HLA-DRA/HLA-DPA1/HLA-DQB1/IL7R/CD74
BAFF-R,4-1BB,gse_mf,GO:0005515,protein binding,30,-0.439977308773169,-1.64518346036132,0.0170454545454545,0.0170454545454545,0.0407504432272234,13,"tags=40%, list=30%, signal=92%",NAMPT/GADD45A/SOCS1/BATF/LTA/NKG7/LIMA1/XCL2/IL2RA/IL13/HILPDA/IL5
BAFF-R,4-1BB,gse_mf,GO:0038023,signaling receptor activity,9,0.605941723521853,1.70392159594987,0.0179738562091503,0.0179738562091503,0.0407504432272234,8,"tags=56%, list=19%, signal=57%",HLA-DRA/HLA-DPA1/HLA-DQB1/IL7R/CD74
BAFF-R,4-1BB,gse_mf,GO:0060089,molecular transducer activity,9,0.605941723521853,1.70392159594987,0.0179738562091503,0.0179738562091503,0.0407504432272234,8,"tags=56%, list=19%, signal=57%",HLA-DRA/HLA-DPA1/HLA-DQB1/IL7R/CD74
BAFF-R,4-1BB,gse_mf,GO:0023023,MHC protein complex binding,4,0.749588214285177,1.61330223061694,0.0212389380530973,0.0212389380530973,0.0417326502095948,8,"tags=75%, list=19%, signal=67%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,4-1BB,gse_mf,GO:0023026,MHC class II protein complex binding,4,0.749588214285177,1.61330223061694,0.0212389380530973,0.0212389380530973,0.0417326502095948,8,"tags=75%, list=19%, signal=67%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,4-1BB,gse_mf,GO:0005102,signaling receptor binding,13,-0.455982146275008,-1.60135607232145,0.0282051282051282,0.0282051282051282,0.0515274199484726,15,"tags=62%, list=35%, signal=57%",XCL1/NAMPT/SOCS1/LTA/XCL2/IL13/HILPDA/IL5
BAFF-R,4-1BB,gse_mf,GO:0032395,MHC class II receptor activity,5,0.68421052631579,1.56300242965475,0.0297202797202797,0.0297202797202797,0.0515274199484726,17,"tags=100%, list=40%, signal=68%",HLA-DRA/HLA-DPA1/HLA-DQB1/HLA-DQA1/HLA-DQA2
BAFF-R,4-1BB,gse_bp,GO:0050852,T cell receptor signaling pathway,10,0.757575757575758,2.23570973912045,0.0016025641025641,0.0016025641025641,0.0560428849902534,18,"tags=100%, list=42%, signal=76%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/TRBC1/HLA-DQA1/HLA-DRB5/HLA-DQA2/FYB1
BAFF-R,4-1BB,gse_bp,GO:0002253,activation of immune response,11,0.78125,2.35686498443958,0.00163398692810458,0.00163398692810458,0.0560428849902534,18,"tags=100%, list=42%, signal=78%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/TRBC1/TRBC2/HLA-DQA1/HLA-DRB5/HLA-DQA2/FYB1
BAFF-R,4-1BB,gse_bp,GO:0002429,immune response-activating cell surface receptor signaling pathway,11,0.78125,2.35686498443958,0.00163398692810458,0.00163398692810458,0.0560428849902534,18,"tags=100%, list=42%, signal=78%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/TRBC1/TRBC2/HLA-DQA1/HLA-DRB5/HLA-DQA2/FYB1
