ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R,CD28,7.12611921331775e-98,-0.752574140552019,0.775,0.906,1.55278137658194e-93,TRUE
BAFF-R,CD28,5.61132858063885e-93,0.93091110130187,0.794,0.456,1.22270849772121e-88,TRUE
BAFF-R,CD28,8.91589487579665e-88,0.654599120389097,0.966,0.964,1.94277349343609e-83,TRUE
BAFF-R,CD28,5.66886758538053e-80,-0.930186469032013,0.248,0.624,1.23524624685442e-75,TRUE
BAFF-R,CD28,1.72725593496153e-79,-0.629830066047339,0.509,0.812,3.76369068228117e-75,TRUE
BAFF-R,CD28,1.88208842941863e-79,0.708681658942974,0.779,0.431,4.10107068770321e-75,TRUE
BAFF-R,CD28,5.95421664485183e-79,0.851317774035149,0.745,0.408,1.29742380691321e-74,TRUE
BAFF-R,CD28,7.82427978261245e-77,0.4078417699755,0.992,0.982,1.70491056463125e-72,TRUE
BAFF-R,CD28,1.61331114932831e-73,0.343378688310334,1,1,3.5154049943864e-69,TRUE
BAFF-R,CD28,9.99542326500371e-73,0.617574607770199,0.976,0.966,2.17800272944431e-68,TRUE
BAFF-R,CD28,3.12059212468835e-72,0.708630420276707,0.67,0.345,6.79977023969591e-68,TRUE
BAFF-R,CD28,2.84202701065008e-65,-1.26521134438992,0.59,0.802,6.19277685620652e-61,TRUE
BAFF-R,CD28,2.33914829366136e-64,-0.37187269730064,0.343,0.663,5.09700413188811e-60,TRUE
BAFF-R,CD28,1.78032807450568e-60,-0.507140867711512,0.541,0.779,3.87933487434787e-56,TRUE
BAFF-R,CD28,2.07792259942981e-60,0.54776126422161,0.485,0.176,4.52779334415755e-56,TRUE
BAFF-R,CD28,6.63687294435227e-59,0.360044870391226,0.978,0.98,1.44617461457436e-54,TRUE
BAFF-R,CD28,9.2580150772699e-58,0.676816307556525,0.699,0.446,2.01732148533711e-53,TRUE
BAFF-R,CD28,1.97830788173786e-54,-0.221498891455805,0.086,0.367,4.31073287430681e-50,TRUE
BAFF-R,CD28,6.37424925610204e-52,0.424746795418044,0.912,0.845,1.38894891290464e-47,TRUE
BAFF-R,CD28,3.13646839198005e-50,-0.458306057812981,0.826,0.925,6.83436462612452e-46,TRUE
BAFF-R,CD28,1.20499997760755e-48,-0.278457607588581,0.93,0.972,2.62569495120684e-44,TRUE
BAFF-R,CD28,2.62289071290799e-48,0.471571620444304,0.97,0.951,5.71527886342651e-44,TRUE
BAFF-R,CD28,7.9086742152867e-48,0.299604437464516,0.965,0.97,1.72330011151097e-43,TRUE
BAFF-R,CD28,3.21976028068523e-46,-0.247162771338366,0.285,0.569,7.01585765161311e-42,TRUE
BAFF-R,CD28,4.79792096183371e-46,-0.335736142371528,0.505,0.744,1.04546697758357e-41,TRUE
BAFF-R,CD28,1.49160223450008e-45,0.444727967364318,0.469,0.193,3.25020126897568e-41,TRUE
BAFF-R,CD28,1.52110308864281e-45,-0.350787501904312,0.796,0.937,3.31448363015268e-41,TRUE
BAFF-R,CD28,3.44026397029121e-45,-0.307523704202428,0.236,0.532,7.49633519126455e-41,TRUE
BAFF-R,CD28,1.1105817843287e-44,0.301273459108854,0.935,0.899,2.41995770805223e-40,TRUE
BAFF-R,CD28,1.35050898161145e-44,0.531183939518505,0.937,0.907,2.94275907093136e-40,TRUE
BAFF-R,CD28,1.66638041876034e-44,0.681396430321359,0.474,0.219,3.63104293247879e-40,TRUE
BAFF-R,CD28,3.49094798742876e-44,-0.38707180083856,0.627,0.797,7.60677566460728e-40,TRUE
BAFF-R,CD28,7.60164946418306e-44,-0.249228473292247,0.959,0.982,1.65639941824549e-39,TRUE
BAFF-R,CD28,1.50289670773002e-43,0.386177005006846,0.867,0.816,3.27481192614371e-39,TRUE
BAFF-R,CD28,2.69599832718571e-43,-0.302156174015896,0.171,0.431,5.87458035493766e-39,TRUE
BAFF-R,CD28,3.17850664353794e-43,-0.298299917461021,0.932,0.97,6.92596597626917e-39,TRUE
BAFF-R,CD28,5.67958323191206e-43,0.338384874207481,0.292,0.066,1.23758118623364e-38,TRUE
BAFF-R,CD28,3.97709069238577e-42,0.36267260670675,0.855,0.793,8.6660806187086e-38,TRUE
BAFF-R,CD28,2.56637128679135e-41,0.449943897000864,0.713,0.535,5.59212303391835e-37,TRUE
BAFF-R,CD28,2.56822904993232e-41,-0.308911131636468,0.565,0.815,5.59617109980252e-37,TRUE
BAFF-R,CD28,2.68196493390305e-41,-0.330227282633951,0.652,0.837,5.84400159097474e-37,TRUE
BAFF-R,CD28,4.52759308979579e-41,-0.268903640343182,0.959,0.986,9.86562534266503e-37,TRUE
BAFF-R,CD28,1.1409566350642e-40,-0.545760319939798,0.646,0.795,2.4861445078049e-36,TRUE
BAFF-R,CD28,1.85744325091879e-40,-0.292593472119336,0.284,0.543,4.04736884375205e-36,TRUE
BAFF-R,CD28,2.34421764428665e-40,0.458391740833478,0.895,0.855,5.10805024690061e-36,TRUE
BAFF-R,CD28,3.56028581248752e-40,-0.270715727937071,0.847,0.932,7.75786278541031e-36,TRUE
BAFF-R,CD28,3.98301467385181e-39,-0.403120089631885,0.235,0.482,8.67898897432309e-35,TRUE
BAFF-R,CD28,5.05858982915294e-39,-0.244293704618273,0.991,0.999,1.10226672377243e-34,TRUE
BAFF-R,CD28,1.19651552571772e-38,-0.535015760140772,0.745,0.872,2.60720733053892e-34,TRUE
BAFF-R,CD28,1.39859731116638e-38,-0.285858326033649,0.63,0.821,3.04754354103154e-34,TRUE
BAFF-R,CD28,1.51529668529532e-38,-0.268445712080311,0.987,0.996,3.30183147725851e-34,TRUE
BAFF-R,CD28,2.1033874661033e-38,0.321520842780398,0.875,0.827,4.58328128863909e-34,TRUE
BAFF-R,CD28,2.40764902923268e-38,-0.289653708340335,0.701,0.865,5.24626723469802e-34,TRUE
BAFF-R,CD28,7.68389168408366e-38,-0.306867741979362,0.929,0.97,1.67431999796183e-33,TRUE
BAFF-R,CD28,9.23625775590505e-37,-0.284241554150377,0.66,0.835,2.01258056501171e-32,TRUE
BAFF-R,CD28,9.52557301503399e-37,0.2908923673146,0.929,0.904,2.07562235997591e-32,TRUE
BAFF-R,CD28,1.78764009075565e-36,-0.28275510197221,0.599,0.801,3.89526775775657e-32,TRUE
BAFF-R,CD28,1.39966372551639e-35,-0.271055405151162,0.824,0.923,3.04986725790022e-31,TRUE
BAFF-R,CD28,1.57687390909176e-35,0.436934333235143,0.317,0.102,3.43600824791094e-31,TRUE
BAFF-R,CD28,1.72611794240394e-35,-0.355327948833059,0.091,0.301,3.76121099649818e-31,TRUE
BAFF-R,CD28,2.52092080273985e-35,-0.267869833610866,0.625,0.82,5.49308642917014e-31,TRUE
BAFF-R,CD28,2.86089002191212e-35,0.25927859615549,0.996,0.999,6.23387935774651e-31,TRUE
BAFF-R,CD28,5.98273845591284e-35,0.341619456057797,0.793,0.667,1.30363870954341e-30,TRUE
BAFF-R,CD28,2.37149181983382e-34,-0.231856898168766,0.919,0.974,5.16748067541789e-30,TRUE
BAFF-R,CD28,3.33484274451012e-34,-0.237472340743084,0.289,0.525,7.26662234028755e-30,TRUE
BAFF-R,CD28,3.992993756894e-34,-0.26211279447581,0.896,0.948,8.70073339627203e-30,TRUE
BAFF-R,CD28,4.11989913257457e-34,0.309383938225927,0.893,0.828,8.97726020987999e-30,TRUE
BAFF-R,CD28,4.76309164258008e-34,-0.273203823911104,0.514,0.743,1.0378776689182e-29,TRUE
BAFF-R,CD28,6.88118783435081e-34,0.344319908080346,0.535,0.326,1.49941082910504e-29,TRUE
BAFF-R,CD28,7.46861433935699e-34,-0.273725564653044,0.982,0.992,1.62741106454589e-29,TRUE
BAFF-R,CD28,9.88617297231881e-34,0.261636984765678,0.809,0.659,2.15419709066827e-29,TRUE
BAFF-R,CD28,1.0026591939011e-33,-0.252771090389779,0.744,0.88,2.1847943835105e-29,TRUE
BAFF-R,CD28,1.06887761625006e-33,-0.730008874110042,0.171,0.395,2.32908432580889e-29,TRUE
BAFF-R,CD28,3.78992507322918e-33,-0.268354510048825,0.61,0.806,8.25824673456637e-29,TRUE
BAFF-R,CD28,9.41003681775872e-33,0.66468762266649,0.966,0.942,2.05044702258963e-28,TRUE
BAFF-R,CD28,1.53982734991668e-32,0.255607424832218,0.994,0.998,3.35528379546845e-28,TRUE
BAFF-R,CD28,1.75745902317516e-32,0.243523058757607,0.962,0.947,3.82950321149867e-28,TRUE
BAFF-R,CD28,1.93064059149468e-32,0.200243355185751,0.981,0.989,4.2068658488669e-28,TRUE
BAFF-R,CD28,2.53611753408849e-32,-0.22840135140144,0.582,0.822,5.52620010677881e-28,TRUE
BAFF-R,CD28,2.75211594213778e-32,-0.224020016308386,0.874,0.943,5.99686063791823e-28,TRUE
BAFF-R,CD28,1.0091326830359e-31,-0.298547028416145,0.573,0.757,2.19890011633522e-27,TRUE
BAFF-R,CD28,2.01063974650574e-31,-0.209814904241168,0.458,0.694,4.38118400763601e-27,TRUE
BAFF-R,CD28,4.89591217091475e-31,-0.315478786571657,0.721,0.867,1.06681926204232e-26,TRUE
BAFF-R,CD28,1.01232183339872e-30,-0.243528715048783,0.475,0.699,2.20584927497581e-26,TRUE
BAFF-R,CD28,2.66400845375085e-30,-0.264255060471628,0.347,0.573,5.8048744207231e-26,TRUE
BAFF-R,CD28,3.46256739331241e-30,-0.257058195149798,0.9,0.95,7.54493435002775e-26,TRUE
