ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R,CD28,gse_mf,GO:0033218,amide binding,13,0.731493509478023,2.58146150970789,0.00189035916824197,0.00189035916824197,0.0642795513373598,18,"tags=62%, list=10%, signal=60%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/CD74/HLA-DQB1/HLA-DRB5/HLA-DQA1
BAFF-R,CD28,gse_mf,GO:0042277,peptide binding,13,0.731493509478023,2.58146150970789,0.00189035916824197,0.00189035916824197,0.0642795513373598,18,"tags=62%, list=10%, signal=60%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/CD74/HLA-DQB1/HLA-DRB5/HLA-DQA1
BAFF-R,CD28,gse_mf,GO:0003823,antigen binding,11,0.930232558139535,3.03936037968448,0.00193423597678917,0.00193423597678917,0.0642795513373598,23,"tags=100%, list=13%, signal=93%",HLA-DRA/HLA-DRB1/HLA-DPB1/IL7R/HLA-DPA1/HLA-DQB1/TRBC1/TRBC2/HLA-DRB5/HLA-DQA1/ITGA4
BAFF-R,CD28,gse_mf,GO:0032395,MHC class II receptor activity,5,0.859550561797753,2.05620593046805,0.00197628458498024,0.00197628458498024,0.0642795513373598,30,"tags=100%, list=16%, signal=86%",HLA-DRA/HLA-DPA1/HLA-DQB1/HLA-DQA1/HLA-DQA2
BAFF-R,CD28,gse_mf,GO:0042605,peptide antigen binding,7,0.9375,2.51922909550643,0.00204918032786885,0.00204918032786885,0.0642795513373598,18,"tags=100%, list=10%, signal=94%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB5/HLA-DQA1
BAFF-R,CD28,gse_mf,GO:0023023,MHC protein complex binding,6,0.717645459451814,1.85309618140544,0.00391389432485323,0.00391389432485323,0.0876947750982152,26,"tags=67%, list=14%, signal=59%",HLA-DRA/HLA-DRB1/CD74/HLA-DMA
BAFF-R,CD28,gse_mf,GO:0023026,MHC class II protein complex binding,6,0.717645459451814,1.85309618140544,0.00391389432485323,0.00391389432485323,0.0876947750982152,26,"tags=67%, list=14%, signal=59%",HLA-DRA/HLA-DRB1/CD74/HLA-DMA
BAFF-R,CD28,gse_mf,GO:0005125,cytokine activity,10,-0.654005666750383,-2.05433315137062,0.00635593220338983,0.00635593220338983,0.115870349632948,20,"tags=60%, list=11%, signal=57%",XCL1/XCL2/NAMPT/IL13/IL5/LTA
BAFF-R,CD28,gse_mf,GO:0030545,receptor regulator activity,11,-0.604948148639426,-1.98997501755644,0.00842105263157895,0.00842105263157895,0.115870349632948,20,"tags=55%, list=11%, signal=52%",XCL1/XCL2/NAMPT/IL13/IL5/LTA
BAFF-R,CD28,gse_mf,GO:0048018,receptor ligand activity,11,-0.604948148639426,-1.98997501755644,0.00842105263157895,0.00842105263157895,0.115870349632948,20,"tags=55%, list=11%, signal=52%",XCL1/XCL2/NAMPT/IL13/IL5/LTA
BAFF-R,CD28,gse_mf,GO:0038023,signaling receptor activity,20,0.512234370414665,2.09584288845605,0.00886524822695036,0.00886524822695036,0.115870349632948,33,"tags=50%, list=18%, signal=46%",HLA-DRA/IL7R/HLA-DPA1/CD74/HLA-DQB1/HLA-DQA1/PTPRC/ITGA4/HLA-DQA2/CD69
BAFF-R,CD28,gse_mf,GO:0060089,molecular transducer activity,20,0.512234370414665,2.09584288845605,0.00886524822695036,0.00886524822695036,0.115870349632948,33,"tags=50%, list=18%, signal=46%",HLA-DRA/IL7R/HLA-DPA1/CD74/HLA-DQB1/HLA-DQA1/PTPRC/ITGA4/HLA-DQA2/CD69
BAFF-R,CD28,gse_mf,GO:0004888,transmembrane signaling receptor activity,18,0.509374379831514,2.00214016105507,0.0130841121495327,0.0130841121495327,0.157856899617844,33,"tags=50%, list=18%, signal=45%",HLA-DRA/IL7R/HLA-DPA1/CD74/HLA-DQB1/HLA-DQA1/PTPRC/HLA-DQA2/CD69
BAFF-R,CD28,gse_mf,GO:0030246,carbohydrate binding,3,0.849769879389068,1.69085377605664,0.0158415841584158,0.0158415841584158,0.174521091869543,2,"tags=67%, list=1%, signal=67%",HLA-DRA/HLA-DRB1
BAFF-R,CD28,gse_mf,GO:0005509,calcium ion binding,5,0.691011235955056,1.67453011978449,0.0186915887850467,0.0186915887850467,0.174521091869543,60,"tags=100%, list=33%, signal=69%",S100A4/ANXA1/CD69/ANXA5/S100A6
BAFF-R,CD28,gse_mf,GO:0044877,protein-containing complex binding,20,0.438384272114942,1.72399739139277,0.0200729927007299,0.0200729927007299,0.174521091869543,26,"tags=35%, list=14%, signal=34%",HLA-DRA/HLA-DRB1/CD74/VIM/FYB1/GMFG/HLA-DMA
BAFF-R,CD28,gse_mf,GO:0005126,cytokine receptor binding,11,-0.529794429923663,-1.75431773910875,0.0201207243460765,0.0201207243460765,0.174521091869543,20,"tags=45%, list=11%, signal=43%",XCL1/XCL2/IL13/IL5/LTA
BAFF-R,CD28,gse_mf,GO:0051082,unfolded protein binding,9,-0.586206896551724,-1.81367294867797,0.020703933747412,0.020703933747412,0.174521091869543,82,"tags=100%, list=45%, signal=58%",CCT4/NPM1/PPID/HSP90AA1/HSPE1/HSP90AB1/PFDN2/HSPD1
BAFF-R,CD28,gse_mf,GO:0003712,transcription coregulator activity,5,-0.691011235955056,-1.6642380229902,0.0211416490486258,0.0211416490486258,0.174521091869543,61,"tags=100%, list=33%, signal=69%",HMGA1/C1QBP/BATF3/ZBTB32
BAFF-R,CD28,gse_bp,GO:0006955,immune response,70,0.365001798116439,2.01888831586445,0.00172413793103448,0.00172413793103448,0.110564523832267,26,"tags=29%, list=14%, signal=40%",HLA-DRA/HLA-DRB1/GNLY/HLA-DPB1/IL7R/HLA-DPA1/LTB/CD74/HLA-DQB1/VIM/TRBC1/TRBC2/HLA-DRB5/HLA-DQA1/FYB1/STAT1/PTPRC/ITGA4/GMFG/HLA-DMA
BAFF-R,CD28,gse_bp,GO:0019221,cytokine-mediated signaling pathway,42,0.397218836713338,1.96536344539863,0.00173611111111111,0.00173611111111111,0.110564523832267,31,"tags=38%, list=17%, signal=41%",HLA-DRA/HLA-DRB1/HLA-DPB1/IL7R/HLA-DPA1/LTB/CD74/HLA-DQB1/VIM/HLA-DRB5/HLA-DQA1/STAT1/PTPRC/TMSB4X/HLA-DQA2/ANXA1
BAFF-R,CD28,gse_bp,GO:0050776,regulation of immune response,43,0.425531139544388,2.11880495163802,0.0017636684303351,0.0017636684303351,0.110564523832267,37,"tags=44%, list=20%, signal=46%",HLA-DRA/HLA-DRB1/HLA-DPB1/IL7R/HLA-DPA1/CD74/HLA-DQB1/TRBC1/TRBC2/HLA-DRB5/HLA-DQA1/FYB1/STAT1/PTPRC/ITGA4/HLA-DQA2/ANXA1/GBP5/IFI16
BAFF-R,CD28,gse_bp,GO:0002250,adaptive immune response,25,0.605837373383426,2.63491350705774,0.00176991150442478,0.00176991150442478,0.110564523832267,31,"tags=60%, list=17%, signal=58%",HLA-DRA/HLA-DRB1/HLA-DPB1/IL7R/HLA-DPA1/CD74/HLA-DQB1/TRBC1/TRBC2/HLA-DRB5/HLA-DQA1/PTPRC/HLA-DMA/HLA-DQA2/ANXA1
BAFF-R,CD28,gse_bp,GO:0045087,innate immune response,32,0.459945681510181,2.11896241158811,0.00181488203266788,0.00181488203266788,0.110564523832267,37,"tags=47%, list=20%, signal=45%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/VIM/TRBC1/TRBC2/HLA-DRB5/HLA-DQA1/STAT1/HLA-DQA2/ANXA1/GBP5/IFI16
BAFF-R,CD28,gse_bp,GO:0060333,interferon-gamma-mediated signaling pathway,14,0.690673819663304,2.42854930625634,0.00181818181818182,0.00181818181818182,0.110564523832267,20,"tags=57%, list=11%, signal=55%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRB5/HLA-DQA1/STAT1
BAFF-R,CD28,gse_bp,GO:0002757,immune response-activating signal transduction,26,0.558927942159501,2.42362229126648,0.00182815356489945,0.00182815356489945,0.110564523832267,21,"tags=42%, list=11%, signal=44%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/TRBC1/TRBC2/HLA-DRB5/HLA-DQA1/FYB1/PTPRC
