ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R,CD28_4-1BB_Zeta,7.20809863072621e-94,0.716088643221946,0.794,0.534,1.57064469163524e-89,TRUE
BAFF-R,CD28_4-1BB_Zeta,3.91286926718859e-88,0.494109679758676,0.966,0.93,8.52614213320394e-84,TRUE
BAFF-R,CD28_4-1BB_Zeta,7.02319284506199e-85,0.47419452897349,0.485,0.21,1.53035372093901e-80,TRUE
BAFF-R,CD28_4-1BB_Zeta,5.4076843686381e-84,0.614306185808393,0.745,0.466,1.17833442392624e-79,TRUE
BAFF-R,CD28_4-1BB_Zeta,3.42226067503548e-73,0.514709146940911,0.67,0.408,7.45710601090231e-69,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.84201030075298e-61,0.285327174183834,0.292,0.099,4.01374044534075e-57,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.33805224881757e-60,0.518994315550515,0.699,0.482,2.91561585017349e-56,TRUE
BAFF-R,CD28_4-1BB_Zeta,5.48949404520256e-47,0.306056703396293,0.469,0.249,1.19616075244964e-42,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.11061016238137e-46,0.336743063772943,0.317,0.133,2.420019543829e-42,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.57269920265352e-31,0.23391228574424,0.535,0.368,3.42691156258202e-27,TRUE
BAFF-R,CD28_4-1BB_Zeta,3.07703214693486e-28,0.254496618214868,0.745,0.605,6.70485304817106e-24,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.07946620129652e-25,0.226810537545859,0.867,0.814,2.35215685262511e-21,TRUE
BAFF-R,CD28_4-1BB_Zeta,5.2256477037701e-25,-0.239457014595945,0.721,0.795,1.1386686346515e-20,TRUE
BAFF-R,CD28_4-1BB_Zeta,4.67946058281309e-20,-0.200628122430372,0.652,0.747,1.01965446099497e-15,TRUE
BAFF-R,CD28_4-1BB_Zeta,3.98566950476255e-19,-0.379453963693065,0.248,0.384,8.68477385087759e-15,TRUE
BAFF-R,CD28_4-1BB_Zeta,4.66687056221715e-18,-0.269184676662019,0.779,0.871,1.01691109550712e-13,TRUE
BAFF-R,CD28_4-1BB_Zeta,5.83690587119552e-18,0.285540493493971,0.474,0.341,1.2718617893335e-13,TRUE
BAFF-R,CD28_4-1BB_Zeta,5.50333306904859e-17,0.214318229645536,0.779,0.646,1.19917627574569e-12,TRUE
BAFF-R,CD28_4-1BB_Zeta,7.53744868574432e-14,-0.200188779169726,0.594,0.703,1.64241006862369e-09,TRUE
BAFF-R,CD28_4-1BB_Zeta,2.36558042604301e-13,-0.306524271807909,0.231,0.335,5.15459974834771e-09,TRUE
BAFF-R,CD28_4-1BB_Zeta,4.51134723033153e-13,-0.212080110956347,0.541,0.61,9.83022561489241e-09,TRUE
BAFF-R,CD28_4-1BB_Zeta,3.15114054962734e-12,0.639094269469614,0.361,0.274,6.86633525763798e-08,TRUE
BAFF-R,CD28_4-1BB_Zeta,3.79719413673543e-12,0.210369501872758,0.937,0.931,8.2740860239465e-08,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.1368887494359e-10,-0.281398244293026,0.775,0.78,2.47728058502082e-06,TRUE
BAFF-R,CD28_4-1BB_Zeta,9.3081385314101e-09,0.274056236248009,0.805,0.768,0.000202824338599426,TRUE
BAFF-R,CD28_4-1BB_Zeta,3.11381467046173e-08,0.275255352210056,0.966,0.942,0.000678500216693611,TRUE
BAFF-R,CD28_4-1BB_Zeta,7.3165615656127e-06,-0.555754926675461,0.59,0.607,0.159427876514701,TRUE
BAFF-R,CD28_4-1BB_Zeta,1.39177939581304e-05,0.217521937292997,0.604,0.558,0.303268730347661,TRUE
BAFF-R,CD28_4-1BB_Zeta,0.000194589309872131,-0.218391599565385,0.415,0.464,1,TRUE
