ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0003823,antigen binding,9,0.845403244530997,2.18934150427177,0.00142857142857143,0.00142857142857143,0.0087719298245614,10,"tags=89%, list=34%, signal=84%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DRB5/IL7R
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0033218,amide binding,8,0.952380952380952,2.37626661318748,0.0014792899408284,0.0014792899408284,0.0087719298245614,9,"tags=100%, list=31%, signal=95%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0042277,peptide binding,8,0.952380952380952,2.37626661318748,0.0014792899408284,0.0014792899408284,0.0087719298245614,9,"tags=100%, list=31%, signal=95%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0042605,peptide antigen binding,7,0.909090909090909,2.18210085603843,0.00151515151515152,0.00151515151515152,0.0087719298245614,9,"tags=100%, list=31%, signal=91%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DRB5
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0004888,transmembrane signaling receptor activity,8,0.726574108955063,1.83681844334307,0.00589970501474926,0.00589970501474926,0.0195178211014261,11,"tags=88%, list=38%, signal=75%",HLA-DRA/HLA-DPA1/CD74/HLA-DQB1/HLA-DQA1/IL7R/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0038023,signaling receptor activity,8,0.726574108955063,1.83681844334307,0.00589970501474926,0.00589970501474926,0.0195178211014261,11,"tags=88%, list=38%, signal=75%",HLA-DRA/HLA-DPA1/CD74/HLA-DQB1/HLA-DQA1/IL7R/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0060089,molecular transducer activity,8,0.726574108955063,1.83681844334307,0.00589970501474926,0.00589970501474926,0.0195178211014261,11,"tags=88%, list=38%, signal=75%",HLA-DRA/HLA-DPA1/CD74/HLA-DQB1/HLA-DQA1/IL7R/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0032395,MHC class II receptor activity,5,0.75,1.65657149496659,0.0229007633587786,0.0229007633587786,0.0569164847602878,11,"tags=100%, list=38%, signal=75%",HLA-DRA/HLA-DPA1/HLA-DQB1/HLA-DQA1/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0023023,MHC protein complex binding,4,0.766363011434096,1.5875490602684,0.0245775729646697,0.0245775729646697,0.0569164847602878,6,"tags=75%, list=21%, signal=69%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28_4-1BB_Zeta,gse_mf,GO:0023026,MHC class II protein complex binding,4,0.766363011434096,1.5875490602684,0.0245775729646697,0.0245775729646697,0.0569164847602878,6,"tags=75%, list=21%, signal=69%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0060333,interferon-gamma-mediated signaling pathway,9,0.8,2.08389678063939,0.00143061516452074,0.00143061516452074,0.0961466165413534,13,"tags=100%, list=45%, signal=80%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2/STAT1
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0006955,immune response,22,0.774262941657937,2.01899217299958,0.00276243093922652,0.00276243093922652,0.0961466165413534,15,"tags=68%, list=52%, signal=136%",HLA-DRA/GNLY/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5/IL7R/HLA-DQA2/LTB/STAT1/BIRC3/HLA-DMA
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0002478,antigen processing and presentation of exogenous peptide antigen,10,0.842692049907658,2.23724529425408,0.00284495021337127,0.00284495021337127,0.0961466165413534,11,"tags=90%, list=38%, signal=85%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,10,0.842692049907658,2.23724529425408,0.00284495021337127,0.00284495021337127,0.0961466165413534,11,"tags=90%, list=38%, signal=85%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,10,0.842692049907658,2.23724529425408,0.00284495021337127,0.00284495021337127,0.0961466165413534,11,"tags=90%, list=38%, signal=85%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0019882,antigen processing and presentation,10,0.842692049907658,2.23724529425408,0.00284495021337127,0.00284495021337127,0.0961466165413534,11,"tags=90%, list=38%, signal=85%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0019884,antigen processing and presentation of exogenous antigen,10,0.842692049907658,2.23724529425408,0.00284495021337127,0.00284495021337127,0.0961466165413534,11,"tags=90%, list=38%, signal=85%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,10,0.842692049907658,2.23724529425408,0.00284495021337127,0.00284495021337127,0.0961466165413534,11,"tags=90%, list=38%, signal=85%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0048002,antigen processing and presentation of peptide antigen,10,0.842692049907658,2.23724529425408,0.00284495021337127,0.00284495021337127,0.0961466165413534,11,"tags=90%, list=38%, signal=85%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0002253,activation of immune response,10,0.730739113608196,1.96215641654646,0.00422535211267606,0.00422535211267606,0.0961466165413534,11,"tags=80%, list=38%, signal=76%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0002757,immune response-activating signal transduction,10,0.730739113608196,1.96215641654646,0.00422535211267606,0.00422535211267606,0.0961466165413534,11,"tags=80%, list=38%, signal=76%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0002764,immune response-regulating signaling pathway,10,0.730739113608196,1.96215641654646,0.00422535211267606,0.00422535211267606,0.0961466165413534,11,"tags=80%, list=38%, signal=76%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0002429,immune response-activating cell surface receptor signaling pathway,9,0.795400321159348,2.07679461221196,0.00428571428571429,0.00428571428571429,0.0961466165413534,11,"tags=89%, list=38%, signal=80%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0002768,immune response-regulating cell surface receptor signaling pathway,9,0.795400321159348,2.07679461221196,0.00428571428571429,0.00428571428571429,0.0961466165413534,11,"tags=89%, list=38%, signal=80%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0050851,antigen receptor-mediated signaling pathway,9,0.795400321159348,2.07679461221196,0.00428571428571429,0.00428571428571429,0.0961466165413534,11,"tags=89%, list=38%, signal=80%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0050852,T cell receptor signaling pathway,9,0.795400321159348,2.07679461221196,0.00428571428571429,0.00428571428571429,0.0961466165413534,11,"tags=89%, list=38%, signal=80%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1/HLA-DRB5/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0002250,adaptive immune response,15,0.712920516438066,1.97862211600088,0.00556328233657858,0.00556328233657858,0.111405142278415,11,"tags=67%, list=38%, signal=86%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5/IL7R/HLA-DQA2
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0002376,immune system process,23,0.75435740820586,1.89839294736199,0.00558659217877095,0.00558659217877095,0.111405142278415,15,"tags=65%, list=52%, signal=152%",HLA-DRA/GNLY/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5/IL7R/HLA-DQA2/LTB/STAT1/BIRC3/HLA-DMA
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0019221,cytokine-mediated signaling pathway,19,0.670138538956261,1.86204849546856,0.00670241286863271,0.00670241286863271,0.114562545774624,14,"tags=68%, list=48%, signal=103%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5/IL7R/HLA-DQA2/LTB/STAT1/BIRC3
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0034097,response to cytokine,19,0.670138538956261,1.86204849546856,0.00670241286863271,0.00670241286863271,0.114562545774624,14,"tags=68%, list=48%, signal=103%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5/IL7R/HLA-DQA2/LTB/STAT1/BIRC3
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0071345,cellular response to cytokine stimulus,19,0.670138538956261,1.86204849546856,0.00670241286863271,0.00670241286863271,0.114562545774624,14,"tags=68%, list=48%, signal=103%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5/IL7R/HLA-DQA2/LTB/STAT1/BIRC3
BAFF-R,CD28_4-1BB_Zeta,gse_bp,GO:0048584,positive regulation of response to stimulus,16,0.665577651479776,1.85413120683018,0.00813008130081301,0.00813008130081301,0.130053394355454,11,"tags=62%, list=38%, signal=87%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/CD74/HLA-DQB1/HLA-DQA1/HLA-DRB5/IL7R/HLA-DQA2
