ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R,Zeta,7.72751196034614e-76,0.506122579959709,0.966,0.882,1.68382485615942e-71,TRUE
BAFF-R,Zeta,6.12157733543679e-73,0.715020169834608,0.794,0.515,1.33389170139168e-68,TRUE
BAFF-R,Zeta,3.35328084858106e-68,0.480073389715898,0.485,0.189,7.30679896905812e-64,TRUE
BAFF-R,Zeta,7.70220321500545e-66,0.587441033642025,0.745,0.447,1.67831008054969e-61,TRUE
BAFF-R,Zeta,3.45858604323645e-61,0.40362544115696,0.745,0.46,7.53625898821222e-57,TRUE
BAFF-R,Zeta,5.28134804705986e-56,0.480272005206072,0.67,0.389,1.15080573945434e-51,TRUE
BAFF-R,Zeta,1.13560049927596e-51,0.307235264459777,0.292,0.082,2.47447348792232e-47,TRUE
BAFF-R,Zeta,3.09480935100627e-48,0.518662425564716,0.699,0.456,6.74358957584267e-44,TRUE
BAFF-R,Zeta,1.97859792649301e-43,-0.352827251779031,0.97,0.988,4.31136488182827e-39,TRUE
BAFF-R,Zeta,4.91911762030433e-41,0.366710178523719,0.317,0.116,1.07187572946431e-36,TRUE
BAFF-R,Zeta,4.52026466493802e-36,0.301519343108995,0.838,0.74,9.84965670489994e-32,TRUE
BAFF-R,Zeta,3.4609658426792e-34,0.288478362388341,0.469,0.246,7.54144457119797e-30,TRUE
BAFF-R,Zeta,4.44569423001171e-34,-0.34521491565709,0.866,0.926,9.68716772719551e-30,TRUE
BAFF-R,Zeta,1.50605539911789e-32,0.288068093593715,0.626,0.417,3.28169471467788e-28,TRUE
BAFF-R,Zeta,1.76046620653619e-30,0.21984347387803,0.559,0.364,3.83605586404237e-26,TRUE
BAFF-R,Zeta,1.07330458772235e-29,-0.317770010859919,0.901,0.933,2.33873069664699e-25,TRUE
BAFF-R,Zeta,7.60586437136621e-24,0.246172714803026,0.7,0.555,1.6573178465207e-19,TRUE
BAFF-R,Zeta,5.29523518999318e-22,0.230272401513781,0.791,0.65,1.15383174789951e-17,TRUE
BAFF-R,Zeta,5.64375243944686e-22,0.221893814516661,0.72,0.535,1.22977365655547e-17,TRUE
BAFF-R,Zeta,1.66345303284406e-21,0.243553966674997,0.676,0.512,3.6246641585672e-17,TRUE
BAFF-R,Zeta,2.00175318549543e-21,-0.240645375043091,0.47,0.606,4.36182019119454e-17,TRUE
BAFF-R,Zeta,6.1269496155033e-21,0.256812223282051,0.587,0.445,1.33506232121817e-16,TRUE
BAFF-R,Zeta,6.89016139982544e-21,-0.253998633553283,0.893,0.934,1.50136616902196e-16,TRUE
BAFF-R,Zeta,1.35430271484376e-20,0.270025226531525,0.509,0.361,2.95102561564456e-16,TRUE
BAFF-R,Zeta,1.86825344786509e-17,-0.262459824088835,0.584,0.666,4.07092426289802e-13,TRUE
BAFF-R,Zeta,2.25718681621052e-17,-0.203587409834127,0.133,0.259,4.91841007252272e-13,TRUE
BAFF-R,Zeta,1.35191394662187e-16,-0.270462066110253,0.594,0.714,2.94582048968906e-12,TRUE
BAFF-R,Zeta,3.53131042808813e-14,0.456354602883653,0.782,0.758,7.69472542280404e-10,TRUE
BAFF-R,Zeta,1.79777178249015e-13,-0.235811609205522,0.596,0.656,3.91734471404605e-09,TRUE
BAFF-R,Zeta,2.99575560008348e-13,-0.228820829042435,0.872,0.919,6.52775145258191e-09,TRUE
BAFF-R,Zeta,2.28939639634136e-12,0.336740204888304,0.256,0.157,4.98859474762783e-08,TRUE
BAFF-R,Zeta,4.8343933653724e-12,0.218202092061776,0.731,0.652,1.05341431431464e-07,TRUE
BAFF-R,Zeta,5.21881685057966e-12,-0.228566196282824,0.474,0.563,1.13718019174131e-07,TRUE
BAFF-R,Zeta,1.48938597102506e-11,-0.311441661830608,0.53,0.603,3.24537203086361e-07,TRUE
BAFF-R,Zeta,4.90714396979673e-11,-0.205834899511777,0.469,0.563,1.06926667101871e-06,TRUE
BAFF-R,Zeta,6.15419155657866e-11,0.236346465462041,0.745,0.667,1.34099834017849e-06,TRUE
BAFF-R,Zeta,2.15408584006056e-10,0.314528978589164,0.59,0.476,4.69375304549196e-06,TRUE
BAFF-R,Zeta,3.02509418810689e-10,0.293555742161927,0.805,0.713,6.59168023588492e-06,TRUE
BAFF-R,Zeta,7.71597202130792e-10,-0.201870555701251,0.616,0.683,1.681310303443e-05,TRUE
BAFF-R,Zeta,2.42179791858462e-07,-0.238491671422187,0.231,0.3,0.00527709766459589,TRUE
BAFF-R,Zeta,5.15613515798962e-07,-0.224787153999302,0.779,0.838,0.0112352185092594,TRUE
BAFF-R,Zeta,9.14050284979085e-06,0.449549261589957,0.361,0.29,0.199171557096943,TRUE
BAFF-R,Zeta,0.00869777480133004,0.223982790589147,0.82,0.799,1,TRUE
BAFF-R,Zeta,0.0358182447566579,0.209477400638679,0.616,0.576,1,TRUE
