ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R,Zeta,gse_mf,GO:0033218,amide binding,10,0.733044337469224,2.15165484587397,0.00140056022408964,0.00140056022408964,0.0144196106705119,6,"tags=60%, list=14%, signal=67%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
BAFF-R,Zeta,gse_mf,GO:0042277,peptide binding,10,0.733044337469224,2.15165484587397,0.00140056022408964,0.00140056022408964,0.0144196106705119,6,"tags=60%, list=14%, signal=67%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1
BAFF-R,Zeta,gse_mf,GO:0003823,antigen binding,7,0.807950342016002,2.13280682670678,0.0015220700152207,0.0015220700152207,0.0144196106705119,10,"tags=86%, list=23%, signal=79%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1
BAFF-R,Zeta,gse_mf,GO:0042605,peptide antigen binding,7,0.807950342016002,2.13280682670678,0.0015220700152207,0.0015220700152207,0.0144196106705119,10,"tags=86%, list=23%, signal=79%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1/HLA-DQA1
BAFF-R,Zeta,gse_mf,GO:0023023,MHC protein complex binding,3,0.975609756097561,1.90268727877329,0.00332778702163062,0.00332778702163062,0.0210176022418776,4,"tags=100%, list=9%, signal=98%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,Zeta,gse_mf,GO:0023026,MHC class II protein complex binding,3,0.975609756097561,1.90268727877329,0.00332778702163062,0.00332778702163062,0.0210176022418776,4,"tags=100%, list=9%, signal=98%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,Zeta,gse_mf,GO:0032395,MHC class II receptor activity,5,0.794871794871795,1.89692395004463,0.00627943485086342,0.00627943485086342,0.0339939330272306,13,"tags=100%, list=30%, signal=79%",HLA-DRA/HLA-DPA1/HLA-DQB1/HLA-DQA1/HLA-DQA2
BAFF-R,Zeta,gse_mf,GO:0044877,protein-containing complex binding,6,0.683628612218113,1.68470405245171,0.0212443095599393,0.0212443095599393,0.100630940020765,4,"tags=50%, list=9%, signal=53%",HLA-DRA/HLA-DRB1/CD74
BAFF-R,Zeta,gse_mf,GO:0030246,carbohydrate binding,3,0.807025770555703,1.56731861267678,0.0292598967297762,0.0292598967297762,0.10112617789014,2,"tags=67%, list=5%, signal=68%",HLA-DRA/HLA-DRB1
BAFF-R,Zeta,gse_mf,GO:0004888,transmembrane signaling receptor activity,9,0.584347865870636,1.64542612980194,0.0320232896652111,0.0320232896652111,0.10112617789014,13,"tags=67%, list=30%, signal=59%",HLA-DRA/HLA-DPA1/CD74/HLA-DQB1/HLA-DQA1/HLA-DQA2
BAFF-R,Zeta,gse_mf,GO:0038023,signaling receptor activity,9,0.584347865870636,1.64542612980194,0.0320232896652111,0.0320232896652111,0.10112617789014,13,"tags=67%, list=30%, signal=59%",HLA-DRA/HLA-DPA1/CD74/HLA-DQB1/HLA-DQA1/HLA-DQA2
BAFF-R,Zeta,gse_mf,GO:0060089,molecular transducer activity,9,0.584347865870636,1.64542612980194,0.0320232896652111,0.0320232896652111,0.10112617789014,13,"tags=67%, list=30%, signal=59%",HLA-DRA/HLA-DPA1/CD74/HLA-DQB1/HLA-DQA1/HLA-DQA2
BAFF-R,Zeta,gse_mf,GO:0043167,ion binding,10,-0.485456420600431,-1.64420574928226,0.040590405904059,0.040590405904059,0.118320211542196,22,"tags=90%, list=50%, signal=58%",MT2A/TNFSF10/MT1X/NUCB2/SLFN5/TIMP1/CD44/ITM2B/CD69
BAFF-R,Zeta,gse_bp,GO:0006950,response to stress,25,0.704854168341515,2.36190826335142,0.00126742712294043,0.00126742712294043,0.0264764475290791,17,"tags=64%, list=39%, signal=91%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1/GZMB/GNLY/BIRC3/HLA-DQA1/IFNG/HILPDA/HLA-DQA2/STAT1/HLA-DRB5/NFKBIA
BAFF-R,Zeta,gse_bp,GO:0006952,defense response,22,0.698380468101164,2.36520233740128,0.00127064803049555,0.00127064803049555,0.0264764475290791,17,"tags=68%, list=39%, signal=84%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1/HLA-DQB1/GZMB/GNLY/BIRC3/HLA-DQA1/IFNG/HLA-DQA2/STAT1/HLA-DRB5/NFKBIA
