ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
CD40,4-1BB,1.56955391501382e-68,0.219715928992979,1,1,3.42005798081512e-64,TRUE
CD40,4-1BB,5.3001296443242e-35,-0.214658367899185,0.76,0.844,1.15489824949824e-30,TRUE
CD40,4-1BB,1.94816670946536e-33,0.291060430401983,0.731,0.606,4.24505525992501e-29,TRUE
CD40,4-1BB,1.01074370417037e-29,0.220361917118964,0.669,0.527,2.20241053138725e-25,TRUE
CD40,4-1BB,1.30248543016664e-28,0.294249747580137,0.796,0.754,2.83811575233311e-24,TRUE
CD40,4-1BB,5.12926201869053e-27,-0.207445913446507,0.57,0.662,1.11766619387267e-22,TRUE
CD40,4-1BB,4.02410709640931e-26,-0.251108223255521,0.779,0.872,8.76852936307589e-22,TRUE
CD40,4-1BB,3.05393978984885e-22,0.220171247548345,0.383,0.257,6.65453480208065e-18,TRUE
CD40,4-1BB,1.36766878276953e-20,0.217154352100712,0.87,0.855,2.98015027765481e-16,TRUE
CD40,4-1BB,9.00348167516476e-20,-0.260473735223901,0.789,0.797,1.9618586570184e-15,TRUE
CD40,4-1BB,8.39872697294408e-19,-0.507198389352789,0.186,0.283,1.83008260740452e-14,TRUE
CD40,4-1BB,1.78982882951742e-14,-0.218432084515225,0.199,0.289,3.90003701951845e-10,TRUE
CD40,4-1BB,2.55521306320136e-09,-0.465433308788235,0.596,0.632,5.56780926471576e-05,TRUE
CD40,4-1BB,9.26343543329525e-08,0.64683215307152,0.319,0.266,0.00201850258091503,TRUE
CD40,4-1BB,4.44565132606256e-05,0.217593645614005,0.84,0.819,0.968707423949031,TRUE
CD40,4-1BB,0.000159789408411587,0.228548601782714,0.586,0.583,1,TRUE
CD40,4-1BB,0.327856699906741,-0.204124782064013,0.257,0.264,1,TRUE
