ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
CD40,4-1BB,gse_bp,GO:0045087,innate immune response,6,0.727272727272727,1.70759629597456,0.0176817288801572,0.0176817288801572,0.502493858408397,9,"tags=100%, list=53%, signal=73%",HLA-DRA/TRBC1/HLA-DRB1/HLA-DQB1/STAT1/TRBC2
CD40,4-1BB,gse_bp,GO:0000165,MAPK cascade,3,-0.857142857142857,-1.63827722598453,0.025844930417495,0.025844930417495,0.502493858408397,6,"tags=100%, list=35%, signal=79%",IL2RA/IL5
CD40,4-1BB,gse_bp,GO:0006464,cellular protein modification process,3,-0.857142857142857,-1.63827722598453,0.025844930417495,0.025844930417495,0.502493858408397,6,"tags=100%, list=35%, signal=79%",IL2RA/IL5
CD40,4-1BB,gse_bp,GO:0006468,protein phosphorylation,3,-0.857142857142857,-1.63827722598453,0.025844930417495,0.025844930417495,0.502493858408397,6,"tags=100%, list=35%, signal=79%",IL2RA/IL5
CD40,4-1BB,gse_bp,GO:0016310,phosphorylation,3,-0.857142857142857,-1.63827722598453,0.025844930417495,0.025844930417495,0.502493858408397,6,"tags=100%, list=35%, signal=79%",IL2RA/IL5
CD40,4-1BB,gse_bp,GO:0023014,signal transduction by protein phosphorylation,3,-0.857142857142857,-1.63827722598453,0.025844930417495,0.025844930417495,0.502493858408397,6,"tags=100%, list=35%, signal=79%",IL2RA/IL5
CD40,4-1BB,gse_bp,GO:0036211,protein modification process,3,-0.857142857142857,-1.63827722598453,0.025844930417495,0.025844930417495,0.502493858408397,6,"tags=100%, list=35%, signal=79%",IL2RA/IL5
CD40,4-1BB,gse_bp,GO:0043412,macromolecule modification,3,-0.857142857142857,-1.63827722598453,0.025844930417495,0.025844930417495,0.502493858408397,6,"tags=100%, list=35%, signal=79%",IL2RA/IL5
CD40,4-1BB,gse_bp,GO:0051239,regulation of multicellular organismal process,5,-0.738203037855884,-1.66686207581836,0.0283400809716599,0.0283400809716599,0.502493858408397,4,"tags=60%, list=24%, signal=65%",IL2RA/HILPDA/IL5
CD40,4-1BB,gse_bp,GO:0051240,positive regulation of multicellular organismal process,5,-0.738203037855884,-1.66686207581836,0.0283400809716599,0.0283400809716599,0.502493858408397,4,"tags=60%, list=24%, signal=65%",IL2RA/HILPDA/IL5
CD40,4-1BB,gse_bp,GO:0050852,T cell receptor signaling pathway,4,0.846153846153846,1.71856589157933,0.0291666666666667,0.0291666666666667,0.502493858408397,6,"tags=100%, list=35%, signal=85%",HLA-DRA/TRBC1/HLA-DRB1/HLA-DQB1
CD40,4-1BB,gse_bp,GO:0008283,cell proliferation,5,-0.743665625743145,-1.6959141541721,0.0297029702970297,0.0297029702970297,0.502493858408397,4,"tags=60%, list=24%, signal=65%",IL2RA/HILPDA/IL5
CD40,4-1BB,gse_bp,GO:0008284,positive regulation of cell proliferation,5,-0.743665625743145,-1.6959141541721,0.0297029702970297,0.0297029702970297,0.502493858408397,4,"tags=60%, list=24%, signal=65%",IL2RA/HILPDA/IL5
CD40,4-1BB,gse_bp,GO:0042127,regulation of cell proliferation,5,-0.743665625743145,-1.6959141541721,0.0297029702970297,0.0297029702970297,0.502493858408397,4,"tags=60%, list=24%, signal=65%",IL2RA/HILPDA/IL5
CD40,4-1BB,gse_bp,GO:0032879,regulation of localization,3,-0.815728296016237,-1.53255709004697,0.0405405405405405,0.0405405405405405,0.640113798008535,3,"tags=67%, list=18%, signal=67%",HILPDA/IL5
CD40,4-1BB,gse_kegg,hsa05164,Influenza A,5,0.75,1.67967493969092,0.0233009708737864,0.0233009708737864,0.133399209486166,8,"tags=100%, list=47%, signal=75%",TNFSF10/HLA-DRA/HLA-DRB1/HLA-DQB1/STAT1
