ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
CD40,CD28,2.1497376826421e-140,-0.69244256015014,0.789,0.906,4.68427841047714e-136,TRUE
CD40,CD28,2.00180393638198e-131,-0.240866052614666,0.081,0.367,4.36193077737633e-127,TRUE
CD40,CD28,6.64509489482988e-126,0.366771981538321,1,1,1.44796617758343e-121,TRUE
CD40,CD28,2.10006234626069e-106,-0.583918173246001,0.554,0.812,4.57603585250203e-102,TRUE
CD40,CD28,9.50088710535657e-106,-0.818724254200979,0.315,0.624,2.0702433002572e-101,TRUE
CD40,CD28,2.38937194920532e-97,-0.334551561900709,0.153,0.431,5.20644147731838e-93,TRUE
CD40,CD28,3.13739341181922e-96,0.349670648354928,0.988,0.982,6.83638024435408e-92,TRUE
CD40,CD28,8.4086391845011e-93,-1.16717592339058,0.596,0.802,1.83224247830279e-88,TRUE
CD40,CD28,4.84316330877252e-92,0.454086393454396,0.965,0.964,1.05532528498153e-87,TRUE
CD40,CD28,1.17189309880695e-87,0.622432022035187,0.731,0.456,2.55355506230034e-83,TRUE
CD40,CD28,3.07517588878467e-86,-0.471052410952547,0.57,0.779,6.7008082616618e-82,TRUE
CD40,CD28,3.02483003318292e-83,-0.335543497365416,0.384,0.663,6.59110464230557e-79,TRUE
CD40,CD28,1.98732345914386e-82,0.33138074476631,0.977,0.98,4.33037781747446e-78,TRUE
CD40,CD28,2.59153045867477e-81,0.449041719671447,0.977,0.951,5.64694486945232e-77,TRUE
CD40,CD28,3.76796083915052e-76,0.56925036258614,0.705,0.431,8.21038666850899e-72,TRUE
CD40,CD28,2.84350776151342e-73,-0.296373981184066,0.283,0.543,6.19600341233774e-69,TRUE
CD40,CD28,9.45987953055041e-71,-0.577526315481758,0.641,0.795,2.06130774970694e-66,TRUE
CD40,CD28,6.61712050780687e-70,-0.390780268267703,0.619,0.797,1.44187055865112e-65,TRUE
CD40,CD28,1.20258425662635e-69,0.556919477461337,0.669,0.408,2.62043109518881e-65,TRUE
CD40,CD28,3.63564865249096e-69,-0.278543730073862,0.261,0.532,7.9220784137778e-65,TRUE
CD40,CD28,7.15181978732843e-68,-0.228742507033744,0.309,0.569,1.55838153165887e-63,TRUE
CD40,CD28,9.91858020873108e-68,-0.400227618370382,0.244,0.482,2.1612586274825e-63,TRUE
CD40,CD28,6.0482344928889e-64,-0.308498119433527,0.87,0.948,1.31791029600049e-59,TRUE
CD40,CD28,1.2971348984033e-62,0.276836142570634,0.997,0.999,2.8264569436208e-58,TRUE
CD40,CD28,4.17398320224871e-61,-0.532236616660946,0.739,0.872,9.09510939769993e-57,TRUE
CD40,CD28,1.87045706026347e-59,0.331930934354032,0.915,0.828,4.0757259343141e-55,TRUE
CD40,CD28,2.6242235497953e-58,0.404111838108308,0.714,0.535,5.71818311500395e-54,TRUE
CD40,CD28,8.77012264550035e-58,-0.237525907596071,0.929,0.972,1.91100972445453e-53,TRUE
CD40,CD28,1.66583836684163e-57,-0.234578380855256,0.994,0.999,3.62986180134791e-53,TRUE
CD40,CD28,3.3291876108079e-57,-0.269221046869234,0.511,0.743,7.25429980395042e-53,TRUE
CD40,CD28,1.69098120991836e-55,0.253471857600966,0.957,0.97,3.68464805641211e-51,TRUE
CD40,CD28,2.76043777874827e-55,0.258699595424479,0.925,0.899,6.01499391989248e-51,TRUE
CD40,CD28,3.05659935895793e-55,-0.223384418784786,0.392,0.647,6.66033000316934e-51,TRUE
CD40,CD28,1.84494810370045e-53,-0.352774227995812,0.825,0.919,4.02014191796328e-49,TRUE
CD40,CD28,1.9431546943077e-53,0.393965348547073,0.957,0.966,4.23413407889647e-49,TRUE
CD40,CD28,6.85575277241868e-53,-0.361062492912901,0.119,0.301,1.49386852911003e-48,TRUE
CD40,CD28,2.83404177510877e-52,0.348545066720903,0.892,0.845,6.175377027962e-48,TRUE
CD40,CD28,3.2050436942993e-52,-0.357981536281054,0.843,0.925,6.98379020987817e-48,TRUE
CD40,CD28,7.00161282065761e-51,0.282806009882703,0.811,0.659,1.52565143362129e-46,TRUE
CD40,CD28,3.06716703419406e-49,0.533945721633234,0.961,0.942,6.68335696750886e-45,TRUE
CD40,CD28,3.17022513920719e-49,-0.248296354446913,0.664,0.821,6.90792057833248e-45,TRUE
CD40,CD28,1.00875526733232e-48,0.415550177616832,0.563,0.345,2.19807772751712e-44,TRUE
CD40,CD28,2.29109000219954e-48,-0.209964518905681,0.304,0.525,4.9922851147928e-44,TRUE
CD40,CD28,2.50345381460537e-48,0.422733793383146,0.636,0.446,5.4550258620251e-44,TRUE
CD40,CD28,1.86530247943284e-47,0.407126259922618,0.87,0.855,4.06449410268416e-43,TRUE
CD40,CD28,1.0832052072135e-46,-0.262642848481443,0.57,0.744,2.36030414651821e-42,TRUE
CD40,CD28,9.7682894709991e-45,0.286759083526303,0.664,0.5,2.1285102757307e-40,TRUE
CD40,CD28,1.85368036522044e-44,-0.223863371085494,0.985,0.996,4.03916951581535e-40,TRUE
CD40,CD28,2.01295467718543e-44,-0.232872737631331,0.78,0.888,4.38622824158706e-40,TRUE
CD40,CD28,4.17144825108595e-44,-0.200085307123796,0.411,0.622,9.08958573911628e-40,TRUE
CD40,CD28,7.55794554850921e-44,0.251241091079863,0.859,0.827,1.64687633502016e-39,TRUE
CD40,CD28,1.8266644036098e-43,-0.236719082927705,0.912,0.97,3.98030173546575e-39,TRUE
CD40,CD28,2.65082032987653e-42,-0.253608561754846,0.842,0.937,5.77613749880096e-38,TRUE
CD40,CD28,3.14819187365824e-42,0.273489611072852,0.837,0.793,6.85991009270131e-38,TRUE
CD40,CD28,3.2463019881093e-42,0.26978190325047,0.919,0.904,7.07369203209017e-38,TRUE
CD40,CD28,4.85567619133236e-42,0.34501491190452,0.383,0.176,1.05805184209132e-37,TRUE
CD40,CD28,5.90677317113844e-42,-0.237544143560535,0.369,0.573,1.28708587399107e-37,TRUE
CD40,CD28,1.05587521591818e-41,-0.253334947629998,0.562,0.76,2.30075209548572e-37,TRUE
CD40,CD28,1.64661625916427e-41,-0.247975939268454,0.926,0.97,3.58797682871895e-37,TRUE
CD40,CD28,7.0658764546184e-41,0.280722201985098,0.481,0.28,1.53965447946135e-36,TRUE
CD40,CD28,1.09635445649988e-40,0.388976177128603,0.796,0.733,2.38895636071325e-36,TRUE
CD40,CD28,2.41017194593607e-40,-0.386893407487827,0.308,0.496,5.2517646701947e-36,TRUE
CD40,CD28,4.03063551099008e-40,-0.24631883597181,0.772,0.875,8.78275477844739e-36,TRUE
CD40,CD28,1.01394163692616e-39,-0.22899307222032,0.689,0.835,2.20937882686211e-35,TRUE
CD40,CD28,4.07042227090074e-39,-0.233000529510427,0.895,0.95,8.86945012829271e-35,TRUE
CD40,CD28,4.61971793272253e-39,-0.223778851900941,0.671,0.82,1.00663653754024e-34,TRUE
CD40,CD28,5.00317501149934e-39,-0.298061174818187,0.779,0.928,1.09019183500571e-34,TRUE
CD40,CD28,5.31383707706406e-39,-0.221601821659832,0.4,0.6,1.15788509909226e-34,TRUE
CD40,CD28,1.38558535760153e-37,-0.225855872805608,0.656,0.801,3.01919049421374e-33,TRUE
CD40,CD28,2.6537465440452e-37,-0.201424724135412,0.535,0.723,5.78251371947448e-33,TRUE
CD40,CD28,4.0684340922827e-37,-0.244699233843453,0.7,0.837,8.86511788708401e-33,TRUE
CD40,CD28,3.88565797722293e-36,-0.207452186509746,0.772,0.88,8.46684873236876e-32,TRUE
CD40,CD28,1.35885682740765e-35,-0.716797288611305,0.784,0.866,2.96094902692127e-31,TRUE
CD40,CD28,1.54002848408931e-34,-0.532832288479437,0.222,0.395,3.35572206683061e-30,TRUE
CD40,CD28,1.06020257049208e-33,-0.204485419366133,0.832,0.923,2.31018140110223e-29,TRUE
CD40,CD28,2.15495749471445e-33,0.285627705108682,0.756,0.667,4.69565238098279e-29,TRUE
CD40,CD28,2.83316990749466e-33,-0.205829503231232,0.74,0.865,6.17347722843086e-29,TRUE
CD40,CD28,3.67991099194684e-33,-0.201099081909787,0.655,0.806,8.01852605145217e-29,TRUE
CD40,CD28,7.46456625875273e-33,0.226318350296592,0.896,0.869,1.62652898778222e-28,TRUE
CD40,CD28,1.59157686298526e-32,-0.21214977207252,0.442,0.619,3.46804598444487e-28,TRUE
CD40,CD28,5.81380227659221e-32,0.210420295108364,0.93,0.943,1.26682751606944e-27,TRUE
CD40,CD28,8.62831198224291e-32,-0.208563127083863,0.556,0.713,1.88010918093073e-27,TRUE
CD40,CD28,1.54247708546128e-31,-0.212341582720554,0.595,0.743,3.36105756922014e-27,TRUE
CD40,CD28,4.51410507713878e-31,-0.221948191402771,0.613,0.757,9.8362349630854e-27,TRUE
CD40,CD28,1.54508256991445e-30,0.318274704402503,0.923,0.907,3.36673491984359e-26,TRUE
CD40,CD28,1.73144968609974e-30,-0.212292575175114,0.802,0.93,3.77282886601134e-26,TRUE
CD40,CD28,3.35619488451874e-30,0.304841883846923,0.642,0.517,7.31314865336633e-26,TRUE
CD40,CD28,4.68142648953342e-30,0.473483944382367,0.84,0.791,1.02008283206933e-25,TRUE
CD40,CD28,5.53391349341688e-30,0.25029552130364,0.835,0.816,1.20583975021554e-25,TRUE
CD40,CD28,5.85800280613602e-30,0.243127886135365,0.486,0.326,1.27645881145704e-25,TRUE
CD40,CD28,7.2763715230657e-30,0.225875585734376,0.733,0.668,1.58552135487602e-25,TRUE
CD40,CD28,7.28430918774231e-30,0.242452915659895,0.894,0.894,1.58725097200905e-25,TRUE
CD40,CD28,1.41779747637156e-29,-0.285190641941441,0.602,0.75,3.08938070101363e-25,TRUE
CD40,CD28,2.62954282413093e-29,0.273497878567498,0.849,0.845,5.72977381378129e-25,TRUE
CD40,CD28,5.03392183567543e-28,0.255514416330694,0.584,0.461,1.09689156799368e-23,TRUE
CD40,CD28,2.84833123472845e-27,-0.227291984054687,0.76,0.867,6.20651376047328e-23,TRUE
CD40,CD28,4.29442472078323e-27,0.250208751692878,0.361,0.193,9.35755146658666e-23,TRUE
CD40,CD28,4.36822216233251e-24,0.209995525781277,0.727,0.679,9.51835609172254e-20,TRUE
CD40,CD28,1.20847432539539e-23,0.223069577710901,0.625,0.536,2.63326555503655e-19,TRUE
CD40,CD28,1.26326440804318e-23,0.422416589792544,0.361,0.219,2.75265314512609e-19,TRUE
CD40,CD28,2.42560472631373e-23,0.221532732197837,0.762,0.719,5.28539269863761e-19,TRUE
CD40,CD28,2.59148806046123e-22,0.246959386601595,0.655,0.572,5.64685248374501e-18,TRUE
CD40,CD28,5.0965473618217e-22,-0.211136039678276,0.483,0.643,1.11053767014095e-17,TRUE
CD40,CD28,1.73761719228222e-21,-0.207068493224652,0.482,0.618,3.78626786198297e-17,TRUE
CD40,CD28,4.34509573719286e-21,-0.204011679101033,0.833,0.924,9.46796361134325e-17,TRUE
CD40,CD28,9.91513265837624e-21,0.322825257195747,0.631,0.54,2.16050740626018e-16,TRUE
CD40,CD28,5.57542242270667e-20,0.2311043126027,0.597,0.5,1.21488454590778e-15,TRUE
CD40,CD28,1.56013059027715e-19,-0.206396925450599,0.451,0.585,3.3995245562139e-15,TRUE
CD40,CD28,5.69175734972044e-19,0.247973772484114,0.677,0.613,1.24023392650408e-14,TRUE
CD40,CD28,4.67524535090768e-18,0.220339778378023,0.825,0.786,1.01873596196278e-13,TRUE
CD40,CD28,1.16858839524881e-17,0.207069505018933,0.397,0.281,2.54635411324717e-13,TRUE
CD40,CD28,1.44477626525507e-16,0.268123488851583,0.272,0.16,3.1481674819908e-12,TRUE
CD40,CD28,2.85570743586365e-16,0.213982000683252,0.908,0.953,6.22258650274689e-12,TRUE
CD40,CD28,2.01995715331337e-15,0.201634391623176,0.62,0.556,4.40148663706983e-11,TRUE
CD40,CD28,4.03566258100566e-15,-0.694686252284147,0.186,0.285,8.79370876401134e-11,TRUE
CD40,CD28,1.05048139786631e-14,0.254435418832377,0.309,0.214,2.28899896595068e-10,TRUE
CD40,CD28,4.00243339596621e-14,0.256939748048532,1,1,8.72130236981038e-10,TRUE
CD40,CD28,9.24785161908716e-14,0.389116260776845,0.586,0.536,2.01510686779909e-09,TRUE
CD40,CD28,3.19478008970915e-12,0.206975671130149,0.601,0.534,6.96142581547624e-08,TRUE
CD40,CD28,8.67681625647769e-12,0.218312348937197,0.595,0.554,1.89067826228649e-07,TRUE
CD40,CD28,8.1275033179433e-10,0.237576760881465,0.719,0.706,1.77098297297985e-05,TRUE
CD40,CD28,3.58349909962841e-08,0.232557596005927,0.706,0.691,0.00078084445380903,TRUE
CD40,CD28,5.64497049526943e-08,0.618198946648924,0.319,0.256,0.00123003907091921,TRUE
CD40,CD28,3.25334272926146e-07,0.245844953788287,0.513,0.479,0.00708903380706073,TRUE
