ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
CD40,CD28,gse_mf,GO:0042605,peptide antigen binding,6,0.784239479110057,2.1231845689991,0.00201207243460765,0.00201207243460765,0.0641168599464764,20,"tags=83%, list=15%, signal=74%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1/HLA-DQB1
CD40,CD28,gse_mf,GO:0033218,amide binding,10,0.705314695762735,2.39435932950574,0.0020746887966805,0.0020746887966805,0.0641168599464764,21,"tags=70%, list=16%, signal=64%",HLA-DRA/HLA-DRB1/CD74/HLA-DPA1/HLA-DPB1/HLA-DQB1/ITM2B
CD40,CD28,gse_mf,GO:0042277,peptide binding,10,0.705314695762735,2.39435932950574,0.0020746887966805,0.0020746887966805,0.0641168599464764,21,"tags=70%, list=16%, signal=64%",HLA-DRA/HLA-DRB1/CD74/HLA-DPA1/HLA-DPB1/HLA-DQB1/ITM2B
CD40,CD28,gse_mf,GO:0003823,antigen binding,11,0.729747473609977,2.46618575326266,0.00211864406779661,0.00211864406779661,0.0641168599464764,20,"tags=73%, list=15%, signal=67%",HLA-DRA/HLA-DRB1/HLA-DPA1/IL7R/HLA-DPB1/TRBC2/TRBC1/HLA-DQB1
CD40,CD28,gse_mf,GO:0023023,MHC protein complex binding,5,0.745922614119663,1.86255756673278,0.00597609561752988,0.00597609561752988,0.105876937241062,7,"tags=60%, list=5%, signal=59%",HLA-DRA/HLA-DRB1/CD74
CD40,CD28,gse_mf,GO:0023026,MHC class II protein complex binding,5,0.745922614119663,1.86255756673278,0.00597609561752988,0.00597609561752988,0.105876937241062,7,"tags=60%, list=5%, signal=59%",HLA-DRA/HLA-DRB1/CD74
CD40,CD28,gse_mf,GO:0032395,MHC class II receptor activity,3,0.8671875,1.76278722931253,0.00612244897959184,0.00612244897959184,0.105876937241062,20,"tags=100%, list=15%, signal=87%",HLA-DRA/HLA-DPA1/HLA-DQB1
CD40,CD28,gse_mf,GO:0005125,cytokine activity,8,-0.593647153334109,-1.73003887100968,0.0217391304347826,0.0217391304347826,0.31207174936568,11,"tags=50%, list=8%, signal=49%",NAMPT/IL13/IL5/LTA
CD40,CD28,gse_mf,GO:0044877,protein-containing complex binding,16,0.428634636135802,1.70982486671477,0.0232018561484919,0.0232018561484919,0.31207174936568,25,"tags=44%, list=19%, signal=40%",HLA-DRA/HLA-DRB1/CD74/FYB1/GMFG/VIM/SYNE2
CD40,CD28,gse_mf,GO:0030545,receptor regulator activity,9,-0.543153523107426,-1.6368756814333,0.0316831683168317,0.0316831683168317,0.322162692159541,11,"tags=44%, list=8%, signal=44%",NAMPT/IL13/IL5/LTA
CD40,CD28,gse_mf,GO:0048018,receptor ligand activity,9,-0.543153523107426,-1.6368756814333,0.0316831683168317,0.0316831683168317,0.322162692159541,11,"tags=44%, list=8%, signal=44%",NAMPT/IL13/IL5/LTA
CD40,CD28,gse_mf,GO:0030246,carbohydrate binding,4,0.70677652067209,1.59343917995065,0.031936127744511,0.031936127744511,0.322162692159541,4,"tags=50%, list=3%, signal=50%",HLA-DRA/HLA-DRB1
CD40,CD28,gse_mf,GO:0008233,peptidase activity,3,-0.768966366332073,-1.54369440134888,0.0425531914893617,0.0425531914893617,0.367941129419293,13,"tags=67%, list=10%, signal=61%",NAPSA/GZMB
CD40,CD28,gse_mf,GO:0070011,"peptidase activity, acting on L-amino acid peptides",3,-0.768966366332073,-1.54369440134888,0.0425531914893617,0.0425531914893617,0.367941129419293,13,"tags=67%, list=10%, signal=61%",NAPSA/GZMB
CD40,CD28,gse_mf,GO:0004888,transmembrane signaling receptor activity,13,0.437790828829826,1.55902720108114,0.0472279260780288,0.0472279260780288,0.380748474247056,20,"tags=46%, list=15%, signal=43%",HLA-DRA/CD74/HLA-DPA1/IL7R/PTPRC/HLA-DQB1
CD40,CD28,gse_bp,GO:0036293,response to decreased oxygen levels,11,-0.662937995921569,-2.19198692267598,0.0018348623853211,0.0018348623853211,0.136618141097424,11,"tags=64%, list=8%, signal=64%",EIF4EBP1/LMNA/NAMPT/DDIT4/BNIP3/LTA/HILPDA
CD40,CD28,gse_bp,GO:0070482,response to oxygen levels,11,-0.662937995921569,-2.19198692267598,0.0018348623853211,0.0018348623853211,0.136618141097424,11,"tags=64%, list=8%, signal=64%",EIF4EBP1/LMNA/NAMPT/DDIT4/BNIP3/LTA/HILPDA
