ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
CD40,CD28_4-1BB_Zeta,1.36111890238876e-117,0.293596952823976,0.965,0.93,2.96587808830512e-113,TRUE
CD40,CD28_4-1BB_Zeta,5.09979520975567e-108,0.407609563955263,0.731,0.534,1.11124537620576e-103,TRUE
CD40,CD28_4-1BB_Zeta,2.09321216979221e-93,0.319907889234581,0.669,0.466,4.56110931797722e-89,TRUE
CD40,CD28_4-1BB_Zeta,2.94389117833239e-78,0.358207003270709,0.796,0.707,6.41473887758628e-74,TRUE
CD40,CD28_4-1BB_Zeta,5.49969297360132e-74,0.2714481766564,0.383,0.21,1.19838309894773e-69,TRUE
CD40,CD28_4-1BB_Zeta,2.30605511097461e-61,0.264911801377136,0.636,0.482,5.02489408681368e-57,TRUE
CD40,CD28_4-1BB_Zeta,1.03442777991122e-56,0.257247835278466,0.71,0.605,2.25401813242655e-52,TRUE
CD40,CD28_4-1BB_Zeta,2.40286831436745e-52,0.221628904281036,0.563,0.408,5.23585005700668e-48,TRUE
CD40,CD28_4-1BB_Zeta,5.97224202847046e-40,-0.239618802355958,0.779,0.871,1.30135153800371e-35,TRUE
CD40,CD28_4-1BB_Zeta,8.4959533143299e-32,0.323895186543868,0.84,0.768,1.85126822719249e-27,TRUE
CD40,CD28_4-1BB_Zeta,5.47342060297354e-17,-0.267991748862031,0.315,0.384,1.19265834938793e-12,TRUE
CD40,CD28_4-1BB_Zeta,6.36163476458152e-14,-0.221266663891147,0.789,0.78,1.38620021520231e-09,TRUE
CD40,CD28_4-1BB_Zeta,8.49393614674006e-13,-0.216166473221884,0.641,0.659,1.85082868637466e-08,TRUE
CD40,CD28_4-1BB_Zeta,8.81967044301185e-09,0.476219717068194,0.319,0.274,0.000192180618953228,TRUE
CD40,CD28_4-1BB_Zeta,9.30560381241781e-07,-0.457719505676121,0.596,0.607,0.0202769107072584,TRUE
