ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
CD40,Zeta,7.58864577962027e-106,0.4335633933389,0.681,0.417,1.65356591537926e-101,TRUE
CD40,Zeta,4.72062413366546e-98,0.406376658220558,0.71,0.46,1.0286239987257e-93,TRUE
CD40,Zeta,7.7418195109391e-89,-0.375357152551888,0.977,0.988,1.68694247143363e-84,TRUE
CD40,Zeta,3.89535726279546e-82,0.305609853025009,0.965,0.882,8.48798347563131e-78,TRUE
CD40,Zeta,2.53731692731223e-66,-0.337639598234341,0.957,0.983,5.52881358461335e-62,TRUE
CD40,Zeta,4.61429711870439e-65,0.406541090567924,0.731,0.515,1.00545534216569e-60,TRUE
CD40,Zeta,3.91939997464796e-61,0.231183502813494,0.576,0.364,8.5403725447579e-57,TRUE
CD40,Zeta,6.51861698181536e-60,0.399055680608194,0.796,0.652,1.42040664033757e-55,TRUE
CD40,Zeta,2.00291561218929e-58,0.315937119332862,0.554,0.361,4.36435311896045e-54,TRUE
CD40,Zeta,5.52919648876688e-58,0.293042737068214,0.669,0.447,1.2048119149023e-53,TRUE
CD40,Zeta,9.39689685253651e-55,0.222738523349864,0.402,0.206,2.0475838241677e-50,TRUE
CD40,Zeta,2.17955487186946e-54,0.234024409496845,0.679,0.51,4.74925006580355e-50,TRUE
CD40,Zeta,1.30090092922807e-53,0.235028919594893,0.562,0.356,2.83466312478797e-49,TRUE
CD40,Zeta,2.34273768230814e-50,0.277327037398808,0.383,0.189,5.10482540974943e-46,TRUE
CD40,Zeta,8.27693426098003e-50,0.216168756005613,0.613,0.426,1.80354397546755e-45,TRUE
CD40,Zeta,1.08909279287265e-49,0.25553636370678,0.706,0.555,2.3731331956695e-45,TRUE
CD40,Zeta,2.98388550881302e-49,0.234388228438216,0.546,0.357,6.50188652370356e-45,TRUE
CD40,Zeta,3.4115175013879e-45,0.264503729397442,0.687,0.512,7.43369663552423e-41,TRUE
CD40,Zeta,5.91070681678491e-45,0.222838031925933,0.985,0.973,1.28794301537743e-40,TRUE
CD40,Zeta,2.4006777047643e-44,0.262565371532027,0.602,0.445,5.23107671868141e-40,TRUE
CD40,Zeta,1.53617916800203e-41,-0.269870478350855,0.894,0.926,3.34733440707643e-37,TRUE
CD40,Zeta,1.11654544170485e-40,0.240004629402236,0.926,0.891,2.43295251747486e-36,TRUE
CD40,Zeta,6.90303878981465e-39,0.264579911391337,0.636,0.456,1.50417215230061e-34,TRUE
CD40,Zeta,1.4482948651795e-37,0.230204050139774,0.842,0.748,3.15583451122612e-33,TRUE
CD40,Zeta,5.18447692527426e-36,0.204374330052127,0.935,0.885,1.12969752201726e-31,TRUE
CD40,Zeta,3.77503706228703e-33,-0.241479147345787,0.921,0.933,8.22580575872343e-29,TRUE
CD40,Zeta,5.8673532355335e-33,-0.231451637425179,0.915,0.934,1.27849627002275e-28,TRUE
CD40,Zeta,1.05234519712145e-30,-0.380675490418859,0.513,0.603,2.29306018452763e-26,TRUE
CD40,Zeta,7.88154897608126e-30,0.239505584485892,0.789,0.696,1.71738952188811e-25,TRUE
CD40,Zeta,3.45401776384825e-29,0.251055890811648,0.803,0.755,7.52630470742533e-25,TRUE
CD40,Zeta,4.41312611921752e-27,0.343394692457786,0.84,0.713,9.61620181377497e-23,TRUE
CD40,Zeta,4.62854016648293e-26,0.209828935058185,0.465,0.331,1.00855890227663e-21,TRUE
CD40,Zeta,5.83422276396342e-26,0.288123534048944,0.338,0.212,1.27127714026763e-21,TRUE
CD40,Zeta,2.19551890390893e-25,-0.229584866608169,0.455,0.563,4.78403569161757e-21,TRUE
CD40,Zeta,3.63649908747311e-25,0.412564399588504,0.596,0.476,7.9239315116039e-21,TRUE
CD40,Zeta,1.0559195564752e-24,-0.200372826800666,0.719,0.769,2.30084871355946e-20,TRUE
CD40,Zeta,4.88333430179864e-24,0.203367685848036,0.843,0.789,1.06407854436192e-19,TRUE
CD40,Zeta,5.94550944041623e-20,0.3821964798168,0.784,0.758,1.2955265070667e-15,TRUE
CD40,Zeta,6.21868842657984e-20,-0.214114392527554,0.481,0.563,1.35505220815175e-15,TRUE
CD40,Zeta,1.14190505476183e-19,-0.200602943141884,0.705,0.784,2.48821111432602e-15,TRUE
CD40,Zeta,1.61937879923004e-18,0.239125608941867,0.739,0.667,3.52862640352226e-14,TRUE
CD40,Zeta,5.43002772172832e-14,-0.205567456014376,0.595,0.631,1.1832030405646e-09,TRUE
CD40,Zeta,9.09455347738505e-08,-0.22580238340305,0.361,0.413,0.0019817032027222,TRUE
CD40,Zeta,0.0251794727447193,0.286674709188537,0.319,0.29,1,TRUE
