ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
CD40,Zeta,gse_mf,GO:0042605,peptide antigen binding,4,0.75,1.68414187008007,0.0225694444444444,0.0225694444444444,0.589936379410064,14,"tags=100%, list=32%, signal=75%",HLA-DRA/HLA-DRB1/HLA-DQB1/HLA-DPA1
CD40,Zeta,gse_mf,GO:0005126,cytokine receptor binding,3,0.804878048780488,1.6318390453688,0.0296684118673648,0.0296684118673648,0.589936379410064,11,"tags=100%, list=25%, signal=80%",TNFSF10/STAT1/CSF2
CD40,Zeta,gse_mf,GO:0033218,amide binding,8,0.591207630338297,1.71225189351283,0.032967032967033,0.032967032967033,0.589936379410064,14,"tags=75%, list=32%, signal=63%",NFKBIA/HLA-DRA/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1
CD40,Zeta,gse_mf,GO:0042277,peptide binding,8,0.591207630338297,1.71225189351283,0.032967032967033,0.032967032967033,0.589936379410064,14,"tags=75%, list=32%, signal=63%",NFKBIA/HLA-DRA/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1
CD40,Zeta,gse_bp,GO:0002376,immune system process,24,0.652977610442263,2.35271336673172,0.00145772594752187,0.00145772594752187,0.0985797827903091,21,"tags=75%, list=48%, signal=86%",NFKBIA/HLA-DRA/BIRC3/TNFSF10/GZMB/STAT1/CD74/HLA-DRB1/CSF2/GNLY/HLA-DQB1/HLA-DPA1/CCR7/BATF3/FABP5/HSPD1/IL2RA/DDIT4
CD40,Zeta,gse_bp,GO:0048518,positive regulation of biological process,25,0.610209203845844,2.22415247781875,0.00148148148148148,0.00148148148148148,0.0985797827903091,21,"tags=72%, list=48%, signal=87%",NFKBIA/HILPDA/HLA-DRA/BIRC3/TNFSF10/GZMB/STAT1/CD74/HLA-DRB1/CSF2/HLA-DQB1/HLA-DPA1/CCR7/SH2D2A/FABP5/HSPD1/IL2RA/DDIT4
CD40,Zeta,gse_bp,GO:0030099,myeloid cell differentiation,6,0.736842105263158,1.93743914758234,0.0016366612111293,0.0016366612111293,0.0985797827903091,16,"tags=100%, list=36%, signal=74%",NFKBIA/STAT1/CD74/CSF2/CCR7/BATF3
CD40,Zeta,gse_bp,GO:0006955,immune response,22,0.605838255524462,2.22154914467225,0.00283687943262411,0.00283687943262411,0.0985797827903091,20,"tags=73%, list=45%, signal=79%",NFKBIA/HLA-DRA/BIRC3/TNFSF10/GZMB/STAT1/CD74/HLA-DRB1/CSF2/GNLY/HLA-DQB1/HLA-DPA1/CCR7/FABP5/HSPD1/IL2RA
CD40,Zeta,gse_bp,GO:0006952,defense response,18,0.560664405619768,2.00845115705508,0.0030441400304414,0.0030441400304414,0.0985797827903091,21,"tags=78%, list=48%, signal=69%",NFKBIA/HLA-DRA/BIRC3/GZMB/STAT1/CD74/HLA-DRB1/GNLY/HLA-DQB1/HLA-DPA1/CCR7/HSPD1/IL2RA/DDIT4
CD40,Zeta,gse_bp,GO:0002684,positive regulation of immune system process,14,0.541544637508442,1.84619043459402,0.00306278713629403,0.00306278713629403,0.0985797827903091,20,"tags=79%, list=45%, signal=63%",NFKBIA/HLA-DRA/BIRC3/STAT1/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1/CCR7/HSPD1/IL2RA
CD40,Zeta,gse_bp,GO:0019882,antigen processing and presentation,6,0.763157894736842,2.03057591022411,0.00326797385620915,0.00326797385620915,0.0985797827903091,15,"tags=100%, list=34%, signal=76%",HLA-DRA/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1/CCR7
CD40,Zeta,gse_bp,GO:0002478,antigen processing and presentation of exogenous peptide antigen,5,0.769230769230769,1.93089714694732,0.00328407224958949,0.00328407224958949,0.0985797827903091,14,"tags=100%, list=32%, signal=77%",HLA-DRA/CD74/HLA-DRB1/HLA-DQB1/HLA-DPA1
