ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
TACI,4-1BB,3.77601030305862e-30,-0.247405052367395,0.762,0.844,8.22792645036472e-26,TRUE
TACI,4-1BB,1.61370065608729e-26,-0.401180399894199,0.155,0.309,3.5162537296142e-22,TRUE
TACI,4-1BB,8.38021436256692e-25,-0.717797096010603,0.144,0.283,1.82604870960333e-20,TRUE
TACI,4-1BB,4.70339274241872e-21,-0.213397407648922,0.714,0.797,1.02486927857304e-16,TRUE
TACI,4-1BB,6.74855045507665e-21,-0.280805263858285,0.564,0.649,1.4705091441612e-16,TRUE
TACI,4-1BB,1.46268971717823e-19,0.34001201932009,0.336,0.211,3.18720089373136e-15,TRUE
TACI,4-1BB,1.35249545122995e-17,-0.220407526405208,0.613,0.694,2.94708758823006e-13,TRUE
TACI,4-1BB,9.15245855506085e-13,0.226558870962982,0.819,0.768,1.99432071914776e-08,TRUE
TACI,4-1BB,6.40026393125359e-12,-0.251484899516377,0.527,0.591,1.39461751062016e-07,TRUE
TACI,4-1BB,1.10471830873042e-06,-0.23811874837289,0.196,0.266,0.0240718119472358,TRUE
TACI,4-1BB,2.84331637529568e-05,-0.203183006181198,0.245,0.299,0.619558638176928,TRUE
TACI,4-1BB,0.000101727966562164,-0.396889452242077,0.215,0.264,1,TRUE
TACI,4-1BB,0.0714948314270936,-0.342606943055113,0.657,0.632,1,TRUE
