ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
TACI,4-1BB,gse_mf,GO:0005125,cytokine activity,3,-0.846325006789545,-1.52837893814216,0.0315091210613599,0.0315091210613599,0.0729684908789387,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_mf,GO:0005126,cytokine receptor binding,3,-0.846325006789545,-1.52837893814216,0.0315091210613599,0.0315091210613599,0.0729684908789387,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_mf,GO:0030545,receptor regulator activity,3,-0.846325006789545,-1.52837893814216,0.0315091210613599,0.0315091210613599,0.0729684908789387,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_mf,GO:0048018,receptor ligand activity,3,-0.846325006789545,-1.52837893814216,0.0315091210613599,0.0315091210613599,0.0729684908789387,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_mf,GO:0098772,molecular function regulator,3,-0.846325006789545,-1.52837893814216,0.0315091210613599,0.0315091210613599,0.0729684908789387,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0001932,regulation of protein phosphorylation,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0001934,positive regulation of protein phosphorylation,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0006464,cellular protein modification process,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0006468,protein phosphorylation,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0006793,phosphorus metabolic process,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0006796,phosphate-containing compound metabolic process,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0007259,JAK-STAT cascade,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0009967,positive regulation of signal transduction,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0010562,positive regulation of phosphorus metabolic process,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0010647,positive regulation of cell communication,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0016310,phosphorylation,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0018108,peptidyl-tyrosine phosphorylation,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0018193,peptidyl-amino acid modification,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0018212,peptidyl-tyrosine modification,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0019220,regulation of phosphate metabolic process,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0023056,positive regulation of signaling,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0031399,regulation of protein modification process,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0031401,positive regulation of protein modification process,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0032268,regulation of cellular protein metabolic process,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
TACI,4-1BB,gse_bp,GO:0032270,positive regulation of cellular protein metabolic process,3,-0.846325006789545,-1.50733108970314,0.0355411954765751,0.0355411954765751,0.174482588425188,3,"tags=67%, list=23%, signal=67%",IL13/IL5
