ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
TACI,CD28,4.54893203839116e-105,-0.700184825154923,0.564,0.812,9.91212291165433e-101,TRUE
TACI,CD28,6.09713968519087e-90,-0.627055611044926,0.822,0.906,1.32856673740309e-85,TRUE
TACI,CD28,5.78659544699315e-86,-0.86314783771665,0.291,0.624,1.26089914789981e-81,TRUE
TACI,CD28,9.8390660498243e-72,-0.316390586801431,0.315,0.647,2.14393249225672e-67,TRUE
TACI,CD28,3.56396914274154e-66,0.301897728170913,0.983,0.982,7.76588876203381e-62,TRUE
TACI,CD28,3.37615620195994e-65,-0.356550972742422,0.155,0.431,7.3566443640707e-61,TRUE
TACI,CD28,8.63239936747754e-64,-0.424543272287263,0.064,0.301,1.88099982217336e-59,TRUE
TACI,CD28,2.87295523551336e-60,0.252137776801967,1,1,6.26016945818361e-56,TRUE
TACI,CD28,1.007134186586e-56,-0.319395603297123,0.282,0.543,2.19454539257088e-52,TRUE
TACI,CD28,1.7479313486491e-56,0.286274223074763,0.974,0.98,3.80874240870639e-52,TRUE
TACI,CD28,3.56160898402939e-56,-0.334726296841855,0.26,0.532,7.76074597620004e-52,TRUE
TACI,CD28,2.05394596856991e-55,-0.406205789890662,0.646,0.797,4.47554826551383e-51,TRUE
TACI,CD28,3.84906695284609e-55,0.413552984882751,0.749,0.535,8.38711689025164e-51,TRUE
TACI,CD28,3.87207438780802e-55,-0.213671301967421,0.12,0.367,8.43725009103367e-51,TRUE
TACI,CD28,7.27512710203079e-55,0.272384615703297,0.965,0.97,1.58525019553251e-50,TRUE
TACI,CD28,7.43155953068787e-55,-0.338254114418973,0.603,0.822,1.61933682173689e-50,TRUE
TACI,CD28,1.41672652296648e-52,-1.04434955765746,0.657,0.802,3.08704709354396e-48,TRUE
TACI,CD28,4.51851944478186e-52,-0.225420494725953,0.241,0.502,9.84585387017968e-48,TRUE
TACI,CD28,1.52428628588974e-48,-0.272258874851254,0.283,0.525,3.32141981695375e-44,TRUE
TACI,CD28,3.42580207710551e-48,-0.747884806532892,0.155,0.395,7.46482272601291e-44,TRUE
TACI,CD28,5.54872547939995e-48,0.266066043435492,0.935,0.899,1.20906728196125e-43,TRUE
TACI,CD28,2.83367956058033e-47,0.400937732810953,0.964,0.966,6.17458776250455e-43,TRUE
TACI,CD28,5.65109068784214e-47,-0.535144551599266,0.741,0.872,1.2313726608808e-42,TRUE
TACI,CD28,6.98411527707169e-47,0.209901959180942,0.978,0.989,1.52183871887392e-42,TRUE
TACI,CD28,9.95947559183916e-46,-0.397140916517523,0.631,0.779,2.17016973146175e-41,TRUE
TACI,CD28,2.64120005399319e-45,0.29386871391766,0.701,0.5,5.75517491765116e-41,TRUE
TACI,CD28,1.66243591415847e-44,-0.301472230055256,0.459,0.663,3.62244785695131e-40,TRUE
TACI,CD28,8.39054148341156e-41,-0.230555916309126,0.354,0.592,1.82829898923538e-36,TRUE
TACI,CD28,3.5652835398961e-40,0.315649253928262,0.913,0.845,7.76875283343359e-36,TRUE
TACI,CD28,6.90101656446386e-40,0.253383705362563,0.823,0.659,1.50373150939667e-35,TRUE
TACI,CD28,9.33700487920435e-40,-0.221806545523343,0.941,0.972,2.03453336317863e-35,TRUE
TACI,CD28,9.28572813844635e-39,-0.264918626339989,0.888,0.948,2.02336016136746e-34,TRUE
TACI,CD28,9.34983393955476e-39,-0.25884870203423,0.683,0.821,2.03732881542898e-34,TRUE
TACI,CD28,3.20947506436634e-38,-0.326162585143969,0.841,0.919,6.99344616525425e-34,TRUE
TACI,CD28,1.01146326893704e-37,0.299363274936788,0.973,0.951,2.20397846301382e-33,TRUE
TACI,CD28,1.14775122155653e-36,-0.38606805536705,0.285,0.482,2.50094991177169e-32,TRUE
TACI,CD28,2.33395163589766e-36,0.243712230050952,0.927,0.869,5.08568061462101e-32,TRUE
TACI,CD28,3.3571043654421e-36,-0.21306677141243,0.415,0.622,7.31513041229834e-32,TRUE
TACI,CD28,4.80263693539426e-36,-0.200046154248338,0.358,0.569,1.04649458822241e-31,TRUE
TACI,CD28,1.45252926846178e-35,-0.286113398643629,0.714,0.837,3.16506127597821e-31,TRUE
TACI,CD28,4.15323203902073e-34,-0.382184045323846,0.613,0.75,9.04989261302616e-30,TRUE
TACI,CD28,6.81678015163887e-34,-0.250430370849403,0.668,0.801,1.48537639504211e-29,TRUE
TACI,CD28,9.5728262124489e-34,0.288813524051321,0.697,0.517,2.08591883169262e-29,TRUE
TACI,CD28,2.0032981380174e-33,0.268053821492846,0.494,0.28,4.36518664273992e-29,TRUE
TACI,CD28,7.28802488596468e-33,-0.217354255460847,0.408,0.628,1.5880606226517e-28,TRUE
TACI,CD28,1.31561238074033e-32,-0.880725289021312,0.805,0.866,2.86671937763318e-28,TRUE
TACI,CD28,2.20970672464902e-32,0.256468439672875,0.911,0.828,4.81495095301021e-28,TRUE
TACI,CD28,3.55061537182434e-32,0.348339377911378,0.641,0.431,7.73679089520524e-28,TRUE
TACI,CD28,4.07834762992142e-32,0.246850393593581,0.85,0.793,8.88671948559876e-28,TRUE
TACI,CD28,5.24872110879443e-32,-0.229283391356836,0.932,0.97,1.14369632960631e-27,TRUE
TACI,CD28,1.38131755467456e-31,-0.230761066435875,0.855,0.929,3.00989095163588e-27,TRUE
TACI,CD28,4.10210871821263e-31,-0.413548589780737,0.67,0.795,8.93849489698531e-27,TRUE
TACI,CD28,1.67717858115393e-30,-0.249560152127816,0.58,0.743,3.65457212833441e-26,TRUE
TACI,CD28,4.32842525515847e-30,-0.332644736009624,0.527,0.676,9.4316386309903e-26,TRUE
TACI,CD28,2.14272468884149e-29,-0.252757648005122,0.82,0.888,4.66899709698561e-25,TRUE
TACI,CD28,7.05082662001773e-29,0.322440645961895,0.88,0.855,1.53637512050186e-24,TRUE
TACI,CD28,7.59131221524435e-28,0.234934251623113,0.912,0.894,1.65414693170174e-23,TRUE
TACI,CD28,1.10428624856324e-27,-0.252484413829575,0.636,0.757,2.40623973561931e-23,TRUE
TACI,CD28,5.40760668171874e-27,0.242301550853346,0.709,0.572,1.17831749594651e-22,TRUE
TACI,CD28,6.34806595302346e-27,-0.210873820274976,0.596,0.767,1.38324357116381e-22,TRUE
TACI,CD28,2.20890679187767e-26,0.355699503985423,0.921,0.907,4.81320789950144e-22,TRUE
TACI,CD28,7.59503271869143e-26,-0.282422950864357,0.883,0.925,1.65495762940286e-21,TRUE
TACI,CD28,2.82993324877032e-25,-0.260038668522897,0.762,0.867,6.16642454907053e-21,TRUE
TACI,CD28,3.41366511698106e-25,0.213882773289606,0.861,0.827,7.43837628990173e-21,TRUE
TACI,CD28,1.82396034755376e-24,-0.204478146495225,0.668,0.841,3.97440959731964e-20,TRUE
TACI,CD28,8.35184964909907e-24,-0.429859727201716,0.196,0.371,1.81986803853869e-19,TRUE
TACI,CD28,6.05445058722588e-23,0.211657567584329,0.92,0.904,1.31926478295652e-18,TRUE
TACI,CD28,4.58192613276776e-22,0.308257754007716,0.618,0.456,9.98401704330094e-18,TRUE
TACI,CD28,7.09694151328693e-22,0.211840923652397,0.775,0.667,1.54642355574522e-17,TRUE
TACI,CD28,8.8780805769121e-22,0.259271451466699,0.922,0.953,1.93453375770915e-17,TRUE
TACI,CD28,1.03784215330738e-21,-0.905284958941961,0.144,0.285,2.26145805205678e-17,TRUE
TACI,CD28,1.04740831572113e-21,-0.207181104631824,0.415,0.573,2.28230271995634e-17,TRUE
TACI,CD28,6.09590180927208e-21,-0.209008665921685,0.843,0.93,1.32829700424039e-16,TRUE
TACI,CD28,1.04872934718152e-20,0.210245758038558,0.85,0.816,2.28518124750854e-16,TRUE
TACI,CD28,1.78958989138486e-20,-0.20476485803286,0.476,0.619,3.8995163733276e-16,TRUE
TACI,CD28,2.99024624615567e-20,0.211101216489099,0.938,0.923,6.51574657037321e-16,TRUE
TACI,CD28,1.1936364801434e-19,-0.229181471708671,0.787,0.878,2.60093389023247e-15,TRUE
TACI,CD28,1.73273382989244e-19,-0.261098538497109,0.716,0.793,3.77562701533563e-15,TRUE
TACI,CD28,4.13250001084176e-19,-0.331377652170446,0.35,0.496,9.00471752362419e-15,TRUE
TACI,CD28,7.97346898496015e-19,0.217578110498147,0.854,0.786,1.73741889182282e-14,TRUE
TACI,CD28,8.32340721592956e-19,-0.20114354543605,0.786,0.869,1.81367043235105e-14,TRUE
TACI,CD28,6.54404261535544e-18,0.211442022359858,0.859,0.845,1.42594688588595e-13,TRUE
TACI,CD28,6.45522708332721e-17,-0.362574958232289,0.245,0.382,1.406593981457e-12,TRUE
TACI,CD28,2.11004813356821e-15,0.230427085347565,0.643,0.554,4.59779488304512e-11,TRUE
TACI,CD28,2.20023138296959e-15,0.390478313040841,0.832,0.791,4.79430418349073e-11,TRUE
TACI,CD28,6.12733616720001e-15,-0.242323673096675,0.84,0.928,1.33514655083288e-10,TRUE
TACI,CD28,2.88179294950961e-14,0.27056942286872,0.573,0.479,6.27942683698144e-10,TRUE
TACI,CD28,3.12421786823424e-12,0.276326719426062,0.751,0.691,6.8076707348824e-08,TRUE
TACI,CD28,7.60594060785661e-12,0.309157246366047,0.336,0.232,1.65733445845196e-07,TRUE
TACI,CD28,1.82858221122569e-11,-0.202622631910432,0.532,0.643,3.98448063826079e-07,TRUE
TACI,CD28,2.89750163478327e-11,0.328231284918737,0.325,0.219,6.31365606219275e-07,TRUE
TACI,CD28,3.05551135176596e-11,0.413591152875003,0.944,0.942,6.65795923549802e-07,TRUE
TACI,CD28,8.52650966574399e-11,0.32332387510151,0.605,0.536,1.85792645616562e-06,TRUE
TACI,CD28,9.50777298388549e-11,0.22878100442178,0.523,0.408,2.07174373318865e-06,TRUE
TACI,CD28,1.06053936025106e-09,-0.200629030171702,0.502,0.585,2.31091526598706e-05,TRUE
TACI,CD28,2.39495472661675e-09,0.279388790615441,0.611,0.54,5.21860634929791e-05,TRUE
TACI,CD28,3.16774583924161e-09,0.224297380046553,0.999,1,6.90251818370747e-05,TRUE
TACI,CD28,6.41148967611348e-09,0.205917827922391,0.436,0.345,0.000139706360042513,TRUE
TACI,CD28,0.342878060343874,-0.223203614440031,0.525,0.528,1,TRUE
