ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
TACI,CD28,gse_mf,GO:0005125,cytokine activity,7,-0.7176893904267,-1.88444699392716,0.0062015503875969,0.0062015503875969,0.339407210448111,17,"tags=71%, list=17%, signal=64%",CSF2/NAMPT/IL13/LTA/IL5
TACI,CD28,gse_mf,GO:0030545,receptor regulator activity,8,-0.65929557184357,-1.83327842548031,0.0104011887072808,0.0104011887072808,0.339407210448111,17,"tags=62%, list=17%, signal=56%",CSF2/NAMPT/IL13/LTA/IL5
TACI,CD28,gse_mf,GO:0048018,receptor ligand activity,8,-0.65929557184357,-1.83327842548031,0.0104011887072808,0.0104011887072808,0.339407210448111,17,"tags=62%, list=17%, signal=56%",CSF2/NAMPT/IL13/LTA/IL5
TACI,CD28,gse_mf,GO:0044877,protein-containing complex binding,8,0.554433993803993,1.76506870429805,0.018716577540107,0.018716577540107,0.458063608218407,17,"tags=62%, list=17%, signal=56%",VIM/FYB1/HLA-DRA/SYNE2/GMFG
TACI,CD28,gse_mf,GO:0003779,actin binding,6,0.591790242708063,1.68350548154419,0.0273224043715847,0.0273224043715847,0.459599703484062,29,"tags=83%, list=29%, signal=63%",S100A4/SYNE2/GMFG/TMSB4X/EVL
TACI,CD28,gse_mf,GO:0003823,antigen binding,8,0.571428571428571,1.76917515446576,0.028169014084507,0.028169014084507,0.459599703484062,47,"tags=100%, list=47%, signal=57%",IL7R/TRBC1/TRBC2/HLA-DRA/ITGA4/HLA-DRB1/HLA-DPB1/LAG3
TACI,CD28,gse_mf,GO:0005126,cytokine receptor binding,8,-0.589217869240304,-1.62680092848167,0.0331825037707391,0.0331825037707391,0.464056067771238,6,"tags=50%, list=6%, signal=51%",CSF2/IL13/LTA/IL5
TACI,CD28,gse_mf,GO:0008092,cytoskeletal protein binding,9,0.480266905630043,1.5852129506435,0.0444444444444444,0.0444444444444444,0.543859649122807,35,"tags=78%, list=35%, signal=55%",S100A4/PTPRC/SYNE2/GMFG/TMSB4X/EVL/ARL4C
TACI,CD28,gse_bp,GO:0002699,positive regulation of immune effector process,8,-0.699888367507259,-1.89712106909942,0.00292825768667643,0.00292825768667643,0.40923590939195,10,"tags=50%, list=10%, signal=49%",TNFRSF4/IL13/LTA/IL5
TACI,CD28,gse_bp,GO:1904951,positive regulation of establishment of protein localization,6,-0.803245918519406,-2.00429026396123,0.00309597523219814,0.00309597523219814,0.40923590939195,10,"tags=67%, list=10%, signal=64%",TNFRSF4/IL13/GZMB/IL5
TACI,CD28,gse_bp,GO:0002429,immune response-activating cell surface receptor signaling pathway,9,0.628335245320653,2.10061618154377,0.00317460317460317,0.00317460317460317,0.40923590939195,15,"tags=67%, list=15%, signal=62%",TRBC1/TRBC2/FYB1/HLA-DRA/PTPRC/CD38
TACI,CD28,gse_bp,GO:0002768,immune response-regulating cell surface receptor signaling pathway,9,0.628335245320653,2.10061618154377,0.00317460317460317,0.00317460317460317,0.40923590939195,15,"tags=67%, list=15%, signal=62%",TRBC1/TRBC2/FYB1/HLA-DRA/PTPRC/CD38
TACI,CD28,gse_bp,GO:0050851,antigen receptor-mediated signaling pathway,9,0.628335245320653,2.10061618154377,0.00317460317460317,0.00317460317460317,0.40923590939195,15,"tags=67%, list=15%, signal=62%",TRBC1/TRBC2/FYB1/HLA-DRA/PTPRC/CD38
