ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
TACI,Zeta,1.67337930945066e-106,-0.525035597286546,0.973,0.988,3.64629351529298e-102,TRUE
TACI,Zeta,6.78365545794011e-55,-0.257659870637995,0.999,0.998,1.47815852428515e-50,TRUE
TACI,Zeta,3.39178902082035e-54,0.299567993867981,0.987,0.973,7.39070827636754e-50,TRUE
TACI,Zeta,1.15002334954791e-46,0.303002004574583,0.937,0.891,2.50590087866491e-42,TRUE
TACI,Zeta,1.51968132595438e-46,0.209560505262287,0.999,0.989,3.3113856092546e-42,TRUE
TACI,Zeta,8.05342329620642e-42,-0.421513927816645,0.641,0.784,1.75484093624338e-37,TRUE
TACI,Zeta,8.81054968304204e-41,-0.330667213970461,0.964,0.983,1.91981877593486e-36,TRUE
TACI,Zeta,8.82341326098893e-41,0.215275441011401,0.398,0.193,1.92262174956949e-36,TRUE
TACI,Zeta,2.56509572089399e-40,0.285693652034588,0.869,0.748,5.589343575828e-36,TRUE
TACI,Zeta,5.99173489419105e-40,-0.223302243360226,0.957,0.972,1.30559903344423e-35,TRUE
TACI,Zeta,8.19646491492831e-40,0.304892533591106,0.822,0.696,1.78600970496288e-35,TRUE
TACI,Zeta,2.10698623424339e-39,-0.306914132106336,0.911,0.934,4.59112300441634e-35,TRUE
TACI,Zeta,1.99871144281819e-38,-0.200095122355553,0.974,0.972,4.35519223390084e-34,TRUE
TACI,Zeta,9.29172823083454e-37,0.294858673047484,0.839,0.755,2.02466758149885e-32,TRUE
TACI,Zeta,2.4440631198598e-34,0.222879806305407,0.82,0.697,5.3256135381745e-30,TRUE
TACI,Zeta,4.59165104920458e-34,0.535390765321626,0.657,0.476,1.00052076362168e-29,TRUE
TACI,Zeta,1.28163588741059e-33,0.278926271264733,0.883,0.789,2.79268459866768e-29,TRUE
TACI,Zeta,7.45664490937184e-32,0.272441877868698,0.987,0.978,1.62480292575212e-27,TRUE
TACI,Zeta,8.31372692901954e-32,-0.220879087230063,0.983,0.985,1.81156109783336e-27,TRUE
TACI,Zeta,1.75207193551263e-30,-0.275101568940411,0.704,0.769,3.81776474748201e-26,TRUE
TACI,Zeta,2.3010262575641e-29,0.203911789846179,0.938,0.885,5.01393621523219e-25,TRUE
TACI,Zeta,2.22375597388412e-27,-0.277389142387638,0.912,0.926,4.8455642670935e-23,TRUE
TACI,Zeta,1.11055081669465e-26,0.200162003719482,0.843,0.712,2.41989022957765e-22,TRUE
TACI,Zeta,5.53850219731804e-25,0.219412159794806,0.943,0.903,1.2068396287956e-20,TRUE
TACI,Zeta,7.82742354142499e-25,0.287244001346245,0.336,0.189,1.70559558967651e-20,TRUE
TACI,Zeta,1.52831826916637e-24,0.237973953355345,0.603,0.417,3.33020550851352e-20,TRUE
TACI,Zeta,4.77338832808489e-24,0.212357917272279,0.841,0.74,1.0401213166897e-19,TRUE
TACI,Zeta,1.88548777860334e-22,-0.215619232483837,0.88,0.882,4.10847786957668e-18,TRUE
TACI,Zeta,2.53257826878108e-19,-0.23454929156579,0.93,0.933,5.51848804767398e-15,TRUE
TACI,Zeta,4.76643845731346e-19,0.228858071497377,0.866,0.782,1.0386069398486e-14,TRUE
TACI,Zeta,1.67155108825925e-18,-0.217626916997336,0.775,0.784,3.64230982131691e-14,TRUE
TACI,Zeta,4.40168312875033e-18,-0.223536368058115,0.88,0.888,9.59126753754696e-14,TRUE
TACI,Zeta,3.70418208467443e-15,-0.232967294353817,0.628,0.656,8.07141276250558e-11,TRUE
TACI,Zeta,1.34917496224316e-14,-0.226782773019806,0.494,0.563,2.93985224272784e-10,TRUE
TACI,Zeta,1.55337941878148e-14,-0.281493566253547,0.556,0.615,3.38481375352485e-10,TRUE
TACI,Zeta,5.67467054970147e-14,-0.216134415648072,0.664,0.714,1.23651071277995e-09,TRUE
TACI,Zeta,6.7547300948209e-14,-0.25910229668497,0.511,0.563,1.47185568766148e-09,TRUE
TACI,Zeta,2.05538890017982e-12,0.218268479406794,0.805,0.758,4.47869241349182e-08,TRUE
TACI,Zeta,2.52749997739777e-12,0.236217674003548,0.741,0.667,5.50742245074974e-08,TRUE
TACI,Zeta,2.9026174243782e-12,-0.319987688276856,0.325,0.413,6.3248033677201e-08,TRUE
TACI,Zeta,1.41612153364062e-11,-0.355951021338427,0.573,0.603,3.0857288218029e-07,TRUE
TACI,Zeta,3.39148960223569e-11,0.26038906111626,0.832,0.713,7.39005584327157e-07,TRUE
TACI,Zeta,2.09888773282181e-10,-0.237650074238886,0.643,0.676,4.57347636981873e-06,TRUE
TACI,Zeta,2.22428538583901e-10,-0.218035248930204,0.56,0.59,4.8467178557432e-06,TRUE
TACI,Zeta,9.32792254823629e-10,-0.229288167866438,0.859,0.835,2.03255432326069e-05,TRUE
TACI,Zeta,2.82493825063767e-08,-0.228005081773266,0.525,0.549,0.000615554044813949,TRUE
TACI,Zeta,3.89719436530314e-05,0.230643899379552,0.659,0.576,0.849198652199553,TRUE
TACI,Zeta,4.79559936335957e-05,0.270678529577127,0.85,0.799,1,TRUE
TACI,Zeta,0.0265100574883528,-0.20096635041238,0.452,0.436,1,TRUE
TACI,Zeta,0.598721201600026,-0.29574396508239,0.828,0.761,1,TRUE
TACI,Zeta,0.598814960462833,-0.321529322854843,0.294,0.29,1,TRUE
