ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
TACI,Zeta,gse_mf,GO:0044389,ubiquitin-like protein ligase binding,5,0.847826086956522,2.20764582852549,0.00212314225053079,0.00212314225053079,0.0999770167777522,12,"tags=100%, list=24%, signal=85%",HSPD1/HSP90AB1/HSP90AA1/STAT1/NFKBIA
TACI,Zeta,gse_mf,GO:0005488,binding,45,0.766720918404109,2.26217622428536,0.00221238938053097,0.00221238938053097,0.0999770167777522,36,"tags=80%, list=71%, signal=200%",HILPDA/IL2RA/HSPD1/HSP90AB1/FABP5/IGFBP2/CYCS/RPL22L1/HSP90AA1/MT2A/STAT1/NFKBIA/DDIT4/MT1X/FAM162A/HMGA1/HSPE1/GZMB/CD70/CYTIP/NPM1/PRDX1/CCND2/GMFG/ITGB1/CD99/MAL/STK17A/CRIP1/PTPRC/CD3G/TRBC2/SLFN5/ID2/IER2/JAML
TACI,Zeta,gse_mf,GO:0031625,ubiquitin protein ligase binding,4,0.829787234042553,1.9164362724821,0.00433839479392625,0.00433839479392625,0.0999770167777522,12,"tags=100%, list=24%, signal=83%",HSPD1/HSP90AB1/HSP90AA1/NFKBIA
TACI,Zeta,gse_mf,GO:0003674,molecular_function,46,0.750038295727092,2.07621437382422,0.00436681222707424,0.00436681222707424,0.0999770167777522,36,"tags=78%, list=71%, signal=235%",HILPDA/IL2RA/HSPD1/HSP90AB1/FABP5/IGFBP2/CYCS/RPL22L1/HSP90AA1/MT2A/STAT1/NFKBIA/DDIT4/MT1X/FAM162A/HMGA1/HSPE1/GZMB/CD70/CYTIP/NPM1/PRDX1/CCND2/GMFG/ITGB1/CD99/MAL/STK17A/CRIP1/PTPRC/CD3G/TRBC2/SLFN5/ID2/IER2/JAML
TACI,Zeta,gse_mf,GO:0005515,protein binding,39,0.566337804326157,2.10658015032341,0.00643776824034335,0.00643776824034335,0.117912807770499,27,"tags=67%, list=53%, signal=133%",HILPDA/IL2RA/HSPD1/HSP90AB1/FABP5/IGFBP2/CYCS/HSP90AA1/MT2A/STAT1/NFKBIA/DDIT4/MT1X/FAM162A/HMGA1/HSPE1/GZMB/CD70/CYTIP/NPM1/PRDX1/CCND2/GMFG/ITGB1/CD99/MAL
TACI,Zeta,gse_mf,GO:0016887,ATPase activity,3,0.875,1.81995194342163,0.0099009900990099,0.0099009900990099,0.151120375195414,9,"tags=100%, list=18%, signal=88%",HSPD1/HSP90AB1/HSP90AA1
TACI,Zeta,gse_mf,GO:0051082,unfolded protein binding,5,0.652173913043478,1.59436226080746,0.0421940928270042,0.0421940928270042,0.522772094169851,21,"tags=100%, list=41%, signal=65%",HSPD1/HSP90AB1/HSP90AA1/HSPE1/NPM1
TACI,Zeta,gse_bp,GO:0050789,regulation of biological process,42,0.610015522866389,2.07466690125439,0.00213675213675214,0.00213675213675214,0.305693050572938,32,"tags=74%, list=63%, signal=156%",HILPDA/IL2RA/HSPD1/HSP90AB1/FABP5/IGFBP2/CYCS/HSP90AA1/MT2A/STAT1/NFKBIA/DDIT4/MT1X/FAM162A/HMGA1/HSPE1/GZMB/CD70/CYTIP/NPM1/PRDX1/CCND2/GMFG/ITGB1/CD99/MAL/STK17A/CRIP1/PTPRC/CD3G/TRBC2
TACI,Zeta,gse_bp,GO:0006996,organelle organization,11,0.65,2.31634099853387,0.0041407867494824,0.0041407867494824,0.305693050572938,25,"tags=100%, list=49%, signal=65%",HILPDA/HSPD1/HSP90AB1/CYCS/HSP90AA1/FAM162A/HMGA1/GZMB/NPM1/GMFG/ITGB1
TACI,Zeta,gse_bp,GO:0006950,response to stress,27,0.466577496912554,1.99570515091661,0.00420168067226891,0.00420168067226891,0.305693050572938,18,"tags=56%, list=35%, signal=76%",HILPDA/IL2RA/HSPD1/HSP90AB1/CYCS/HSP90AA1/MT2A/STAT1/NFKBIA/DDIT4/MT1X/FAM162A/HMGA1/HSPE1/GZMB
