p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.35467723622211,0.553,0.092,0,1,IL5
0,0.895720818356305,1,0.697,0,1,FABP5
0,0.894808783367028,1,0.878,0,1,HSPD1
0,0.8049131842916,1,0.891,0,1,HSPE1
0,0.803509639430086,1,0.966,0,1,HSP90AB1
0,0.769793456943147,0.999,0.734,0,1,RPL22L1
0,0.754630308372637,0.999,0.662,0,1,IL2RA
0,0.750550449736289,1,0.744,0,1,CYCS
0,0.749724504930817,1,0.972,0,1,HSP90AA1
0,0.718752040925383,0.999,0.832,0,1,C1QBP
0,0.682819653151562,0.997,0.693,0,1,DDX21
0,0.663985734543259,0.965,0.423,0,1,BATF3
0,0.661183514642166,0.999,0.754,0,1,SLIRP
0,0.658271420267548,1,0.938,0,1,NCL
0,0.657638398412821,1,0.735,0,1,NME1
0,0.653493156348225,0.997,0.648,0,1,SRM
0,0.652688439668732,0.999,0.745,0,1,CCT6A
0,0.626066744918847,0.991,0.511,0,1,MRTO4
0,0.621598569549921,1,0.792,0,1,HNRNPAB
0,0.613799366236178,1,0.99,0,1,NPM1
0,0.590910696695133,0.984,0.514,0,1,LYAR
0,0.573081689175967,0.997,0.73,0,1,CCT2
0,0.569867871607184,0.994,0.658,0,1,HMGA1
0,0.562228881279749,1,0.751,0,1,CCT5
0,0.559083719747692,0.999,0.718,0,1,TIMM13
0,0.553046732203381,1,0.937,0,1,SERBP1
0,0.552306026192506,1,0.839,0,1,EIF1AX
0,0.551903552439871,0.997,0.663,0,1,TCP1
0,0.549469494748814,1,0.933,0,1,PA2G4
0,0.537633063994145,0.999,0.914,0,1,HSPA8
0,0.534369471628999,0.972,0.467,0,1,TOMM40
0,0.530711014870351,0.986,0.566,0,1,HSPH1
0,0.517020753210444,0.992,0.603,0,1,DCTPP1
0,0.514800500740551,1,0.848,0,1,PRDX1
0,0.510705247124183,1,0.932,0,1,RAN
0,0.509579819057614,0.999,0.823,0,1,CCT3
0,0.505875942150484,1,0.731,0,1,PRMT1
0,0.502905929790559,0.889,0.345,0,1,TFRC
0,0.501377515128798,1,0.814,0,1,EIF5A
0,0.497756288255623,0.998,0.739,0,1,CCT4
0,0.495646962578262,0.927,0.367,0,1,NPM3
0,0.49262056006601,0.997,0.672,0,1,NOP56
0,0.490143630532025,0.985,0.538,0,1,EEF1E1
0,0.489358367163126,0.973,0.521,0,1,GNL3
0,0.488749984172608,1,0.838,0,1,RANBP1
0,0.487979916107771,0.972,0.495,0,1,EBNA1BP2
0,0.486366202404922,0.996,0.744,0,1,PFDN2
0,0.48558860734826,0.993,0.594,0,1,MRPL4
0,0.478702410824245,1,0.86,0,1,SNRPD1
0,0.476080561235761,0.982,0.561,0,1,MRPL12
0,0.475090317407579,0.982,0.559,0,1,FAM136A
0,0.474953423311152,0.986,0.555,0,1,DKC1
0,0.472639483872243,0.952,0.44,0,1,YBX3
0,0.470344647988059,0.863,0.38,0,1,MIR155HG
0,0.466080256975926,0.877,0.327,0,1,ODC1
0,0.462752287667732,0.98,0.532,0,1,DCUN1D5
0,0.461848444536738,0.982,0.534,0,1,MRPL3
0,0.456387308021202,0.997,0.672,0,1,SYNCRIP
0,0.454821193187248,0.992,0.647,0,1,STIP1
0,0.453232466641115,0.954,0.429,0,1,GPATCH4
0,0.446484815523828,0.966,0.501,0,1,CMSS1
0,0.446239625861943,0.998,0.712,0,1,NUDC
0,0.445618376105633,0.998,0.775,0,1,ATP5MC1
0,0.438835561995863,0.923,0.367,0,1,NOLC1
0,0.438080823213576,0.997,0.74,0,1,KPNB1
0,0.437394181386417,0.894,0.298,0,1,NOP16
0,0.434704475330433,0.994,0.667,0,1,NDUFAF8
0,0.434401421883636,0.999,0.808,0,1,NDUFAB1
0,0.432165190210965,0.969,0.481,0,1,EIF4G1
0,0.42997901854043,0.998,0.721,0,1,CCT7
0,0.429968032725243,0.984,0.586,0,1,PSMB5
0,0.429431517440051,0.935,0.409,0,1,FKBP4
0,0.42728821730982,1,0.813,0,1,EIF5B
0,0.425044947172922,0.988,0.634,0,1,HSPA9
0,0.41573964835243,0.956,0.488,0,1,WDR43
0,0.415307729589643,0.998,0.759,0,1,RSL1D1
0,0.415140431244012,0.998,0.716,0,1,PHB
0,0.41409639868609,0.959,0.486,0,1,GTPBP4
0,0.413441511591359,1,0.822,0,1,PPA1
0,0.413069987030287,1,0.889,0,1,PRELID1
0,0.411175927677841,0.993,0.658,0,1,GSPT1
0,0.408146686403112,0.953,0.491,0,1,HSPA4
0,0.404873144967047,1,0.968,0,1,YBX1
0,0.398040092676259,0.97,0.512,0,1,ABCE1
0,0.397220841640255,0.975,0.541,0,1,EIF2S1
0,0.393951047233884,0.951,0.496,0,1,BRIX1
0,0.39025254965221,0.999,0.826,0,1,MRPS34
0,0.390056830636616,0.95,0.457,0,1,TIMM17A
0,0.389946434679459,1,0.902,0,1,PTGES3
0,0.373779524222794,1,0.946,0,1,SET
0,0.37360323306959,0.946,0.465,0,1,PUM3
0,0.373414717591461,0.9,0.38,0,1,PPIF
0,0.371925716950942,0.945,0.456,0,1,RUVBL1
0,0.369501313484007,0.936,0.442,0,1,ZNF593
0,0.357433218811099,0.939,0.462,0,1,DCAF13
0,0.352787195929319,0.904,0.385,0,1,CHORDC1
0,0.350675301955026,0.84,0.299,0,1,GCSH
0,0.349132672866667,0.924,0.406,0,1,ETF1
0,0.348249421033351,0.929,0.408,0,1,WARS
0,0.343768016412875,0.846,0.319,0,1,TSR1
0,0.341285045200214,0.922,0.412,0,1,RRP7A
0,0.339718128819962,0.923,0.434,0,1,RRP1B
0,0.339012166863921,0.847,0.269,0,1,PNO1
0,0.3271411749903,0.796,0.266,0,1,ZBTB32
0,0.31653470691728,0.847,0.354,0,1,PAK1IP1
0,0.304188277944911,0.801,0.252,0,1,YRDC
0,0.300819455212189,0.889,0.381,0,1,GAR1
0,0.296983164906948,0.86,0.355,0,1,TCOF1
0,0.295724352021301,0.81,0.272,0,1,IFRD2
0,0.295149413709804,0.8,0.309,0,1,CENPV
0,0.287169875865017,0.86,0.329,0,1,RRP15
0,0.285801001342641,0.808,0.283,0,1,FAM98A
0,0.282468172126918,0.804,0.284,0,1,NDUFAF4
0,0.277401927776618,0.636,0.162,0,1,EVI5
0,0.274348740279631,0.743,0.233,0,1,MAPK6
0,0.272269800757479,0.862,0.347,0,1,NAA15
0,0.265960944906661,0.768,0.24,0,1,BOP1
0,0.264155603835938,0.759,0.24,0,1,CHAC2
0,0.261657008266938,0.765,0.26,0,1,TIMM8A
0,0.261640460044188,1,1,0,1,PTMA
0,0.261256316639438,0.772,0.249,0,1,PNPT1
0,0.258333439286077,0.787,0.27,0,1,WDR12
0,0.25089759791956,0.745,0.236,0,1,EXOSC4
0,0.250702451437319,0.757,0.237,0,1,GRWD1
0,-1.15132609122533,0.406,0.777,0,1,RARRES3
0,-1.28787507658135,1,1,0,1,MALAT1
1.49976739015162e-307,0.389366864698471,0.977,0.569,3.26799314314038e-303,1,POLR3K
3.95599872718196e-307,0.395521645513317,0.984,0.609,8.6201212265295e-303,1,MRPL36
3.63442050452313e-306,0.419956778582424,0.995,0.66,7.91940227935589e-302,1,PAICS
6.63706176855659e-305,0.327659973073316,0.911,0.42,1.44621575936848e-300,1,GOT2
8.09516970065459e-305,0.386729614090452,0.973,0.547,1.76393747777263e-300,1,RPL7L1
4.41681641092299e-304,0.298357352528508,0.867,0.369,9.6242429594012e-300,1,ISOC2
1.67741127998945e-301,0.295532825872638,0.903,0.393,3.65507917909701e-297,1,KNOP1
1.72023431711978e-301,0.3511576157789,0.922,0.448,3.74839057700399e-297,1,MAT2A
