ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,6.56579519808685e-119,-0.499735596603602,0.984,0.988,1.43068677366312e-114,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,4.49251588420465e-100,0.52799641246325,0.885,0.706,9.78919211168193e-96,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,1.70386467562022e-86,0.459102642021826,0.654,0.377,3.71272112817646e-82,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,1.1388569459518e-83,0.322415392373177,0.994,0.973,2.48156928522898e-79,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,1.74218147057432e-80,0.34906378508014,0.968,0.898,3.79621342438145e-76,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,2.23942941638998e-74,0.248698455854956,0.97,0.903,4.87971669831377e-70,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,1.18379251387256e-73,0.349635908518146,0.752,0.503,2.57948388772831e-69,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,2.7315902115346e-73,0.342388468894613,0.68,0.397,5.9521350709339e-69,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,1.09873265678992e-70,0.337006163642544,0.916,0.77,2.39413845914523e-66,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,8.07624213071114e-68,0.274660399608977,0.72,0.459,1.75981316028196e-63,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,1.05786596686134e-63,0.253055610346351,0.737,0.491,2.30508994179087e-59,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,2.12558390462066e-63,-0.285285705645785,0.993,0.989,4.63164732816841e-59,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,1.87614448251136e-62,-0.324684852631561,0.962,0.967,4.08811882739225e-58,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,3.64903044665953e-62,-0.239424080140687,0.984,0.972,7.95123734327112e-58,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,2.28149070417864e-61,-0.360472938000674,0.923,0.945,4.97136824440526e-57,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,3.90516236552747e-61,-0.425359874241158,0.588,0.764,8.50934879448436e-57,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,1.57453574425966e-60,0.30213203998187,0.891,0.741,3.43091338674179e-56,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,2.79581320167294e-60,0.227451118498193,0.97,0.91,6.09207696644534e-56,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,3.82373040638428e-60,-0.200276752942651,0.996,0.995,8.33190855551135e-56,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,1.10979842385994e-59,-0.241698079081202,1,1,2.41825076559081e-55,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,2.74678666589066e-59,0.304750835839606,0.924,0.808,5.98524814497574e-55,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,1.18420573298888e-58,0.338110379395362,0.914,0.808,2.58038429218276e-54,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,2.25800262766492e-57,0.50428575417219,0.956,0.866,4.92018772568186e-53,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,3.59361016518736e-57,0.28923905546868,0.899,0.731,7.83047654994326e-53,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,6.76534233835206e-55,0.247929406106678,0.631,0.379,1.47416809552691e-50,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,2.451259095928e-54,0.23225512626566,0.781,0.563,5.34129357002712e-50,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,2.72934155152296e-54,0.205144446074148,0.998,0.992,5.94723524076853e-50,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,6.10189621883977e-54,0.287412787971669,0.994,0.983,1.32960318608519e-49,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,7.05458379402428e-54,0.218579845854919,0.979,0.917,1.53719380871789e-49,TRUE
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,5.04095119930788e-53,0.241180154416,0.788,0.572,1.09842326632919e-48,TRUE
