ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,gse_mf,GO:0003779,actin binding,4,-0.76,-1.75245231429898,0.0203252032520325,0.0203252032520325,0.807754442649435,29,"tags=100%, list=28%, signal=75%",GMFG/SYNE2/S100A4
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,gse_mf,GO:0051082,unfolded protein binding,6,0.611116703004043,1.62376459344859,0.0304761904761905,0.0304761904761905,0.807754442649435,31,"tags=83%, list=30%, signal=62%",HSPD1/HSP90AB1/HSP90AA1/HSPE1/PFDN2
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,gse_mf,GO:0005125,cytokine activity,8,0.53125,1.58090847120327,0.0433145009416196,0.0433145009416196,0.807754442649435,53,"tags=100%, list=51%, signal=53%",IL5/IL13/IFNG/NAMPT/CD70/LTA/CSF2/TNFSF10
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,gse_mf,GO:0005509,calcium ion binding,4,-0.68,-1.60357016483887,0.0455531453362256,0.0455531453362256,0.807754442649435,37,"tags=100%, list=36%, signal=67%",TPT1/S100A4/CD69
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,gse_bp,GO:0071704,organic substance metabolic process,63,0.396819106434453,2.04039289024604,0.00154559505409583,0.00154559505409583,0.180627188435752,60,"tags=73%, list=58%, signal=78%",IL5/IL2RA/GZMB/MIR155HG/DDIT4/IL13/BATF3/HSPD1/NFKBIA/RPL22L1/CYCS/IFNG/HSP90AB1/FABP5/CCND2/HSP90AA1/HSPE1/PRDX1/VDAC1/DUSP4/BNIP3/MTHFD2/NAMPT/BIRC3/SLIRP/EIF4EBP1/HMGA1/C1QBP/EIF2S2/NME1/PGAM1/CSF2/DDX21/ZBTB32/TXN/PA2G4/PRMT1/PAICS/TNFSF10/LDHA/CD74/RBPJ/NPM1/NPM3/PSAT1/SNRPA1
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,gse_bp,GO:0044271,cellular nitrogen compound biosynthetic process,35,0.414744784955325,2.08786483340066,0.00163934426229508,0.00163934426229508,0.180627188435752,59,"tags=83%, list=57%, signal=54%",IL5/DDIT4/BATF3/HSPD1/NFKBIA/RPL22L1/IFNG/HSP90AB1/HSP90AA1/NAMPT/EIF4EBP1/HMGA1/C1QBP/EIF2S2/NME1/PGAM1/CSF2/DDX21/ZBTB32/TXN/PA2G4/PRMT1/PAICS/LDHA/CD74/RBPJ/NPM1/NPM3/PSAT1
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,gse_bp,GO:0032880,regulation of protein localization,8,0.723965051367225,2.15560810309665,0.00169204737732657,0.00169204737732657,0.180627188435752,18,"tags=75%, list=17%, signal=67%",IL5/GZMB/IL13/IFNG/HSP90AB1/HSP90AA1
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,gse_bp,GO:0051050,positive regulation of transport,7,0.729830009096932,2.09499801706137,0.00171526586620926,0.00171526586620926,0.180627188435752,13,"tags=71%, list=12%, signal=67%",IL5/GZMB/IL13/NFKBIA/IFNG
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,gse_bp,GO:0051049,regulation of transport,10,0.630949725273359,2.05501219201129,0.00173611111111111,0.00173611111111111,0.180627188435752,15,"tags=60%, list=14%, signal=57%",IL5/GZMB/IL13/NFKBIA/IFNG/FABP5
BAFF-R_TACI_CD40_4-1BB_CD28,Zeta,gse_bp,GO:1903829,positive regulation of cellular protein localization,3,0.891089108910891,1.78601281348763,0.00173611111111111,0.00173611111111111,0.180627188435752,14,"tags=100%, list=13%, signal=89%",GZMB/IFNG/HSP90AB1
