ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI_CD40_4-1BB,CD28,3.32427040661652e-83,-0.352274092940275,0.224,0.529,7.24358521601741e-79,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,3.75800873728024e-75,-0.530019917910815,0.881,0.909,8.18870103853365e-71,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.77112701739165e-66,-0.66854840328277,0.29,0.557,6.0382857708964e-62,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.24754474878509e-63,-0.20369034607576,0.149,0.393,2.71840000760272e-59,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,3.54054136582394e-63,0.271381078611865,1,1,7.71483963613036e-59,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.87363177042719e-59,-0.474550716632788,0.633,0.802,6.26164362776085e-55,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.71695698267754e-58,0.280988858394496,0.994,0.983,5.92024926525435e-54,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,4.57379506398268e-57,0.429242558788913,0.984,0.973,9.96629944441825e-53,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,9.82660282629872e-56,0.451362620226627,0.724,0.473,2.14121675585049e-51,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,6.26760586498905e-55,-0.706942937999191,0.954,0.968,1.36571131798111e-50,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.08849885893924e-50,0.254440299866867,0.985,0.979,2.37183901362861e-46,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.64762917605519e-47,-0.244307851388278,0.416,0.659,5.76918397462425e-43,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.29116126582533e-45,0.239500568821429,0.983,0.972,4.99244039823339e-41,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.34919434116597e-45,0.244219809480124,0.963,0.914,5.11889446940064e-41,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.57261861001786e-44,-0.369119622311459,0.125,0.31,3.42673595122892e-40,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.20635513487742e-44,-0.889886777328282,0.71,0.825,4.80764783889791e-40,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.48154707113842e-42,0.270151190113488,0.975,0.967,3.22829106801061e-38,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.83086794977364e-41,-0.360199486049766,0.685,0.797,3.98946126255676e-37,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,4.31584022904771e-41,0.331053385898691,0.749,0.575,9.40421585909495e-37,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.4951195595149e-39,0.332142984452426,0.987,0.961,3.25786552018297e-35,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,6.7997747572913e-39,0.242641160244329,0.999,1,1.48167091961377e-34,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.59246923270468e-38,-0.290453291656282,0.704,0.821,3.4699904580635e-34,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,4.24832676412417e-38,-0.226172749356109,0.307,0.528,9.25710401902657e-34,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,5.1344822115915e-38,0.370710187103763,0.646,0.414,1.11880367390579e-33,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.84854604388828e-37,0.265990269545941,0.978,0.973,4.02798182963257e-33,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,3.80330462327284e-37,0.233371734380648,0.868,0.701,8.28740077411152e-33,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.02646549798577e-36,-0.244533301234942,0.368,0.57,4.415668320111e-32,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,4.64140430772405e-36,0.252022227427239,0.726,0.544,1.01136199865307e-31,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,4.93831755044052e-36,-0.254065470863807,0.513,0.691,1.07605939424099e-31,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,3.03385978591318e-34,-0.238006863709281,0.929,0.953,6.61078047350481e-30,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,4.38443501120809e-33,0.24294182778003,0.876,0.814,9.55368388942242e-29,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,5.17404930878637e-33,-0.288248669711029,0.886,0.929,1.12742534438455e-28,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.56919898740392e-32,0.21332747154745,0.893,0.828,3.41928459355314e-28,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.58767272059825e-32,-0.371651683475625,0.326,0.503,3.45953885818359e-28,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.32927526977922e-30,0.236937901709944,0.933,0.849,2.89649081284892e-26,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,2.34180295423876e-29,0.202800773780379,0.963,0.944,5.10278863728626e-25,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,9.06363319064184e-29,0.26968423541817,0.548,0.354,1.97496567224086e-24,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,9.39301385834248e-29,-0.234463560906536,0.802,0.88,2.04673771973283e-24,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,3.21694594480657e-28,0.209004447957155,0.965,0.955,7.00972521373351e-24,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,8.88566316459091e-28,0.20709847108377,0.498,0.297,1.93618600356436e-23,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,9.03760730757928e-28,-0.390195619328039,0.833,0.88,1.96929463232153e-23,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,9.67014275830049e-28,0.290852679876962,0.617,0.441,2.10712410703368e-23,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,9.97792335540807e-28,0.313736493572038,0.963,0.948,2.17418949914342e-23,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.19872478290955e-27,-0.220886965704147,0.672,0.854,2.61202130195992e-23,TRUE
BAFF-R_TACI_CD40_4-1BB,CD28,1.36423916081631e-27,0.226133772804767,0.953,0.92,2.97267713141874e-23,TRUE
