ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI_CD40_4-1BB,Zeta,4.47893545856039e-102,-0.464353573903348,0.987,0.988,9.75960036420308e-98,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.43440697188907e-81,0.445516287768566,0.881,0.706,3.12557279174628e-77,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.86785248466238e-74,0.306754036579276,0.993,0.973,4.07005056407934e-70,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,4.53919253760326e-71,0.329129467512241,0.967,0.898,9.89090053943751e-67,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,4.99988134709196e-69,0.38706053133912,0.633,0.377,1.08947414553134e-64,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,2.53706729848419e-64,0.314916237299836,0.743,0.503,5.52826964339705e-60,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.58158070875314e-63,0.226589677865864,0.969,0.903,3.4462643643731e-59,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.20541601754521e-61,0.311277715548157,0.662,0.397,2.62660150223102e-57,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,4.08257603639183e-61,0.249818723133365,0.734,0.491,8.89593318329781e-57,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,5.75895786541048e-60,0.251708586556677,0.712,0.459,1.25487691887294e-55,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.0971010423508e-59,0.312206508829351,0.911,0.77,2.3905831712824e-55,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.37633515631019e-55,0.257625785569601,0.632,0.379,2.9990343055999e-51,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.51453113629023e-54,0.296639443091938,0.923,0.808,3.30016334597641e-50,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,8.05928570728933e-53,-0.301704757367549,0.964,0.967,1.75611835561835e-48,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,7.57246921660134e-51,0.208895776659626,0.968,0.91,1.65004104229743e-46,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.43683397750184e-50,-0.334180985342482,0.933,0.945,3.13086123697651e-46,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,2.85911835878162e-50,-0.395521352177961,0.613,0.764,6.23001890378515e-46,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,9.10692874275401e-50,0.307144249851657,0.913,0.808,1.9843997730461e-45,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.48531478375142e-49,0.227035094892237,0.445,0.209,3.23650091379434e-45,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,2.29746203090572e-49,0.256638899064384,0.96,0.88,5.00616976534357e-45,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,2.84907034432719e-49,0.278022279141214,0.994,0.983,6.20812428028894e-45,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,4.56682315045792e-49,0.261859014306297,0.886,0.741,9.9511076448478e-45,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,1.80932647221208e-48,-0.254690436831631,0.994,0.989,3.94252238295012e-44,TRUE
BAFF-R_TACI_CD40_4-1BB,Zeta,2.01335349592255e-48,-0.211401823518307,0.985,0.972,4.38709726761524e-44,TRUE
