ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI_CD40,4-1BB,4.48850579240724e-35,-0.264657613407615,0.644,0.772,9.78045412165538e-31,TRUE
BAFF-R_TACI_CD40,4-1BB,1.64126888773658e-34,-0.244577002300102,0.805,0.857,3.57632490637801e-30,TRUE
BAFF-R_TACI_CD40,4-1BB,3.14429950462938e-27,0.239984918746476,0.754,0.616,6.85142862058742e-23,TRUE
BAFF-R_TACI_CD40,4-1BB,2.55676532011753e-24,-0.213555722188924,0.787,0.858,5.5711916325361e-20,TRUE
BAFF-R_TACI_CD40,4-1BB,4.27241050011347e-21,-0.313013589353662,0.582,0.674,9.30958247974726e-17,TRUE
BAFF-R_TACI_CD40,4-1BB,1.82573918053097e-20,-0.594635599777322,0.226,0.346,3.97828567437699e-16,TRUE
BAFF-R_TACI_CD40,4-1BB,9.60100332164702e-20,-0.303843514922025,0.223,0.346,2.09205862378689e-15,TRUE
BAFF-R_TACI_CD40,4-1BB,3.13846129497488e-13,0.635201191488306,0.404,0.311,6.83870716175027e-09,TRUE
BAFF-R_TACI_CD40,4-1BB,1.16400985116513e-11,-0.21739185626983,0.892,0.841,2.53637746568881e-07,TRUE
BAFF-R_TACI_CD40,4-1BB,7.97014718436862e-10,0.250588143372333,0.356,0.271,1.73669507147392e-05,TRUE
BAFF-R_TACI_CD40,4-1BB,2.76947312178309e-08,-0.224683571134153,0.246,0.324,0.000603468193236536,TRUE
BAFF-R_TACI_CD40,4-1BB,5.23773069767489e-07,-0.505363239236013,0.711,0.706,0.0114130151902336,TRUE
BAFF-R_TACI_CD40,4-1BB,0.37198897509896,-0.302065221483434,0.321,0.324,1,TRUE
