ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI_CD40,CD28,9.00896787358387e-89,-0.368443171031999,0.209,0.529,1.96305409965393e-84,TRUE
BAFF-R_TACI_CD40,CD28,2.82512544277076e-87,-0.229684541803378,0.114,0.393,6.15594833979749e-83,TRUE
BAFF-R_TACI_CD40,CD28,4.09362165092256e-83,-0.580885618388284,0.892,0.909,8.92000157736026e-79,TRUE
BAFF-R_TACI_CD40,CD28,6.7701432224055e-78,-0.709362411473764,0.263,0.557,1.47521420816216e-73,TRUE
BAFF-R_TACI_CD40,CD28,8.01068254723044e-76,0.302610284407218,1,1,1.74552772704151e-71,TRUE
BAFF-R_TACI_CD40,CD28,3.10790860314118e-67,0.498295597513871,0.754,0.473,6.77213284624462e-63,TRUE
BAFF-R_TACI_CD40,CD28,1.34049490726569e-66,0.297107002157096,0.995,0.983,2.92093840293193e-62,TRUE
BAFF-R_TACI_CD40,CD28,2.21562376332675e-66,-0.519341337747031,0.62,0.802,4.82784418028898e-62,TRUE
BAFF-R_TACI_CD40,CD28,4.27495992646957e-62,0.449531954167891,0.985,0.973,9.31513767977719e-58,TRUE
BAFF-R_TACI_CD40,CD28,3.07900784520631e-57,0.26936687176699,0.987,0.979,6.70915809470456e-53,TRUE
BAFF-R_TACI_CD40,CD28,1.54151177066854e-54,-0.267112476773556,0.389,0.659,3.35895414828675e-50,TRUE
BAFF-R_TACI_CD40,CD28,1.68900626595092e-52,0.26107588031611,0.964,0.914,3.68034465350705e-48,TRUE
BAFF-R_TACI_CD40,CD28,4.40687798033662e-52,0.259880402998037,0.984,0.972,9.60258711915349e-48,TRUE
BAFF-R_TACI_CD40,CD28,9.23994778374047e-52,-0.706640995289024,0.957,0.968,2.01338462207705e-47,TRUE
BAFF-R_TACI_CD40,CD28,6.83077248389861e-51,0.368479461871557,0.775,0.575,1.48842532424151e-46,TRUE
BAFF-R_TACI_CD40,CD28,7.45270019443455e-51,0.286353361482031,0.978,0.967,1.62394337236729e-46,TRUE
BAFF-R_TACI_CD40,CD28,2.74823229107854e-49,-1.02206170519877,0.711,0.825,5.98839816226013e-45,TRUE
BAFF-R_TACI_CD40,CD28,1.48908085595195e-48,-0.403449446986391,0.678,0.797,3.2447071851193e-44,TRUE
BAFF-R_TACI_CD40,CD28,5.88170080076271e-48,-0.38481971671229,0.115,0.31,1.28162260448619e-43,TRUE
BAFF-R_TACI_CD40,CD28,4.40007960222531e-46,0.399448691014422,0.675,0.414,9.58777345324896e-42,TRUE
BAFF-R_TACI_CD40,CD28,1.5429115636029e-45,0.361517250234057,0.989,0.961,3.36200429709071e-41,TRUE
BAFF-R_TACI_CD40,CD28,1.66377597517686e-45,-0.27627732836611,0.342,0.57,3.62536784991038e-41,TRUE
BAFF-R_TACI_CD40,CD28,3.30895057537552e-44,-0.24925684678514,0.287,0.528,7.21020330374326e-40,TRUE
BAFF-R_TACI_CD40,CD28,1.46750379760819e-43,0.256319606340857,1,1,3.19769077498824e-39,TRUE
BAFF-R_TACI_CD40,CD28,2.23978866622989e-43,-0.319418081714804,0.699,0.821,4.88049950371492e-39,TRUE
BAFF-R_TACI_CD40,CD28,8.61193127227677e-43,0.290160377620189,0.98,0.973,1.87653982422911e-38,TRUE
BAFF-R_TACI_CD40,CD28,1.19261448037659e-42,0.27952924585051,0.746,0.544,2.59870695274058e-38,TRUE
BAFF-R_TACI_CD40,CD28,8.72971855290106e-42,-0.286042313915449,0.499,0.691,1.90220567267714e-37,TRUE
BAFF-R_TACI_CD40,CD28,1.65428493919097e-41,0.24444701761883,0.88,0.701,3.60468688249712e-37,TRUE
BAFF-R_TACI_CD40,CD28,5.24363686405962e-41,-0.26751078489517,0.93,0.953,1.14258847267859e-36,TRUE
BAFF-R_TACI_CD40,CD28,1.69118635359392e-39,-0.28396309564438,0.644,0.854,3.68509506448115e-35,TRUE
BAFF-R_TACI_CD40,CD28,1.33777820731827e-38,0.263644217471172,0.885,0.814,2.91501871374651e-34,TRUE
BAFF-R_TACI_CD40,CD28,7.66843269561413e-38,0.229462766160972,0.903,0.828,1.67095148437432e-33,TRUE
BAFF-R_TACI_CD40,CD28,1.36241846561626e-37,-0.284356947289307,0.787,0.88,2.96870983657783e-33,TRUE
BAFF-R_TACI_CD40,CD28,1.39101347104811e-34,0.351035314020606,0.903,0.869,3.03101835341383e-30,TRUE
BAFF-R_TACI_CD40,CD28,1.57341474932668e-34,-0.217993087844487,0.648,0.838,3.42847073878283e-30,TRUE
BAFF-R_TACI_CD40,CD28,5.92087162824008e-34,0.249193670331315,0.959,0.92,1.29015792779351e-29,TRUE
BAFF-R_TACI_CD40,CD28,7.23803715467655e-33,0.281531804077874,0.567,0.354,1.57716829600402e-28,TRUE
BAFF-R_TACI_CD40,CD28,8.18432514807487e-33,0.214418682275777,0.965,0.944,1.78336444976551e-28,TRUE
BAFF-R_TACI_CD40,CD28,1.68768182031535e-32,0.310180523853387,0.636,0.441,3.67745868646714e-28,TRUE
BAFF-R_TACI_CD40,CD28,2.27222696142473e-32,-0.291634424456767,0.891,0.929,4.95118254894449e-28,TRUE
BAFF-R_TACI_CD40,CD28,3.432210963397e-32,-0.536038518018779,0.223,0.412,7.47878768924207e-28,TRUE
BAFF-R_TACI_CD40,CD28,3.83437310977292e-32,-0.379427898453052,0.326,0.503,8.3550990061952e-28,TRUE
BAFF-R_TACI_CD40,CD28,6.99938351297022e-32,0.247438296940156,0.918,0.869,1.52516566747621e-27,TRUE
BAFF-R_TACI_CD40,CD28,1.22096276585804e-31,0.249530731447969,0.754,0.607,2.66047786680466e-27,TRUE
BAFF-R_TACI_CD40,CD28,1.57382017884627e-31,0.221107353254791,0.518,0.297,3.42935416970602e-27,TRUE
BAFF-R_TACI_CD40,CD28,2.91209389000456e-31,0.245936297574493,0.877,0.813,6.34545258631994e-27,TRUE
BAFF-R_TACI_CD40,CD28,4.26660167663836e-31,0.231428559256508,0.935,0.849,9.29692505339498e-27,TRUE
BAFF-R_TACI_CD40,CD28,1.48728484512184e-30,0.207403513577301,0.493,0.278,3.24079367752049e-26,TRUE
