ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0003823,antigen binding,9,0.677830476932025,2.24304757475931,0.0026525198938992,0.0026525198938992,0.217089486305692,21,"tags=78%, list=22%, signal=67%",HLA-DRA/HLA-DRB1/TRBC2/TRBC1/HLA-DPA1/HLA-DPB1/ITGA4
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0042605,peptide antigen binding,5,0.733625923770571,1.88998558067814,0.00479616306954436,0.00479616306954436,0.217089486305692,16,"tags=80%, list=17%, signal=70%",HLA-DRA/HLA-DRB1/HLA-DPA1/HLA-DPB1
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0033218,amide binding,8,0.585893734072501,1.82411153437272,0.0127226463104326,0.0127226463104326,0.286130739250293,16,"tags=62%, list=17%, signal=57%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0042277,peptide binding,8,0.585893734072501,1.82411153437272,0.0127226463104326,0.0127226463104326,0.286130739250293,16,"tags=62%, list=17%, signal=57%",HLA-DRA/HLA-DRB1/HLA-DPA1/CD74/HLA-DPB1
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0044877,protein-containing complex binding,8,0.580214603773611,1.84503907068261,0.0203562340966921,0.0203562340966921,0.286130739250293,27,"tags=75%, list=29%, signal=58%",HLA-DRA/HLA-DRB1/VIM/CD74/GMFG/FYB1
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0005126,cytokine receptor binding,7,-0.638102265368969,-1.69678307121407,0.0240963855421687,0.0240963855421687,0.286130739250293,7,"tags=43%, list=7%, signal=43%",IL13/LTA/IL5
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0005125,cytokine activity,8,-0.641243128925735,-1.7869644278404,0.025,0.025,0.286130739250293,11,"tags=50%, list=12%, signal=48%",NAMPT/IL13/LTA/IL5
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0023023,MHC protein complex binding,4,0.719339476185101,1.69620245074505,0.0300230946882217,0.0300230946882217,0.286130739250293,15,"tags=75%, list=16%, signal=66%",HLA-DRA/HLA-DRB1/CD74
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0023026,MHC class II protein complex binding,4,0.719339476185101,1.69620245074505,0.0300230946882217,0.0300230946882217,0.286130739250293,15,"tags=75%, list=16%, signal=66%",HLA-DRA/HLA-DRB1/CD74
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0030545,receptor regulator activity,9,-0.588758081944962,-1.70843789590648,0.0347682119205298,0.0347682119205298,0.286130739250293,11,"tags=44%, list=12%, signal=43%",NAMPT/IL13/LTA/IL5
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0048018,receptor ligand activity,9,-0.588758081944962,-1.70843789590648,0.0347682119205298,0.0347682119205298,0.286130739250293,11,"tags=44%, list=12%, signal=43%",NAMPT/IL13/LTA/IL5
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0003712,transcription coregulator activity,3,-0.78021978021978,-1.53133988451573,0.0424710424710425,0.0424710424710425,0.29574976943398,24,"tags=100%, list=26%, signal=77%",BATF3/ZBTB32
BAFF-R_TACI_CD40,CD28,gse_mf,GO:0003714,transcription corepressor activity,3,-0.78021978021978,-1.53133988451573,0.0424710424710425,0.0424710424710425,0.29574976943398,24,"tags=100%, list=26%, signal=77%",BATF3/ZBTB32
BAFF-R_TACI_CD40,CD28,gse_bp,GO:0036293,response to decreased oxygen levels,8,-0.743320281222823,-2.04138009631214,0.00162074554294976,0.00162074554294976,0.166431704260652,11,"tags=62%, list=12%, signal=60%",NAMPT/BNIP3/DDIT4/LTA/HILPDA
