ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,7.48647223237601e-101,0.343612789238374,0.754,0.543,1.63130229943473e-96,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,4.6344247445223e-77,0.262569092809374,0.675,0.467,1.00984115183141e-72,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,4.38182899483465e-42,-0.349340050842877,0.582,0.674,9.5480053797447e-38,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,7.32093629302011e-34,0.212363746494334,0.848,0.766,1.59523201824908e-29,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,1.2970981454201e-19,0.210101421314069,0.356,0.263,2.8263768588704e-15,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,2.17918994848125e-18,-0.253348728676608,0.263,0.338,4.74845489774065e-14,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,3.2548782792671e-14,0.413117508510543,0.404,0.33,7.09237977052301e-10,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,1.78324049939292e-06,-0.393317250015058,0.226,0.264,0.0388568104817718,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,0.0367655026510594,-0.418736743728137,0.711,0.661,1,TRUE
BAFF-R_TACI_CD40,CD28_4-1BB_Zeta,0.24482301567372,-0.216381965079218,0.321,0.297,1,TRUE
