ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI_CD40,Zeta,1.53359130903565e-86,-0.434979308121716,0.989,0.988,3.34169546238869e-82,TRUE
BAFF-R_TACI_CD40,Zeta,3.27366466387045e-72,0.394650587291096,0.892,0.706,7.13331530257372e-68,TRUE
BAFF-R_TACI_CD40,Zeta,2.04924959142422e-70,0.333800789012199,0.967,0.898,4.46531485971338e-66,TRUE
BAFF-R_TACI_CD40,Zeta,4.66167159032844e-70,0.307064527798558,0.994,0.973,1.01577823953257e-65,TRUE
BAFF-R_TACI_CD40,Zeta,1.46554751140105e-62,0.281912808351521,0.651,0.379,3.19342802734289e-58,TRUE
BAFF-R_TACI_CD40,Zeta,5.97258132067197e-61,0.224351627817565,0.973,0.903,1.30142546977442e-56,TRUE
BAFF-R_TACI_CD40,Zeta,1.57822985664355e-60,0.255629083153866,0.737,0.491,3.4389628576263e-56,TRUE
BAFF-R_TACI_CD40,Zeta,5.57080913169166e-59,0.317571143704081,0.93,0.808,1.21387930979561e-54,TRUE
BAFF-R_TACI_CD40,Zeta,2.83025386837921e-57,0.358285948125351,0.754,0.518,6.1671231791983e-53,TRUE
BAFF-R_TACI_CD40,Zeta,4.18689640876763e-57,0.342269910224878,0.62,0.377,9.12324727470467e-53,TRUE
BAFF-R_TACI_CD40,Zeta,3.28458882705884e-56,-0.244789371407101,1,1,7.1571190541612e-52,TRUE
BAFF-R_TACI_CD40,Zeta,6.76112793154932e-56,0.236924487748528,0.717,0.459,1.4732497762846e-51,TRUE
BAFF-R_TACI_CD40,Zeta,3.46835934981302e-55,0.29233818797835,0.735,0.503,7.55755502324258e-51,TRUE
BAFF-R_TACI_CD40,Zeta,1.32162101179828e-53,0.253569160884482,0.978,0.877,2.87981218470846e-49,TRUE
BAFF-R_TACI_CD40,Zeta,6.09443764447678e-53,0.271926532932765,0.959,0.88,1.32797796273149e-48,TRUE
BAFF-R_TACI_CD40,Zeta,7.917418168082e-53,0.284941589685125,0.651,0.397,1.72520541882507e-48,TRUE
BAFF-R_TACI_CD40,Zeta,4.1825892119172e-50,0.289794267185388,0.993,0.983,9.11386189276757e-46,TRUE
BAFF-R_TACI_CD40,Zeta,6.11501961238936e-50,0.290109587429442,0.909,0.77,1.33246277353964e-45,TRUE
BAFF-R_TACI_CD40,Zeta,1.0753280729464e-49,0.305705364678774,0.675,0.431,2.3431398709502e-45,TRUE
BAFF-R_TACI_CD40,Zeta,8.63493113639657e-49,-0.339690327795918,0.935,0.945,1.88155149462081e-44,TRUE
BAFF-R_TACI_CD40,Zeta,4.39454558851467e-48,0.255307309905896,0.788,0.575,9.57571483737347e-44,TRUE
BAFF-R_TACI_CD40,Zeta,2.21961446436795e-47,0.258473259560559,0.891,0.741,4.83653991785775e-43,TRUE
BAFF-R_TACI_CD40,Zeta,8.88550724945928e-47,0.385540103211032,0.957,0.866,1.93615202965718e-42,TRUE
BAFF-R_TACI_CD40,Zeta,1.70377657372573e-46,-0.294039251032734,0.967,0.967,3.71252915414836e-42,TRUE
BAFF-R_TACI_CD40,Zeta,8.72611060483279e-46,0.20721047542671,0.44,0.209,1.90141950079307e-41,TRUE
BAFF-R_TACI_CD40,Zeta,2.15134101450814e-45,0.201027874157086,0.97,0.91,4.68777207061324e-41,TRUE
BAFF-R_TACI_CD40,Zeta,1.45046188924275e-44,0.28993417719639,0.918,0.808,3.16055645665996e-40,TRUE
BAFF-R_TACI_CD40,Zeta,1.84671252919624e-44,0.205488908646324,0.978,0.917,4.02398660111861e-40,TRUE
BAFF-R_TACI_CD40,Zeta,2.94073965466176e-44,-0.389133512551181,0.631,0.764,6.40787170750798e-40,TRUE
BAFF-R_TACI_CD40,Zeta,7.67477871315382e-43,-0.203359000151979,1,1,1.67233428159622e-38,TRUE
BAFF-R_TACI_CD40,Zeta,1.0127084916017e-41,0.251091281402635,0.894,0.731,2.20669180320011e-37,TRUE
BAFF-R_TACI_CD40,Zeta,4.03328633857145e-40,-0.303852304495099,0.947,0.946,8.7885309317472e-36,TRUE
BAFF-R_TACI_CD40,Zeta,1.40948236956362e-39,0.212781211988021,0.971,0.903,3.07126208327913e-35,TRUE
BAFF-R_TACI_CD40,Zeta,1.57414031174773e-39,0.202900994600899,0.78,0.572,3.43005173929831e-35,TRUE
