ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R_TACI_CD40,Zeta,gse_mf,GO:0023023,MHC protein complex binding,5,0.753424657534247,1.96555831822805,0.00968992248062015,0.00968992248062015,0.52161331162959,23,"tags=100%, list=29%, signal=75%",HLA-DRA/HSP90AB1/HLA-DRB1/HSP90AA1/CD74
BAFF-R_TACI_CD40,Zeta,gse_mf,GO:0023026,MHC class II protein complex binding,5,0.753424657534247,1.96555831822805,0.00968992248062015,0.00968992248062015,0.52161331162959,23,"tags=100%, list=29%, signal=75%",HLA-DRA/HSP90AB1/HLA-DRB1/HSP90AA1/CD74
BAFF-R_TACI_CD40,Zeta,gse_mf,GO:0005509,calcium ion binding,3,-0.813333333333333,-1.68995908519245,0.0144329896907217,0.0144329896907217,0.52161331162959,18,"tags=100%, list=23%, signal=80%",S100A4/CD69
BAFF-R_TACI_CD40,Zeta,gse_mf,GO:0003674,molecular_function,72,0.569958262763335,1.66162059129895,0.0192678227360308,0.0192678227360308,0.522259405739783,69,"tags=93%, list=88%, signal=140%",HILPDA/IL2RA/GZMB/HLA-DRA/IFNG/HSPD1/DDIT4/FABP5/HSP90AB1/HLA-DRB1/BATF3/CYCS/RPL22L1/HSP90AA1/NFKBIA/DUSP4/PRDX1/TNFSF10/CYTIP/SQOR/SH2D2A/CD74/CCND2/HSPE1/HLA-DPA1/BIRC3/VDAC1/SLIRP/LDHA/PGAM1/TUBB/CSF2/CD70/NME1/TXN/RBPJ/HMGA1/MTHFD2/EIF2S2/SH3BGRL3/EVL/IER2/TIMP1/B2M/XBP1/CD3G/YPEL3/BTG1/CD8B/RCBTB2/GIMAP4/FYB1/TRBC2/ATP6V1G1/STK17A/RGS10/ISG20/PTPRC/FGFBP2/TPT1/SYNE2/TXNIP/SLFN5/S100A4/JAML/CD27/HCST
BAFF-R_TACI_CD40,Zeta,gse_mf,GO:0051082,unfolded protein binding,4,0.716216216216216,1.643673267088,0.0340909090909091,0.0340909090909091,0.687078914015076,25,"tags=100%, list=32%, signal=72%",HSPD1/HSP90AB1/HSP90AA1/HSPE1
BAFF-R_TACI_CD40,Zeta,gse_mf,GO:0033218,amide binding,7,0.555811678398793,1.60840873519233,0.0498084291187739,0.0498084291187739,0.687078914015076,26,"tags=86%, list=33%, signal=63%",HLA-DRA/HSP90AB1/HLA-DRB1/NFKBIA/CD74/HLA-DPA1
BAFF-R_TACI_CD40,Zeta,gse_mf,GO:0042277,peptide binding,7,0.555811678398793,1.60840873519233,0.0498084291187739,0.0498084291187739,0.687078914015076,26,"tags=86%, list=33%, signal=63%",HLA-DRA/HSP90AB1/HLA-DRB1/NFKBIA/CD74/HLA-DPA1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0017144,drug metabolic process,10,0.586991904557831,1.99702390669516,0.00189753320683112,0.00189753320683112,0.258870400838276,32,"tags=90%, list=41%, signal=61%",IFNG/DDIT4/HSP90AB1/CYCS/HSP90AA1/PRDX1/SQOR/LDHA/PGAM1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0032268,regulation of cellular protein metabolic process,19,0.542233490890242,2.31528323447864,0.00190114068441065,0.00190114068441065,0.258870400838276,28,"tags=74%, list=36%, signal=62%",IFNG/HSPD1/DDIT4/HSP90AB1/CYCS/HSP90AA1/NFKBIA/DUSP4/PRDX1/TNFSF10/CD74/CCND2/HSPE1/BIRC3
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0051246,regulation of protein metabolic process,20,0.489510955265355,2.11887430372864,0.00380952380952381,0.00380952380952381,0.258870400838276,28,"tags=70%, list=36%, signal=60%",IFNG/HSPD1/DDIT4/HSP90AB1/CYCS/HSP90AA1/NFKBIA/DUSP4/PRDX1/TNFSF10/CD74/CCND2/HSPE1/BIRC3
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0007005,mitochondrion organization,7,0.676056338028169,1.96835841423023,0.00385356454720617,0.00385356454720617,0.258870400838276,30,"tags=100%, list=38%, signal=68%",GZMB/HSPD1/CYCS/HSP90AA1/TNFSF10/VDAC1/SLIRP
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0070997,neuron death,3,0.906666666666667,1.84493080183875,0.00396039603960396,0.00396039603960396,0.258870400838276,10,"tags=100%, list=13%, signal=91%",IFNG/DDIT4/HSP90AB1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:1901214,regulation of neuron death,3,0.906666666666667,1.84493080183875,0.00396039603960396,0.00396039603960396,0.258870400838276,10,"tags=100%, list=13%, signal=91%",IFNG/DDIT4/HSP90AB1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:1903829,positive regulation of cellular protein localization,3,0.906666666666667,1.85579557589688,0.00551470588235294,0.00551470588235294,0.258870400838276,10,"tags=100%, list=13%, signal=91%",GZMB/IFNG/HSP90AB1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0043085,positive regulation of catalytic activity,12,0.552587329171679,1.98204483507565,0.0056710775047259,0.0056710775047259,0.258870400838276,25,"tags=75%, list=32%, signal=60%",IFNG/HSPD1/HSP90AB1/CYCS/HSP90AA1/TNFSF10/CD74/CCND2/HSPE1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0009266,response to temperature stimulus,4,0.837837837837838,1.97629770485652,0.0058252427184466,0.0058252427184466,0.258870400838276,16,"tags=100%, list=21%, signal=84%",HSPD1/HSP90AB1/HSP90AA1/NFKBIA
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0032270,positive regulation of cellular protein metabolic process,15,0.501044740561305,1.96731270687612,0.00757575757575758,0.00757575757575758,0.258870400838276,28,"tags=73%, list=36%, signal=58%",IFNG/HSPD1/HSP90AB1/CYCS/HSP90AA1/NFKBIA/TNFSF10/CD74/CCND2/HSPE1/BIRC3
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0051247,positive regulation of protein metabolic process,15,0.501044740561305,1.96731270687612,0.00757575757575758,0.00757575757575758,0.258870400838276,28,"tags=73%, list=36%, signal=58%",IFNG/HSPD1/HSP90AB1/CYCS/HSP90AA1/NFKBIA/TNFSF10/CD74/CCND2/HSPE1/BIRC3
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0018105,peptidyl-serine phosphorylation,5,0.709694978083009,1.82962874304463,0.00767754318618042,0.00767754318618042,0.258870400838276,15,"tags=80%, list=19%, signal=69%",IFNG/DDIT4/HSP90AB1/HSP90AA1
BAFF-R_TACI_CD40,Zeta,gse_bp,GO:0018209,peptidyl-serine modification,5,0.709694978083009,1.82962874304463,0.00767754318618042,0.00767754318618042,0.258870400838276,15,"tags=80%, list=19%, signal=69%",IFNG/DDIT4/HSP90AB1/HSP90AA1
