ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI,4-1BB,3.2320835447347e-31,-0.262233012911369,0.799,0.857,7.04271004397692e-27,TRUE
BAFF-R_TACI,4-1BB,4.07561861817629e-28,-0.262695835500888,0.774,0.858,8.88077296900614e-24,TRUE
BAFF-R_TACI,4-1BB,1.69418227213831e-27,-0.453302105267256,0.177,0.346,3.69162317098938e-23,TRUE
BAFF-R_TACI,4-1BB,6.06419975245923e-25,-0.257971427351536,0.656,0.772,1.32138912606087e-20,TRUE
BAFF-R_TACI,4-1BB,1.51905441701484e-23,-0.232461677932446,0.229,0.387,3.31001957467533e-19,TRUE
BAFF-R_TACI,4-1BB,1.52883738863327e-23,0.208381999497266,0.792,0.655,3.33133666983188e-19,TRUE
BAFF-R_TACI,4-1BB,5.95310722650893e-22,-0.742738061962868,0.201,0.346,1.29718206465629e-17,TRUE
BAFF-R_TACI,4-1BB,4.93533180804545e-19,-0.237875560781494,0.604,0.703,1.0754088009731e-14,TRUE
BAFF-R_TACI,4-1BB,1.94350258287409e-17,-0.270952105519026,0.604,0.68,4.23489212808265e-13,TRUE
BAFF-R_TACI,4-1BB,3.90368312574819e-17,-0.319056492007331,0.584,0.674,8.5061255310053e-13,TRUE
BAFF-R_TACI,4-1BB,3.08978692565646e-13,-0.220069377865101,0.98,0.988,6.73264571100543e-09,TRUE
BAFF-R_TACI,4-1BB,4.3506419316722e-09,0.26379296125381,0.36,0.271,9.48004876911372e-05,TRUE
BAFF-R_TACI,4-1BB,6.77529668094056e-08,0.405059144197493,0.387,0.311,0.00147633714677695,TRUE
BAFF-R_TACI,4-1BB,6.04847607045443e-06,-0.225799111747986,0.252,0.324,0.131796293575202,TRUE
BAFF-R_TACI,4-1BB,3.90072983402622e-05,-0.498793983818684,0.726,0.706,0.849969030834314,TRUE
BAFF-R_TACI,4-1BB,0.00718478975947909,-0.436587373470842,0.288,0.324,1,TRUE
