ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI,CD28,4.51135996799372e-73,-0.76463203618709,0.229,0.557,9.83025337025833e-69,TRUE
BAFF-R_TACI,CD28,1.14660153288597e-68,-0.597052455451508,0.604,0.802,2.49844474015854e-64,TRUE
BAFF-R_TACI,CD28,8.82140556141871e-68,-0.380262080323049,0.207,0.529,1.92218427183314e-63,TRUE
BAFF-R_TACI,CD28,1.32184033414398e-65,-0.561681299639676,0.9,0.909,2.88029008809973e-61,TRUE
BAFF-R_TACI,CD28,5.87336945017471e-62,0.486508889213728,0.987,0.973,1.27980720319307e-57,TRUE
BAFF-R_TACI,CD28,1.78463083732514e-57,0.299107170030114,0.995,0.983,3.88871059453148e-53,TRUE
BAFF-R_TACI,CD28,6.30007341195517e-56,0.270465788227852,1,1,1.37278599646503e-51,TRUE
BAFF-R_TACI,CD28,1.6337376953786e-53,-0.299047573823199,0.354,0.659,3.55991443822997e-49,TRUE
BAFF-R_TACI,CD28,1.30778412001984e-51,0.280317121606649,0.985,0.972,2.84966159752324e-47,TRUE
BAFF-R_TACI,CD28,2.53954853034124e-51,-0.216249570540001,0.131,0.393,5.53367624761357e-47,TRUE
BAFF-R_TACI,CD28,5.26358776079209e-51,-0.409354887813513,0.082,0.31,1.1469357730766e-46,TRUE
BAFF-R_TACI,CD28,2.91105874336363e-50,-0.772551747488858,0.951,0.968,6.34319700178935e-46,TRUE
BAFF-R_TACI,CD28,1.64404099676125e-49,0.269866008113072,0.987,0.979,3.58236533194276e-45,TRUE
BAFF-R_TACI,CD28,6.89622590640473e-49,0.389391144114444,0.792,0.575,1.50268762500559e-44,TRUE
BAFF-R_TACI,CD28,1.1588353731929e-45,-0.375798140421428,0.604,0.809,2.52510227818734e-41,TRUE
BAFF-R_TACI,CD28,1.17277826102761e-45,0.26648476074572,0.965,0.914,2.55548383077917e-41,TRUE
BAFF-R_TACI,CD28,2.31963371085797e-41,-0.333497060601272,0.774,0.88,5.05448185595951e-37,TRUE
BAFF-R_TACI,CD28,2.21707112145649e-40,0.205576704490986,0.99,0.985,4.83099797365368e-36,TRUE
BAFF-R_TACI,CD28,4.53297250206708e-40,0.425828340959743,0.708,0.473,9.87734708200416e-36,TRUE
BAFF-R_TACI,CD28,5.89207135035659e-40,0.292750641809073,0.761,0.544,1.2838823472427e-35,TRUE
BAFF-R_TACI,CD28,7.91176592321958e-40,-1.01549244978144,0.726,0.825,1.72397379466955e-35,TRUE
BAFF-R_TACI,CD28,8.49409040365445e-40,0.252065650815596,0.893,0.701,1.85086229895631e-35,TRUE
BAFF-R_TACI,CD28,1.09669280097757e-39,-0.292559646892971,0.335,0.57,2.38969361333012e-35,TRUE
BAFF-R_TACI,CD28,1.16219618422327e-39,-0.68549710836401,0.177,0.412,2.5324254854225e-35,TRUE
BAFF-R_TACI,CD28,3.85181480588336e-39,-0.278254940971733,0.278,0.528,8.39310446201984e-35,TRUE
BAFF-R_TACI,CD28,4.22836382638238e-37,-0.387606508605799,0.686,0.797,9.21360477768722e-33,TRUE
BAFF-R_TACI,CD28,6.45734454697684e-37,-0.323645377710624,0.709,0.821,1.40705537678625e-32,TRUE
BAFF-R_TACI,CD28,1.53963429409117e-35,-0.297666280248836,0.511,0.691,3.35486312682466e-31,TRUE
BAFF-R_TACI,CD28,6.10196145490998e-35,0.272828033626957,0.891,0.814,1.32961740102488e-30,TRUE
BAFF-R_TACI,CD28,2.24135215381542e-34,0.282081882678545,0.978,0.973,4.88390634316379e-30,TRUE
BAFF-R_TACI,CD28,2.76709294773436e-31,-0.251124440162351,0.939,0.953,6.02949553311316e-27,TRUE
BAFF-R_TACI,CD28,1.60390076365992e-30,0.26243321225905,0.883,0.813,3.49489976401497e-26,TRUE
BAFF-R_TACI,CD28,2.04692591301121e-30,0.226535556334645,0.906,0.828,4.46025156445143e-26,TRUE
BAFF-R_TACI,CD28,2.45784446370125e-30,-0.2772769095883,0.656,0.854,5.35564308640503e-26,TRUE
BAFF-R_TACI,CD28,2.99463706563229e-29,0.262208159834867,0.927,0.869,6.52531416601277e-25,TRUE
BAFF-R_TACI,CD28,3.79176351886465e-29,0.222834563586105,0.968,0.955,8.26225270760608e-25,TRUE
BAFF-R_TACI,CD28,5.9498312089832e-29,0.209449756181736,0.999,1,1.29646822043744e-24,TRUE
BAFF-R_TACI,CD28,6.31743899042938e-29,-0.247303802540145,0.745,0.842,1.37656995601456e-24,TRUE
BAFF-R_TACI,CD28,8.69530716485144e-29,-0.232753234610159,0.345,0.543,1.89470743122113e-24,TRUE
BAFF-R_TACI,CD28,4.71994343064133e-28,0.282988689837729,0.989,0.961,1.02847567353675e-23,TRUE
BAFF-R_TACI,CD28,6.84807108208466e-28,0.229363134073401,0.522,0.297,1.49219468878625e-23,TRUE
BAFF-R_TACI,CD28,1.01997694018452e-27,0.205463097079855,0.964,0.944,2.22252975266207e-23,TRUE
BAFF-R_TACI,CD28,2.07180363192741e-27,-0.44334815273599,0.826,0.88,4.51446011396982e-23,TRUE
BAFF-R_TACI,CD28,2.50445150134442e-27,0.249209673447004,0.962,0.92,5.45719982142949e-23,TRUE
BAFF-R_TACI,CD28,2.80369413709942e-27,0.354917188169718,0.963,0.948,6.10924952473964e-23,TRUE
BAFF-R_TACI,CD28,5.96640256772831e-27,0.202112101323663,0.254,0.071,1.300079119508e-22,TRUE
BAFF-R_TACI,CD28,1.07765620096257e-25,-0.333990519612143,0.721,0.816,2.34821286189744e-21,TRUE
BAFF-R_TACI,CD28,1.14155186563053e-25,0.227122593610081,0.746,0.588,2.48744151520893e-21,TRUE
BAFF-R_TACI,CD28,1.37837674672267e-25,0.202881800292751,0.97,0.967,3.00348293110869e-21,TRUE
