ident_a,ident_b,gse,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BAFF-R_TACI,CD28,gse_mf,GO:0005125,cytokine activity,6,-0.78169318381979,-1.93294458858465,0.00164203612479475,0.00164203612479475,0.0756908994895265,11,"tags=67%, list=12%, signal=63%",NAMPT/IL13/LTA/IL5
BAFF-R_TACI,CD28,gse_mf,GO:0005126,cytokine receptor binding,5,-0.808472610099669,-1.89391929316244,0.00167224080267559,0.00167224080267559,0.0756908994895265,6,"tags=60%, list=7%, signal=59%",IL13/LTA/IL5
BAFF-R_TACI,CD28,gse_mf,GO:0003823,antigen binding,8,0.666617228355342,2.13756098367526,0.00277777777777778,0.00277777777777778,0.0838206627680312,26,"tags=88%, list=28%, signal=69%",HLA-DRA/TRBC1/TRBC2/HLA-DRB1/ITGA4/HLA-DPB1/HLA-DPA1
BAFF-R_TACI,CD28,gse_mf,GO:0030545,receptor regulator activity,7,-0.715894507219452,-1.88179640314753,0.0046875,0.0046875,0.0848684210526316,11,"tags=57%, list=12%, signal=54%",NAMPT/IL13/LTA/IL5
BAFF-R_TACI,CD28,gse_mf,GO:0048018,receptor ligand activity,7,-0.715894507219452,-1.88179640314753,0.0046875,0.0046875,0.0848684210526316,11,"tags=57%, list=12%, signal=54%",NAMPT/IL13/LTA/IL5
BAFF-R_TACI,CD28,gse_mf,GO:0044877,protein-containing complex binding,7,0.607488002876642,1.83320882503114,0.0112994350282486,0.0112994350282486,0.170482703934979,20,"tags=71%, list=22%, signal=61%",HLA-DRA/VIM/HLA-DRB1/GMFG/FYB1
BAFF-R_TACI,CD28,gse_mf,GO:0042605,peptide antigen binding,4,0.75,1.79095003343094,0.015,0.015,0.193984962406015,26,"tags=100%, list=28%, signal=75%",HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DPA1
BAFF-R_TACI,CD28,gse_mf,GO:0005509,calcium ion binding,4,0.715909090909091,1.6564624718456,0.024330900243309,0.024330900243309,0.212129621064965,29,"tags=100%, list=32%, signal=72%",S100A4/ANXA1/CD69/NUCB2
BAFF-R_TACI,CD28,gse_mf,GO:0003714,transcription corepressor activity,3,-0.797752808988764,-1.5610658540805,0.0274223034734918,0.0274223034734918,0.212129621064965,22,"tags=100%, list=24%, signal=79%",ARID5A/BATF3
BAFF-R_TACI,CD28,gse_mf,GO:0004175,endopeptidase activity,3,-0.820224719101124,-1.56749092088887,0.0281195079086116,0.0281195079086116,0.212129621064965,20,"tags=100%, list=22%, signal=81%",NAPSA/GZMB
BAFF-R_TACI,CD28,gse_mf,GO:0008233,peptidase activity,3,-0.820224719101124,-1.56749092088887,0.0281195079086116,0.0281195079086116,0.212129621064965,20,"tags=100%, list=22%, signal=81%",NAPSA/GZMB
BAFF-R_TACI,CD28,gse_mf,GO:0070011,"peptidase activity, acting on L-amino acid peptides",3,-0.820224719101124,-1.56749092088887,0.0281195079086116,0.0281195079086116,0.212129621064965,20,"tags=100%, list=22%, signal=81%",NAPSA/GZMB
BAFF-R_TACI,CD28,gse_bp,GO:0045597,positive regulation of cell differentiation,9,-0.663548113397797,-1.92794597729592,0.00162337662337662,0.00162337662337662,0.250475586556753,8,"tags=44%, list=9%, signal=45%",IL2RA/IL13/LTA/IL5
BAFF-R_TACI,CD28,gse_bp,GO:0006897,endocytosis,5,0.885057471264368,2.2775420982873,0.00227790432801822,0.00227790432801822,0.250475586556753,15,"tags=100%, list=16%, signal=89%",TRBC1/TRBC2/PTPRC/ANXA1/ITGA4
BAFF-R_TACI,CD28,gse_bp,GO:0098657,import into cell,5,0.885057471264368,2.2775420982873,0.00227790432801822,0.00227790432801822,0.250475586556753,15,"tags=100%, list=16%, signal=89%",TRBC1/TRBC2/PTPRC/ANXA1/ITGA4
BAFF-R_TACI,CD28,gse_bp,GO:0050852,T cell receptor signaling pathway,8,0.68122763528187,2.18578526349621,0.0026525198938992,0.0026525198938992,0.250475586556753,26,"tags=88%, list=28%, signal=69%",HLA-DRA/TRBC1/HLA-DRB1/PTPRC/FYB1/HLA-DPB1/HLA-DPA1
BAFF-R_TACI,CD28,gse_bp,GO:0002429,immune response-activating cell surface receptor signaling pathway,10,0.719423941152421,2.4886889881187,0.00280898876404494,0.00280898876404494,0.250475586556753,26,"tags=90%, list=28%, signal=72%",HLA-DRA/TRBC1/TRBC2/HLA-DRB1/PTPRC/CD38/FYB1/HLA-DPB1/HLA-DPA1
BAFF-R_TACI,CD28,gse_bp,GO:0002768,immune response-regulating cell surface receptor signaling pathway,10,0.719423941152421,2.4886889881187,0.00280898876404494,0.00280898876404494,0.250475586556753,26,"tags=90%, list=28%, signal=72%",HLA-DRA/TRBC1/TRBC2/HLA-DRB1/PTPRC/CD38/FYB1/HLA-DPB1/HLA-DPA1
BAFF-R_TACI,CD28,gse_bp,GO:0050851,antigen receptor-mediated signaling pathway,10,0.719423941152421,2.4886889881187,0.00280898876404494,0.00280898876404494,0.250475586556753,26,"tags=90%, list=28%, signal=72%",HLA-DRA/TRBC1/TRBC2/HLA-DRB1/PTPRC/CD38/FYB1/HLA-DPB1/HLA-DPA1
BAFF-R_TACI,CD28,gse_bp,GO:0009628,response to abiotic stimulus,14,-0.592070967523591,-1.99146173086771,0.00286944045911047,0.00286944045911047,0.250475586556753,15,"tags=50%, list=16%, signal=49%",BNIP3/NFKBIA/NAMPT/DDIT4/IL13/LTA/HILPDA
BAFF-R_TACI,CD28,gse_bp,GO:0002757,immune response-activating signal transduction,11,0.611167023217409,2.18481603313175,0.00297619047619048,0.00297619047619048,0.250475586556753,26,"tags=82%, list=28%, signal=67%",HLA-DRA/TRBC1/TRBC2/HLA-DRB1/PTPRC/CD38/FYB1/HLA-DPB1/HLA-DPA1
BAFF-R_TACI,CD28,gse_bp,GO:0002764,immune response-regulating signaling pathway,11,0.611167023217409,2.18481603313175,0.00297619047619048,0.00297619047619048,0.250475586556753,26,"tags=82%, list=28%, signal=67%",HLA-DRA/TRBC1/TRBC2/HLA-DRB1/PTPRC/CD38/FYB1/HLA-DPB1/HLA-DPA1
