ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI,CD28_4-1BB_Zeta,3.6318402592667e-39,0.271145532684246,0.708,0.543,7.91377992494213e-35,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,6.48009324001007e-28,-0.355382953496546,0.584,0.674,1.41201231699819e-23,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,1.13444751515274e-24,-0.210876043329984,0.774,0.806,2.47196113551781e-20,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,6.32866153820499e-21,-0.218132704075972,0.98,0.972,1.37901534917487e-16,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,1.30869028363006e-20,-0.308618353389934,0.229,0.338,2.85163612802991e-16,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,4.77508365933523e-15,0.223306239195546,0.36,0.263,1.04049072936915e-10,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,8.18823533224156e-14,-0.342809879400383,0.177,0.265,1.78421647889544e-09,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,5.49209307669208e-09,-0.541419712200604,0.201,0.264,0.00011967270814112,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,0.138119335061159,-0.350904117066626,0.288,0.297,1,TRUE
BAFF-R_TACI,CD28_4-1BB_Zeta,0.207296368507205,-0.412167488310809,0.726,0.661,1,TRUE
