ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj
BAFF-R_TACI,CD28_Zeta,1.6157624096518e-47,0.336461318560723,0.708,0.501,3.52074629063127e-43
BAFF-R_TACI,CD28_Zeta,6.01752839486899e-32,0.243322498120082,0.614,0.425,1.31121943724195e-27
BAFF-R_TACI,CD28_Zeta,3.53310463725185e-24,-0.37583090586429,0.584,0.674,7.69863500457178e-20
BAFF-R_TACI,CD28_Zeta,8.15482434412674e-18,-0.217009497110585,0.98,0.963,1.77693622458522e-13
BAFF-R_TACI,CD28_Zeta,3.11283097961303e-17,-0.2808941682162,0.989,0.978,6.78285870457678e-13
BAFF-R_TACI,CD28_Zeta,1.47206582745892e-16,-0.226299747950151,0.714,0.742,3.20763143803299e-12
BAFF-R_TACI,CD28_Zeta,1.67282094489827e-15,-0.202186105884743,0.944,0.951,3.64507683893333e-11
BAFF-R_TACI,CD28_Zeta,9.28871244961974e-13,0.200589432061571,0.36,0.258,2.02401044277214e-08
BAFF-R_TACI,CD28_Zeta,3.67411390258343e-12,-0.350204898012708,0.229,0.309,8.00589419372929e-08
BAFF-R_TACI,CD28_Zeta,5.90581070759969e-10,-0.214250901398343,0.718,0.737,1.28687615318597e-05
BAFF-R_TACI,CD28_Zeta,1.93094148192785e-07,-0.204293793856191,0.999,1,0.00420752148912079
BAFF-R_TACI,CD28_Zeta,2.99511205634848e-06,-0.230559067795034,0.621,0.629,0.0652634917078333
BAFF-R_TACI,CD28_Zeta,0.337217396532546,-0.358344074277693,0.726,0.635,1
BAFF-R_TACI,CD28_Zeta,0.752969099219943,-0.29770878459209,0.288,0.281,1
BAFF-R_TACI,CD28_Zeta,0.821103542072525,-0.239225219268272,0.951,0.904,1
