ident_a,ident_b,p_val,avg_logFC,pct.1,pct.2,p_val_adj,use.rownames
BAFF-R_TACI,Zeta,2.51886407001993e-87,-0.513507868518044,0.989,0.988,5.48860480857342e-83,TRUE
BAFF-R_TACI,Zeta,6.09648056787309e-62,0.413854906039704,0.9,0.706,1.32842311573955e-57,TRUE
BAFF-R_TACI,Zeta,2.8884285712426e-58,0.323752224227206,0.995,0.973,6.29388585673762e-54,TRUE
BAFF-R_TACI,Zeta,2.74586247141877e-57,0.340759270986954,0.967,0.898,5.9832343252215e-53,TRUE
BAFF-R_TACI,Zeta,1.4017149799899e-46,0.213710696846777,0.997,0.992,3.054336941398e-42,TRUE
BAFF-R_TACI,Zeta,2.15963712215834e-46,0.226907934689087,0.973,0.903,4.70584928918301e-42,TRUE
BAFF-R_TACI,Zeta,1.21416506141188e-44,0.282740154772734,0.96,0.88,2.64566566881648e-40,TRUE
BAFF-R_TACI,Zeta,1.52707613917936e-44,-0.248030700911136,0.999,1,3.32749890727183e-40,TRUE
BAFF-R_TACI,Zeta,6.92734025630916e-43,-0.366413856296769,0.934,0.945,1.50946744184977e-38,TRUE
BAFF-R_TACI,Zeta,9.0299493641341e-43,0.29744523090954,0.932,0.808,1.96762596644482e-38,TRUE
BAFF-R_TACI,Zeta,1.38007537452061e-41,0.225711646135311,0.978,0.917,3.0071842410804e-37,TRUE
BAFF-R_TACI,Zeta,7.28496274753215e-41,-0.234054653724168,1,1,1.58739338268725e-36,TRUE
BAFF-R_TACI,Zeta,1.22972320012792e-40,-0.323303895224537,0.968,0.967,2.67956685307873e-36,TRUE
BAFF-R_TACI,Zeta,1.15720868675884e-39,-0.434261352449204,0.621,0.764,2.52155772844751e-35,TRUE
BAFF-R_TACI,Zeta,2.91910651404863e-39,0.211939068081936,0.969,0.91,6.36073309411197e-35,TRUE
BAFF-R_TACI,Zeta,1.71074872564634e-37,0.275788808291768,0.889,0.741,3.72772147318338e-33,TRUE
BAFF-R_TACI,Zeta,1.81446951582082e-37,0.291849118729253,0.908,0.77,3.95372907497357e-33,TRUE
BAFF-R_TACI,Zeta,4.19575305291383e-37,0.21840873851924,0.787,0.563,9.14254590229923e-33,TRUE
BAFF-R_TACI,Zeta,5.57629422780842e-37,0.296435761419287,0.994,0.983,1.21507451223945e-32,TRUE
BAFF-R_TACI,Zeta,6.39296657297895e-37,0.24871806752968,0.883,0.719,1.39302741625211e-32,TRUE
BAFF-R_TACI,Zeta,2.34521342372364e-36,0.202420452002242,0.706,0.459,5.11022005029382e-32,TRUE
BAFF-R_TACI,Zeta,3.34596684439227e-35,0.289050765441173,0.924,0.808,7.29086175393075e-31,TRUE
BAFF-R_TACI,Zeta,5.89366055483121e-35,0.213721182003169,0.704,0.473,1.28422863489772e-30,TRUE
BAFF-R_TACI,Zeta,7.87191389753356e-35,0.216285336489181,0.616,0.379,1.71529003827256e-30,TRUE
BAFF-R_TACI,Zeta,3.39859870694996e-34,0.2645587925204,0.604,0.377,7.40554658244397e-30,TRUE
BAFF-R_TACI,Zeta,4.5255963508676e-32,-0.217415274408105,1,1,9.86127444854049e-28,TRUE
BAFF-R_TACI,Zeta,6.54978093413556e-32,0.233408221660151,0.721,0.503,1.42719726554814e-27,TRUE
BAFF-R_TACI,Zeta,1.05080685156937e-31,-0.309472317153406,0.944,0.946,2.28970812956966e-27,TRUE
